Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-26013.780000	-44106.480000	2943.765000	2138.805000	5967.360000	4943.610000	3402.900000	2290.995000	-8.991361	-10.028693	-10.682719	-10.266218	-8.383806	-6.345785	-6.952022	-16.439299	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485512.000000	1772660859.724988
-26027.055000	-44111.205000	2947.365000	2145.195000	5975.640000	4948.200000	3399.975000	2278.620000	-23.105028	-22.545437	-22.167676	-21.478196	-19.366196	-17.262308	-14.133847	-30.645305	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485513.000000	1772660859.739904
-26008.245000	-44104.050000	2951.505000	2146.635000	5974.785000	4949.460000	3407.130000	2295.135000	-26.476992	-24.475443	-23.644731	-23.478366	-22.285096	-21.180937	-15.521390	-31.589277	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485514.000000	1772660859.739915
-25992.000000	-44088.480000	2961.675000	2154.510000	5981.760000	4955.355000	3407.220000	2305.935000	-16.737479	-14.590881	-13.902369	-14.617963	-14.956799	-15.459591	-10.116453	-18.603512	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485515.000000	1772660859.739927
-26007.570000	-44092.080000	2962.305000	2157.570000	5986.755000	4958.460000	3400.290000	2298.330000	1.559811	2.051063	2.151294	0.826921	-0.797343	-2.799668	-0.730693	2.416374	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485516.000000	1772660859.739931
-25999.290000	-44093.835000	2958.795000	2154.240000	5983.920000	4958.010000	3406.095000	2307.510000	19.347529	17.547924	17.149415	16.015142	14.118912	11.278862	8.388400	22.147751	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485517.000000	1772660859.739935
-25974.900000	-44086.140000	2964.960000	2159.055000	5984.235000	4956.750000	3413.835000	2324.340000	27.991237	24.318224	23.880995	23.638093	22.511618	19.903995	13.418072	31.908169	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485518.000000	1772660859.739939
-25974.045000	-44080.290000	2970.450000	2163.780000	5987.295000	4960.440000	3418.110000	2331.450000	26.199398	21.273678	21.052385	21.638002	21.413737	19.885190	13.577489	30.412408	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485519.000000	1772660859.740928
-25979.670000	-44088.210000	2960.775000	2154.285000	5981.940000	4957.245000	3410.730000	2329.515000	18.046678	13.369796	13.372758	14.146099	14.232827	13.886866	10.664350	21.796341	-4.272800	4.791640	-2.502640	0.890379	0.164733	0.390807	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485520.000000	1772660859.740935
-25974.045000	-44088.300000	2962.710000	2159.460000	5989.320000	4962.195000	3408.030000	2340.810000	6.319100	4.061679	4.210604	4.671004	4.793935	5.320631	5.438553	8.592286	-5.783540	4.944240	-3.769220	0.891111	0.162841	0.391173	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	1485521.000000	1772660859.753032
