Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-44926.020000	-152349.165000	18560.520000	283.455000	2706.570000	7403.265000	3492.360000	6392.475000	-7.069556	-7.050327	-6.113331	-4.583371	-3.207247	-5.628018	-7.514609	-7.481995	-3.326680	5.234180	2.243220	0.840208	0.098999	0.502745	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773049.000000	1772659434.079481
-44931.690000	-152355.420000	18552.105000	271.080000	2688.615000	7393.635000	3500.415000	6393.690000	-5.103834	-5.947592	-5.510459	-3.701304	-2.297923	-2.594345	-3.997812	-4.862626	-3.326680	5.234180	2.243220	0.840208	0.098999	0.502745	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773050.000000	1772659434.079492
-44927.370000	-152343.315000	18564.660000	285.210000	2705.175000	7407.630000	3509.595000	6390.675000	-2.062769	-3.396049	-3.875023	-2.785876	-2.404190	0.330897	0.801266	-1.151768	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773051.000000	1772659434.079693
-44920.080000	-152336.880000	18567.405000	286.515000	2708.100000	7412.760000	3508.380000	6386.805000	-0.579328	-1.613264	-2.913692	-3.141526	-4.064028	1.199138	4.339562	0.599470	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773052.000000	1772659434.079702
-44935.605000	-152364.330000	18538.560000	256.770000	2677.725000	7380.675000	3476.835000	6371.010000	-0.227780	-0.469161	-2.045762	-3.361057	-4.847286	0.652044	4.386605	-0.279973	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773053.000000	1772659434.079710
-44940.600000	-152374.680000	18526.410000	245.025000	2667.330000	7363.665000	3465.360000	6378.030000	-0.580966	-0.688200	-1.912646	-3.537132	-4.669884	-1.500584	-0.147975	-2.969360	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773054.000000	1772659434.079714
-44937.180000	-152364.780000	18539.145000	259.560000	2684.205000	7379.730000	3484.260000	6390.225000	-1.546670	-2.324437	-2.714608	-3.775036	-4.066307	-4.578951	-6.708809	-5.446928	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773055.000000	1772659434.083508
-44945.415000	-152376.930000	18528.840000	250.965000	2676.870000	7373.475000	3483.135000	6390.180000	-2.369138	-3.317300	-2.583193	-2.550265	-2.009749	-5.703521	-9.877287	-5.235203	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773056.000000	1772659434.083517
-44943.615000	-152374.545000	18531.450000	253.215000	2677.905000	7372.080000	3481.290000	6385.500000	-2.024689	-1.944404	-0.153836	0.890843	1.802546	-3.147714	-6.462153	-1.407447	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773057.000000	1772659434.086890
-44937.270000	-152364.690000	18543.105000	266.445000	2694.420000	7387.785000	3491.460000	6386.400000	-0.610918	1.119435	3.431445	5.011517	5.822008	1.632240	1.303754	3.406025	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773058.000000	1772659434.086898
-44928.405000	-152356.050000	18551.745000	274.545000	2714.400000	7403.355000	3492.360000	6388.245000	1.212083	4.198374	6.246470	7.860992	8.690905	6.350589	8.455278	5.803237	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773059.000000	1772659434.095304
-44924.400000	-152352.045000	18555.345000	273.735000	2716.785000	7407.765000	3492.405000	6391.260000	3.222347	6.170598	7.279960	8.392692	9.791914	9.412467	11.304272	5.408122	-2.121140	4.867940	2.182180	0.839964	0.095581	0.502074	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773060.000000	1772659434.095315
-44905.950000	-152335.575000	18573.705000	293.895000	2720.880000	7422.345000	3516.075000	6427.935000	5.077280	6.583832	6.519918	6.586055	8.367711	9.704986	9.426575	4.288502	-0.518840	4.288060	1.129240	0.838133	0.092468	0.501525	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773061.000000	1772659434.095635
-44780.805000	-152216.235000	18696.195000	418.095000	2825.235000	7526.610000	3607.560000	6608.340000	7.951415	7.485330	6.602412	5.548905	5.930007	8.877793	6.794931	6.815044	-0.518840	4.288060	1.129240	0.838133	0.092468	0.501525	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773062.000000	1772659434.095643
-44823.780000	-152207.685000	18721.305000	453.150000	2872.980000	7537.995000	3579.435000	6506.235000	13.138037	11.878080	11.048734	9.599227	6.631979	10.391323	7.425614	14.535999	-0.518840	4.288060	1.129240	0.838133	0.092468	0.501525	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773063.000000	1772659434.098858
-45000.225000	-152373.555000	18552.555000	283.185000	2713.230000	7382.610000	3452.085000	6249.645000	13.486255	14.312228	14.445012	13.657435	7.995156	10.292603	6.552714	14.772939	-0.518840	4.288060	1.129240	0.838133	0.092468	0.501525	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	773064.000000	1772659434.098868
