Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-41028.075000	-92232.990000	16664.670000	1539.585000	4583.835000	6916.860000	2560.635000	2658.420000	20.021143	12.785002	11.354299	9.539090	9.236428	5.686705	3.446708	22.508483	-2.380560	4.303320	-0.579880	0.830625	0.176391	0.500975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969546.000000	1772659827.251388
-41090.265000	-92273.130000	16631.505000	1507.725000	4551.525000	6877.260000	2530.440000	2604.285000	24.762866	22.002591	22.147604	22.096432	22.226577	16.265512	9.459222	22.701135	-2.380560	4.303320	-0.579880	0.830625	0.176391	0.500975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969547.000000	1772659827.263578
-41066.235000	-92251.485000	16649.685000	1525.320000	4575.555000	6896.790000	2536.695000	2633.985000	14.231268	16.422810	17.638402	18.876462	20.244948	15.140033	9.558750	7.114092	-2.380560	4.303320	-0.579880	0.830625	0.176391	0.500975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969548.000000	1772659827.263588
-41069.115000	-92250.945000	16650.810000	1526.985000	4578.930000	6910.560000	2542.680000	2633.940000	-2.793713	3.273279	5.160925	6.622338	8.435575	6.605424	5.320016	-10.150723	-2.380560	4.303320	-0.579880	0.830625	0.176391	0.500975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969549.000000	1772659827.263598
-41067.090000	-92251.890000	16652.745000	1529.595000	4569.390000	6906.195000	2542.410000	2642.085000	-11.906839	-4.929086	-2.832588	-1.864886	-1.019830	0.620933	1.823771	-14.063867	-2.380560	4.303320	-0.579880	0.830625	0.176391	0.500975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969550.000000	1772659827.263602
-41061.150000	-92235.915000	16673.760000	1551.195000	4587.435000	6914.835000	2547.630000	2648.835000	-9.364438	-4.442266	-2.449042	-1.911167	-2.946014	0.517907	0.676797	-5.030948	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969551.000000	1772659827.263607
-41057.820000	-92233.575000	16669.755000	1544.580000	4579.650000	6901.515000	2539.710000	2642.130000	-2.135796	-0.430778	1.203454	1.619876	-1.301291	1.856143	-0.308660	5.289332	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969552.000000	1772659827.263610
-41049.810000	-92230.920000	16674.975000	1549.305000	4584.330000	6905.385000	2541.060000	2652.885000	2.710696	1.511107	2.137127	2.303854	-1.653417	-0.051116	-2.480016	8.209412	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969553.000000	1772659827.279030
-41053.050000	-92228.130000	16680.960000	1556.280000	4589.865000	6919.560000	2544.930000	2651.490000	2.725177	-0.007374	-0.783025	-1.203093	-4.908268	-4.975374	-5.018360	3.865994	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969554.000000	1772659827.279040
-41057.955000	-92235.240000	16674.480000	1551.600000	4589.370000	6921.630000	2543.895000	2648.610000	-0.630430	-2.329840	-3.716813	-4.619812	-6.900202	-8.204416	-6.258048	-2.112178	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969555.000000	1772659827.279053
-41051.655000	-92229.030000	16685.595000	1567.890000	4612.500000	6938.145000	2555.775000	2660.805000	-3.341844	-2.302402	-3.077216	-3.877578	-3.961799	-5.736422	-4.690831	-4.285227	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969556.000000	1772659827.279057
-41048.370000	-92231.595000	16669.845000	1543.545000	4592.880000	6917.985000	2550.375000	2658.555000	-2.435625	0.061422	0.192462	-0.034865	2.222672	0.887229	-0.269350	-1.513275	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969557.000000	1772659827.279152
-41048.415000	-92236.995000	16662.735000	1538.730000	4600.620000	6917.940000	2550.465000	2664.855000	1.439914	2.430226	2.538126	2.740272	6.868441	6.149562	4.696266	3.179993	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969558.000000	1772659827.279158
-41026.680000	-92200.725000	16702.695000	1578.375000	4635.990000	6940.710000	2561.310000	2690.460000	5.378577	3.163799	2.120033	2.310780	7.624182	6.622471	7.174675	5.968146	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969559.000000	1772659827.293991
-40978.125000	-92166.885000	16728.030000	1594.845000	4630.005000	6945.885000	2573.145000	2731.635000	7.157059	2.599938	0.279568	0.183616	5.257734	3.466930	6.074167	5.359615	-1.129240	3.448760	-0.259420	0.826963	0.174194	0.501769	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969560.000000	1772659827.294001
-41041.440000	-92226.915000	16676.415000	1544.400000	4564.980000	6904.350000	2552.850000	2658.150000	5.805431	1.037894	-1.593784	-2.132721	-0.132717	-1.020793	2.508456	1.686613	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969561.000000	1772659827.294011
-41025.330000	-92219.400000	16682.445000	1555.470000	4592.700000	6918.795000	2561.310000	2693.070000	0.159016	-2.919923	-4.421107	-5.226954	-8.510500	-5.918233	-1.955644	-4.876935	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969562.000000	1772659827.294015
-41000.130000	-92202.345000	16696.125000	1567.485000	4606.920000	6931.710000	2563.785000	2717.730000	-7.883945	-8.132041	-7.500397	-7.900811	-15.142600	-9.364555	-5.693688	-11.185858	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969563.000000	1772659827.294020
-41073.570000	-92256.075000	16648.605000	1519.245000	4546.485000	6891.840000	2537.370000	2628.045000	-13.023690	-10.308517	-7.755168	-7.281489	-14.542724	-8.885126	-7.285954	-12.642707	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969564.000000	1772659827.294024
-40993.380000	-92186.055000	16719.705000	1592.730000	4624.515000	6962.355000	2599.425000	2745.405000	-12.426720	-7.484564	-4.083440	-2.981686	-7.235704	-4.286301	-5.964569	-8.827399	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969565.000000	1772659827.294028
-40977.270000	-92167.650000	16733.655000	1605.105000	4642.470000	6976.035000	2609.280000	2740.545000	-5.464402	0.198061	3.392393	4.628980	4.129957	3.843908	-0.841271	-0.323276	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969566.000000	1772659827.294032
-41139.990000	-92294.370000	16616.970000	1490.850000	4531.050000	6858.630000	2484.765000	2513.745000	3.910014	8.763469	11.049794	12.118751	14.778776	11.650199	5.085581	7.570321	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969567.000000	1772659827.310902
-41117.220000	-92274.795000	16643.655000	1519.560000	4563.405000	6884.910000	2512.530000	2578.680000	5.355277	8.955836	10.107825	10.903134	15.799289	10.844736	4.309706	3.452855	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969568.000000	1772659827.310912
-41086.620000	-92258.820000	16652.430000	1527.480000	4576.635000	6905.160000	2550.060000	2633.805000	-3.139074	-1.062064	-0.893454	-0.285121	6.163789	0.861337	-3.188458	-10.232579	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969569.000000	1772659827.310924
-41068.215000	-92241.810000	16659.360000	1528.560000	4568.085000	6899.175000	2545.830000	2646.045000	-9.439573	-10.118908	-11.183111	-10.823796	-3.780807	-8.069417	-7.859496	-15.302005	0.442540	3.876040	-1.037680	0.821836	0.173217	0.501830	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969570.000000	1772659827.310929
-41046.975000	-92200.545000	16689.645000	1561.095000	4586.445000	6920.235000	2554.380000	2665.350000	-3.975149	-7.902820	-11.011627	-11.423601	-6.370136	-8.517765	-4.217188	-3.178680	-0.595140	3.692920	-1.587040	0.822569	0.175231	0.502196	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	969571.000000	1772659827.310934
