Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-7253.640000	20912.850000	30930.705000	-3742.245000	-19645.740000	16276.320000	-17497.170000	-28851.480000	-2.876894	-3.779624	-6.042914	-14.482857	-16.506774	-14.692658	-4.913751	4.621490	2.853620	14.161280	2.014320	0.803099	0.553771	0.183959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335430.000000	1773688227.800322
-7273.170000	20886.930000	30906.045000	-3764.160000	-19690.380000	16258.680000	-17501.760000	-28817.190000	-4.330745	-5.017570	-4.511781	1.716345	30.495357	-3.096558	0.538054	10.322409	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335431.000000	1773688228.068479
-7264.350000	20913.210000	30929.175000	-3758.940000	-19722.105000	16269.120000	-17478.945000	-28939.770000	-7.665549	-7.871421	-4.041597	14.508234	63.935672	8.623266	6.413600	10.835107	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335432.000000	1773688228.068497
-7246.215000	20930.040000	30940.155000	-3754.440000	-19727.415000	16273.305000	-17489.835000	-28961.235000	-12.363099	-12.092766	-7.321352	15.106802	60.020906	12.337619	8.251537	1.943246	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335433.000000	1773688228.068511
-7259.220000	20912.985000	30924.720000	-3768.840000	-19745.505000	16255.530000	-17517.555000	-28958.490000	-15.150296	-14.274851	-11.872320	5.710056	24.793188	7.346186	5.038226	-15.684658	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335434.000000	1773688228.068517
-7306.920000	20866.095000	30885.660000	-3803.715000	-19786.230000	16229.250000	-17516.565000	-29014.020000	-13.559512	-12.128925	-13.097499	-5.562572	-16.985232	-1.264865	-1.830932	-31.432200	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335435.000000	1773688228.068523
-7284.825000	20896.785000	30916.260000	-3768.570000	-19788.930000	16270.560000	-17483.040000	-28939.320000	-8.387468	-6.740851	-9.199727	-12.137522	-42.808667	-7.270323	-8.308839	-32.655596	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335436.000000	1773688228.068528
-7246.170000	20933.910000	30945.285000	-3746.565000	-19764.405000	16287.345000	-17453.070000	-28895.355000	-1.354514	-0.079038	-1.618190	-11.395133	-44.642531	-7.224169	-9.605888	-14.226850	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335437.000000	1773688228.068533
-7266.465000	20911.725000	30931.605000	-3781.440000	-19783.710000	16244.505000	-17501.130000	-28937.655000	6.736161	6.885916	7.000930	-5.333686	-30.207115	-3.490385	-4.855306	15.233702	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335438.000000	1773688228.068538
-7285.320000	20883.555000	30905.730000	-3798.720000	-19777.500000	16221.870000	-17521.155000	-28926.090000	13.708425	12.320699	13.321143	0.312968	-13.849461	-2.021368	1.242547	36.066239	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335439.000000	1773688228.068544
-7282.620000	20878.830000	30889.260000	-3793.635000	-19760.130000	16234.020000	-17469.450000	-28890.990000	16.094318	13.371650	14.108996	1.813919	-2.267351	-4.667460	4.040331	36.074043	-6.104000	4.104940	-0.518840	0.793882	0.563536	0.167724	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335440.000000	1773688228.068548
-7252.920000	20916.810000	30928.860000	-3756.195000	-19736.055000	16272.405000	-17436.240000	-28880.595000	12.694705	9.100738	8.520590	1.186322	7.973730	-6.796295	4.429660	22.326499	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335441.000000	1773688228.068554
-7171.380000	21006.675000	31019.175000	-3674.475000	-19670.310000	16349.940000	-17406.630000	-28852.965000	6.683076	3.293618	1.173927	3.498318	20.400657	-2.499428	5.912190	8.225436	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335442.000000	1773688228.068559
-7239.240000	20925.270000	30934.440000	-3763.935000	-19767.060000	16258.005000	-17496.585000	-28909.215000	2.687937	1.305236	-1.313421	10.356068	31.642869	8.426965	7.932365	-1.606064	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335443.000000	1773688228.068564
-7296.525000	20862.990000	30874.005000	-3828.330000	-19856.565000	16183.485000	-17558.595000	-28927.530000	-0.019848	1.382374	-0.396629	14.594151	32.170985	16.492791	4.233765	-9.820524	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335444.000000	1773688228.068569
-7285.995000	20876.535000	30888.585000	-3817.665000	-19877.670000	16189.740000	-17545.725000	-28898.505000	-6.326142	-3.422153	-3.549622	7.444302	15.565824	11.147542	-8.739588	-18.462837	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335445.000000	1773688228.068574
-7313.265000	20858.535000	30867.885000	-3844.755000	-19874.520000	16178.895000	-17552.835000	-28927.440000	-16.197419	-13.545420	-11.850479	-8.918052	-11.858820	-5.427696	-23.411567	-25.435772	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335446.000000	1773688228.068579
-7327.215000	20857.095000	30868.155000	-3837.780000	-19850.625000	16183.485000	-17529.660000	-28959.390000	-23.030561	-20.892085	-18.112777	-22.618287	-34.283041	-19.686008	-26.527208	-26.940698	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335447.000000	1773688228.068585
-7295.400000	20881.800000	30891.285000	-3810.105000	-19832.940000	16208.820000	-17505.180000	-28985.805000	-19.873132	-17.187829	-14.690666	-22.977276	-38.205089	-19.929974	-12.266188	-21.981311	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335448.000000	1773688228.068589
-7275.645000	20905.290000	30915.405000	-3800.250000	-19824.165000	16231.455000	-17502.075000	-28976.715000	-5.543033	-1.993075	-0.698550	-8.832953	-21.787191	-5.707103	11.164227	-11.994528	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335449.000000	1773688228.068596
-7291.170000	20873.655000	30884.355000	-3831.165000	-19828.620000	16208.820000	-17511.120000	-28864.755000	12.167611	14.810111	14.915973	9.542010	3.951784	12.042848	28.015756	2.888739	-7.660520	-2.517900	-1.678600	0.812376	0.558470	0.166137	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335450.000000	1773688228.068600
-7291.530000	20874.600000	30882.555000	-3829.230000	-19816.155000	16207.020000	-17501.085000	-28949.985000	21.710482	20.843823	20.252295	18.989028	24.052856	20.368599	29.067035	20.940232	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335451.000000	1773688228.068606
-7291.485000	20869.875000	30877.380000	-3816.405000	-19807.380000	16203.645000	-17511.345000	-28981.935000	19.837268	14.801884	13.917390	17.240678	32.208237	16.988852	18.498331	33.749618	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335452.000000	1773688228.068610
-7280.145000	20885.625000	30898.260000	-3780.000000	-19805.355000	16205.310000	-17524.215000	-28968.570000	13.105614	6.206728	5.273710	12.729290	31.714638	9.733624	6.012933	32.689228	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335453.000000	1773688228.068616
-7277.850000	20898.000000	30907.485000	-3786.255000	-19817.280000	16216.065000	-17512.290000	-29004.930000	7.099041	1.848714	1.164312	10.801820	24.939557	4.219360	-3.601344	17.590048	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335454.000000	1773688228.068621
-7278.480000	20908.665000	30916.845000	-3797.145000	-19872.900000	16226.505000	-17479.845000	-28965.330000	2.365112	1.244515	0.973152	8.741909	9.608016	0.326925	-9.501152	-3.010734	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335455.000000	1773688228.068627
-7272.495000	20914.605000	30924.180000	-3805.920000	-19923.615000	16214.670000	-17468.010000	-28894.185000	-1.678892	1.636342	1.559645	2.450660	-14.517453	-3.252004	-10.880110	-15.959331	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335456.000000	1773688228.068632
-7259.085000	20917.620000	30925.530000	-3788.010000	-19839.195000	16210.260000	-17479.035000	-28873.755000	-5.469219	0.340233	0.194897	-8.043981	-38.435593	-7.702820	-9.219476	-12.952923	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335457.000000	1773688228.068638
-7263.855000	20911.500000	30920.040000	-3752.595000	-19758.240000	16215.300000	-17523.675000	-28922.355000	-9.418101	-4.342402	-4.554306	-17.679202	-45.781759	-13.065702	-8.692016	-0.404265	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335458.000000	1773688228.068642
-7266.015000	20907.000000	30910.905000	-3794.760000	-19869.480000	16192.530000	-17533.800000	-28939.140000	-12.912493	-11.094567	-11.280774	-20.688127	-29.676158	-16.857318	-11.370505	5.596950	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335459.000000	1773688228.068648
-7279.020000	20884.860000	30887.865000	-3837.060000	-19893.195000	16171.245000	-17506.170000	-28917.495000	-13.943336	-15.731615	-15.887530	-16.806139	-3.279511	-15.990923	-13.518057	-0.973924	-5.249440	-2.426340	3.296160	0.840818	0.539794	0.172119	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335460.000000	1773688228.068652
-7288.380000	20877.660000	30886.335000	-3798.180000	-19803.510000	16191.720000	-17516.070000	-28943.190000	-10.695837	-14.638952	-14.727452	-9.650140	17.220061	-8.997685	-8.924262	-10.405116	0.289940	-5.279960	5.539380	0.809141	0.521544	0.178344	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	335461.000000	1773688228.068658
