Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-5082.795000	25078.815000	37380.510000	365.220000	-18246.645000	17210.970000	-11889.540000	-26638.965000	3.627775	5.408535	3.516210	-8.885563	-21.090868	-2.927383	0.915289	7.842798	1.678600	10.147900	-1.205540	0.837461	0.498961	0.192260	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381680.000000	1773688320.249013
-5060.115000	25103.070000	37404.945000	382.410000	-18284.850000	17222.220000	-11871.990000	-26651.340000	-0.579183	2.826758	2.515967	-2.814115	1.235527	-0.978113	-1.244297	3.564323	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381681.000000	1773688320.252885
-5068.575000	25080.795000	37378.845000	353.745000	-18298.710000	17196.615000	-11890.980000	-26676.495000	-4.608487	-2.041020	-1.163132	3.878156	19.283547	-0.533342	-6.701516	-2.529747	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381682.000000	1773688320.252896
-5113.620000	25036.335000	37334.160000	298.980000	-18348.750000	17151.210000	-11914.245000	-26670.015000	-10.796369	-11.224978	-10.266987	0.476974	13.011217	-6.471695	-11.433473	-4.981206	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381683.000000	1773688320.257210
-5160.195000	24986.430000	37279.530000	230.490000	-18415.980000	17104.770000	-11913.615000	-26643.555000	-20.037835	-24.212588	-24.237348	-15.807841	-15.403792	-18.551171	-13.841898	-3.203537	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381684.000000	1773688320.257221
-5167.530000	24977.835000	37267.920000	220.410000	-18423.630000	17108.010000	-11910.420000	-26657.505000	-29.360086	-36.132762	-37.558948	-37.133176	-47.271552	-31.054626	-13.282945	1.026200	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381685.000000	1773688320.267464
-5152.725000	24996.420000	37274.805000	220.860000	-18411.975000	17121.870000	-11925.720000	-26675.145000	-30.961334	-37.601786	-40.177892	-47.641393	-59.331244	-33.663376	-8.380920	4.864860	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381686.000000	1773688320.267477
-5095.530000	25041.645000	37313.280000	272.070000	-18377.190000	17160.120000	-11915.055000	-26622.315000	-17.799805	-21.496029	-24.703014	-34.729239	-41.388550	-18.878416	0.652664	6.200712	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381687.000000	1773688320.267491
-5047.020000	25098.165000	37396.665000	364.545000	-18307.170000	17209.080000	-11900.070000	-26601.030000	8.207556	8.569081	5.763144	-1.005455	-5.751555	9.003114	10.304910	5.179041	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381688.000000	1773688320.267497
-5126.445000	25011.675000	37316.340000	275.445000	-18385.560000	17127.945000	-11918.880000	-26659.530000	33.469873	37.007634	36.617545	34.994242	25.926187	34.337040	15.563527	2.336083	1.953280	9.079700	-1.922760	0.835569	0.492675	0.193298	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	381689.000000	1773688320.269147
