Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
2965.860000	-19886.265000	-13590.765000	-5802.255000	-10327.500000	-7744.410000	377487.315000	20084.535000	-2.036954	1.798175	4.427598	6.040496	7.263060	7.091379	-0.000000	4.827137	-1.846460	3.769220	0.503580	0.964048	-0.037720	0.263793	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686227.000000	1772738769.983974
2967.525000	-19889.055000	-13595.445000	-5806.440000	-10334.295000	-7741.035000	377487.315000	20083.995000	-0.440415	0.138678	-0.208206	2.047240	3.502709	3.345710	-0.000000	4.049367	-1.846460	3.769220	0.503580	0.964048	-0.037720	0.263793	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686228.000000	1772738769.983982
3010.725000	-19886.355000	-13590.945000	-5799.555000	-10326.870000	-7711.740000	377487.315000	20149.335000	5.458474	1.879260	-3.221439	-2.084484	-1.365512	-1.713528	-0.000000	-0.145983	-1.846460	3.769220	0.503580	0.964048	-0.037720	0.263793	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686229.000000	1772738769.983990
3059.145000	-19868.400000	-13579.920000	-5792.760000	-10323.945000	-7704.900000	377487.315000	20200.185000	14.043033	5.269395	-4.817046	-5.905722	-6.453512	-6.901987	-0.000000	-0.702082	-1.846460	3.769220	0.503580	0.964048	-0.037720	0.263793	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686230.000000	1772738769.983994
3043.665000	-19855.530000	-13577.175000	-5793.705000	-10325.880000	-7717.005000	377487.315000	20166.030000	19.607946	7.016416	-5.837439	-8.752705	-10.253434	-10.336807	-0.000000	5.321514	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686231.000000	1772738769.986419
3029.805000	-19851.885000	-13570.965000	-5786.325000	-10318.500000	-7722.945000	377487.315000	20140.560000	15.864209	5.678243	-5.427481	-8.496478	-10.181754	-9.610353	-0.000000	10.604252	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686232.000000	1772738769.986424
3048.705000	-19850.490000	-13579.740000	-5800.320000	-10334.655000	-7761.465000	377487.315000	20186.055000	3.278288	2.836389	-1.485781	-2.969986	-4.237774	-3.454638	-0.000000	7.367405	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686233.000000	1772738769.990440
3041.280000	-19861.965000	-13596.705000	-5817.870000	-10348.965000	-7782.390000	377487.315000	20186.955000	-10.141291	0.537667	5.321318	5.996954	5.296490	5.346266	-0.000000	-2.781670	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686234.000000	1772738769.990449
3022.380000	-19850.805000	-13578.480000	-5793.345000	-10321.515000	-7744.815000	377487.315000	20128.500000	-17.363839	-1.400455	10.351639	12.444015	12.299844	11.254475	-0.000000	-12.185291	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686235.000000	1772738769.994547
3020.085000	-19853.640000	-13577.265000	-5788.980000	-10315.395000	-7725.735000	377487.315000	20159.370000	-17.404475	-3.949449	9.771469	12.056708	12.666633	11.318589	0.000000	-14.653614	-1.754900	4.227020	0.244160	0.966428	-0.038330	0.264404	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.620690	0.000000	-1.000000	-1.000000	686236.000000	1772738769.994551
