Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-11994.570000	-13655.520000	4538.700000	-2677.770000	-22404.915000	-15965.055000	726.705000	-10006.605000	-3.140160	6.440532	9.675833	10.473950	10.975439	12.377635	14.727363	-1.074989	-4.669560	2.121140	-0.183120	0.698362	0.025757	0.684630	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198296.000000	1772896108.553398
-11980.890000	-13642.110000	4552.020000	-2663.865000	-22391.730000	-15951.870000	738.540000	-10003.365000	-4.715258	6.579246	8.960988	8.869306	8.526692	8.982170	10.001657	-2.311670	-4.669560	2.121140	-0.183120	0.698362	0.025757	0.684630	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198297.000000	1772896108.555914
-11976.165000	-13639.770000	4557.780000	-2656.710000	-22383.495000	-15943.770000	744.345000	-10001.115000	-2.814599	6.196827	7.240763	6.426062	5.354669	4.691903	3.719422	-0.795440	-4.669560	2.121140	-0.183120	0.698362	0.025757	0.684630	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198298.000000	1772896108.555921
-11980.980000	-13645.440000	4554.270000	-2660.895000	-22387.320000	-15944.715000	743.445000	-9999.450000	1.420646	5.555206	5.455574	4.511835	3.171328	1.499782	-1.336924	2.282155	-4.669560	2.121140	-0.183120	0.698362	0.025757	0.684630	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198299.000000	1772896108.564189
-11984.490000	-13641.345000	4559.085000	-2655.180000	-22381.020000	-15936.120000	754.695000	-9991.395000	4.989601	3.523675	2.992063	2.527311	1.518313	-0.565084	-4.303179	4.389869	-4.669560	2.121140	-0.183120	0.698362	0.025757	0.684630	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198300.000000	1772896108.564211
-11964.915000	-13619.880000	4576.995000	-2639.250000	-22366.530000	-15925.635000	769.185000	-9971.775000	5.762945	-0.362868	-0.889908	-0.662076	-0.932274	-2.531780	-5.537424	4.555950	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198301.000000	1772896108.564220
-11968.875000	-13616.910000	4582.035000	-2631.465000	-22357.125000	-15917.040000	776.925000	-9981.990000	3.758097	-4.280729	-4.913774	-4.182886	-3.724749	-4.422682	-5.510711	2.901347	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198302.000000	1772896108.564224
-11970.360000	-13624.335000	4573.935000	-2638.755000	-22362.795000	-15923.745000	770.895000	-9987.660000	0.403779	-5.982864	-6.868207	-5.925522	-5.051922	-5.152812	-4.646103	-0.402464	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198303.000000	1772896108.569305
-11976.930000	-13648.095000	4545.900000	-2669.535000	-22394.790000	-15952.905000	745.695000	-9989.640000	-2.605940	-5.589976	-6.690515	-5.818786	-4.856979	-4.716086	-3.775054	-4.215272	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198304.000000	1772896108.569312
-11961.540000	-13640.130000	4553.685000	-2662.245000	-22388.355000	-15944.490000	746.910000	-9979.425000	-4.033344	-4.944138	-6.238787	-5.805217	-5.022221	-4.512981	-3.877928	-6.184097	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198305.000000	1772896108.572606
-11944.890000	-13636.485000	4561.110000	-2652.165000	-22376.565000	-15932.385000	759.960000	-9971.325000	-3.359291	-4.601006	-5.937421	-6.217133	-5.830379	-4.664138	-4.482089	-4.686555	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198306.000000	1772896108.572610
-11956.005000	-13643.865000	4556.430000	-2654.820000	-22376.565000	-15932.070000	765.990000	-9975.330000	-1.164194	-3.438478	-4.292792	-5.141878	-5.201484	-3.569378	-3.590346	-0.750211	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198307.000000	1772896108.583019
-11982.780000	-13639.770000	4559.130000	-2652.570000	-22376.295000	-15938.460000	756.585000	-9975.105000	0.564435	-0.844870	-0.662411	-1.573895	-1.948479	-0.674491	-0.394861	2.673573	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198308.000000	1772896108.583029
-11984.220000	-13618.260000	4579.785000	-2632.320000	-22360.770000	-15931.890000	745.020000	-9988.965000	-0.135218	2.519285	3.741243	3.205919	2.597032	2.465066	3.022941	3.130550	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198309.000000	1772896108.583174
-11974.680000	-13615.020000	4582.395000	-2632.410000	-22362.165000	-15932.970000	732.105000	-10022.490000	-2.861962	5.395080	7.081900	6.979262	6.052869	4.038139	3.682256	-0.295430	-4.501700	2.151660	0.366240	0.694578	0.026489	0.684569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198310.000000	1772896108.583178
-11974.320000	-13629.195000	4568.805000	-2646.315000	-22373.235000	-15937.920000	729.765000	-10037.880000	-4.780956	6.394867	7.853188	7.889794	6.680660	3.641486	1.123534	-6.258267	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198311.000000	1772896108.584057
-11967.750000	-13642.605000	4551.480000	-2662.695000	-22386.240000	-15949.665000	732.960000	-9997.425000	-3.303679	4.795520	5.543073	5.407049	4.381451	2.245225	-1.649505	-10.031668	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198312.000000	1772896108.584062
-11987.640000	-13658.580000	4534.200000	-2680.740000	-22404.195000	-15968.655000	729.720000	-9977.535000	1.106578	1.251261	1.117118	0.843930	0.719555	1.006928	-1.131441	-6.334163	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198313.000000	1772896108.587986
-11990.565000	-13648.635000	4547.250000	-2669.760000	-22395.960000	-15961.275000	729.765000	-9991.665000	4.847737	-2.638386	-3.461020	-3.602637	-2.521221	0.073884	2.700032	4.162797	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198314.000000	1772896108.587995
-11973.780000	-13627.800000	4569.345000	-2647.935000	-22374.495000	-15939.945000	745.155000	-9991.125000	5.074711	-4.689462	-5.727532	-5.674768	-3.954427	-0.577450	6.554652	13.965080	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198315.000000	1772896108.591992
-11985.255000	-13639.230000	4560.705000	-2653.110000	-22374.405000	-15936.480000	758.835000	-9999.045000	3.002800	-3.261275	-4.012265	-3.905595	-2.535084	-0.048361	7.865790	16.156404	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198316.000000	1772896108.591996
-11996.415000	-13645.665000	4555.755000	-2655.405000	-22376.025000	-15937.020000	755.910000	-10025.100000	1.415309	0.192806	0.090230	0.304885	0.857272	1.803782	6.553763	9.697022	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198317.000000	1772896108.595988
-11989.620000	-13641.165000	4556.070000	-2658.105000	-22379.985000	-15941.115000	747.765000	-10021.365000	0.941409	2.040014	2.650502	3.215349	3.237410	3.158899	3.341780	-1.327815	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198318.000000	1772896108.595995
-11982.375000	-13630.455000	4564.350000	-2651.445000	-22376.745000	-15938.640000	753.570000	-9994.320000	0.668671	1.056466	1.945764	2.836391	2.694279	2.318657	-0.964960	-9.746494	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198319.000000	1772896108.599948
-11968.425000	-13624.290000	4567.410000	-2650.545000	-22377.330000	-15941.385000	748.080000	-9979.875000	0.363848	-0.244242	0.183041	0.934361	0.490212	-0.152890	-4.931763	-9.849048	-5.157880	3.174080	0.640920	0.691282	0.024841	0.682188	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.689655	0.000000	-1.000000	-1.000000	1198320.000000	1772896108.599955
