Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-8240.715000	-13158.900000	4654.440000	-1805.580000	-23367.960000	-17222.895000	-258.480000	-7918.380000	9.388843	0.629889	-2.313052	-1.151428	-1.317509	-1.086270	-2.256403	10.386233	3.799740	7.294280	0.045780	0.713072	-0.164123	0.659910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846857.000000	1772895405.473124
-8235.765000	-13166.820000	4645.845000	-1812.150000	-23373.090000	-17228.835000	-268.155000	-7919.595000	7.383688	-3.414269	-6.728188	-5.769528	-5.753419	-5.080101	-3.044576	9.075092	3.799740	7.294280	0.045780	0.713072	-0.164123	0.659910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846858.000000	1772895405.473130
-8246.340000	-13147.020000	4673.205000	-1786.950000	-23349.240000	-17211.105000	-259.380000	-7930.035000	-0.161621	-5.340541	-8.222466	-7.775471	-7.363139	-6.550016	-2.751466	4.485532	3.799740	7.294280	0.045780	0.713072	-0.164123	0.659910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846859.000000	1772895405.476791
-8244.855000	-13132.755000	4691.745000	-1773.990000	-23340.780000	-17206.425000	-256.635000	-7945.650000	-6.198675	-3.355258	-5.524030	-6.186857	-5.679159	-5.092726	-1.900264	-0.306877	3.799740	7.294280	0.045780	0.713072	-0.164123	0.659910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846860.000000	1772895405.476797
-8219.790000	-13116.375000	4701.105000	-1770.795000	-23339.745000	-17205.255000	-251.370000	-7932.780000	-6.010700	1.546529	0.437556	-1.826038	-1.885853	-1.837215	-0.805909	-3.506717	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846861.000000	1772895405.480886
-8188.110000	-13099.095000	4714.110000	-1756.845000	-23324.580000	-17190.540000	-244.845000	-7892.190000	-0.115980	6.304648	6.249919	2.566866	1.506405	0.975225	0.112752	-4.440683	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846862.000000	1772895405.480894
-8183.970000	-13102.560000	4708.080000	-1759.365000	-23323.455000	-17188.020000	-253.395000	-7894.845000	6.692820	7.918519	8.491858	4.595071	2.954869	2.105582	0.687239	-2.485693	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846863.000000	1772895405.485443
-8214.525000	-13149.990000	4656.915000	-1810.215000	-23372.955000	-17229.015000	-266.805000	-7900.155000	9.235282	4.625171	5.463088	3.075838	1.984044	1.455679	0.880926	1.546139	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846864.000000	1772895405.485449
-8225.865000	-13156.785000	4655.025000	-1810.665000	-23370.120000	-17219.880000	-241.290000	-7897.050000	5.506921	-3.055324	-2.051765	-1.827242	-1.443377	-0.752036	0.919066	4.953410	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846865.000000	1772895405.489661
-8183.745000	-13121.505000	4694.445000	-1770.030000	-23330.295000	-17185.140000	-217.170000	-7901.190000	-1.743349	-10.584123	-9.265022	-6.637881	-4.808990	-2.609996	1.867347	5.687601	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846866.000000	1772895405.489669
-8196.525000	-13118.040000	4705.245000	-1754.955000	-23312.655000	-17170.155000	-206.910000	-7892.865000	-7.085634	-11.803455	-10.008377	-6.194159	-3.869930	-1.213342	4.279371	3.749319	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846867.000000	1772895405.492841
-8236.260000	-13122.360000	4703.220000	-1758.105000	-23317.290000	-17176.950000	-220.005000	-7902.855000	-7.999642	-5.750044	-3.768432	-0.146733	1.527900	3.015049	6.148288	0.595901	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846868.000000	1772895405.492848
-8252.910000	-13140.360000	4681.305000	-1783.620000	-23344.290000	-17202.870000	-246.015000	-7920.765000	-6.767888	1.911511	3.246358	5.700250	6.075267	5.570044	3.971667	-2.478338	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846869.000000	1772895405.496900
-8252.100000	-13139.145000	4676.895000	-1778.895000	-23338.620000	-17199.630000	-256.455000	-7923.285000	-6.344793	5.161768	5.009166	5.956060	5.041255	2.884275	-3.368095	-5.774663	4.211760	6.867000	-1.663340	0.711607	-0.162170	0.658018	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846870.000000	1772895405.496910
-8240.850000	-13131.045000	4679.145000	-1766.880000	-23328.585000	-17194.410000	-258.030000	-7923.105000	-6.835818	3.068273	1.234882	1.122597	-0.628204	-3.570450	-12.199382	-9.584856	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846871.000000	1772895405.500909
-8211.240000	-13127.850000	4686.210000	-1767.870000	-23330.070000	-17193.375000	-250.110000	-7926.570000	-5.189870	-0.327485	-3.126972	-3.622365	-5.656580	-8.575067	-16.145623	-11.727859	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846872.000000	1772895405.500918
-8209.440000	-13154.670000	4659.795000	-1807.425000	-23365.530000	-17217.720000	-238.005000	-7916.445000	1.886775	-0.539014	-2.944085	-4.047152	-5.848658	-7.968744	-11.292122	-9.036574	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846873.000000	1772895405.506095
-8217.315000	-13177.080000	4636.890000	-1832.445000	-23386.815000	-17233.245000	-239.355000	-7907.760000	12.381227	2.184604	1.281209	-1.470703	-2.468715	-2.913373	-0.148163	-0.986906	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846874.000000	1772895405.506104
-8218.755000	-13179.690000	4640.850000	-1828.395000	-23387.895000	-17240.940000	-260.820000	-7890.705000	18.642531	3.507009	4.163840	-0.523582	-0.338846	1.382518	9.760052	9.277183	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846875.000000	1772895405.511197
-8221.770000	-13150.530000	4671.405000	-1798.515000	-23360.625000	-17218.485000	-248.490000	-7882.020000	15.685699	1.608691	3.022492	-2.196009	-1.134422	2.103506	12.522477	17.010270	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846876.000000	1772895405.511206
-8228.745000	-13136.085000	4683.060000	-1786.140000	-23345.955000	-17207.145000	-246.330000	-7906.770000	6.477434	-0.269980	0.902612	-2.484186	-1.311518	1.783790	8.941011	18.441352	-2.639980	4.608520	-2.701020	0.708433	-0.154785	0.660521	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	846877.000000	1772895405.514714
