Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-4118.670000	9011.835000	14888.160000	3105.270000	-23778.090000	199.035000	-9476.640000	-6850.485000	-0.242504	1.247740	-0.071182	-1.945154	-6.397615	-9.154655	0.410551	-0.572812	-2.655240	2.624720	-0.457800	0.908628	-0.296569	0.299926	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003870.000000	1773689564.493213
-4107.015000	9028.305000	14902.065000	3117.375000	-23767.515000	209.205000	-9483.795000	-6862.590000	4.076245	3.999632	2.105319	0.363813	-2.669133	-7.777824	0.492621	2.572856	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003871.000000	1773689564.497930
-4098.690000	9037.395000	14915.970000	3139.155000	-23740.740000	241.290000	-9473.760000	-6875.010000	6.269757	3.219895	1.631666	0.846745	-0.146440	-6.943284	-0.286934	5.714631	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003872.000000	1773689564.497940
-4114.530000	9032.445000	14916.735000	3144.285000	-23728.545000	255.105000	-9462.195000	-6871.005000	5.355682	0.875190	0.485433	1.005041	1.904035	-4.566784	-1.241423	4.787751	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003873.000000	1773689564.501184
-4132.305000	9018.585000	14899.275000	3125.430000	-23740.920000	244.035000	-9462.105000	-6878.970000	1.783255	-0.808414	0.297420	1.902293	4.201653	0.326101	-1.186912	0.116120	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003874.000000	1773689564.501194
-4146.615000	9002.205000	14882.175000	3108.375000	-23749.065000	238.095000	-9471.825000	-6882.885000	-3.508242	-1.868978	0.098680	2.077742	5.602683	5.651490	-0.250085	-5.271168	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003875.000000	1773689564.505140
-4140.045000	9001.620000	14883.210000	3108.195000	-23747.085000	242.460000	-9476.280000	-6870.150000	-8.346721	-3.364525	-1.618589	0.000162	4.770256	8.847076	0.201676	-8.189634	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003876.000000	1773689564.505174
-4157.685000	8998.155000	14877.945000	3101.445000	-23759.325000	234.810000	-9472.950000	-6861.690000	-10.191800	-5.096158	-4.304520	-3.481138	1.526877	8.490466	-0.514350	-6.477105	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003877.000000	1773689564.512347
-4139.955000	9011.970000	14894.685000	3116.430000	-23762.025000	222.705000	-9462.870000	-6847.200000	-8.236309	-5.226453	-5.438348	-5.638953	-3.023177	4.211722	-1.297420	-1.275320	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003878.000000	1773689564.512360
-4116.780000	9021.960000	14904.585000	3126.330000	-23762.070000	214.830000	-9464.715000	-6848.595000	-2.795188	-1.804415	-2.501098	-3.783578	-6.363353	-2.459953	-0.510892	3.448694	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003879.000000	1773689564.513119
-4108.860000	9028.530000	14907.555000	3130.785000	-23747.805000	233.280000	-9466.650000	-6865.110000	4.819916	4.343174	3.796695	1.739945	-6.340510	-8.233613	1.772855	4.693773	-2.243220	2.868880	-0.717220	0.907102	-0.298705	0.299071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003880.000000	1773689564.513130
-4121.415000	9008.055000	14888.745000	3114.360000	-23761.845000	228.870000	-9471.510000	-6862.545000	11.168595	9.077135	8.785456	6.577979	-3.708711	-10.514899	3.336839	2.510542	-3.570840	3.494540	-1.052940	0.909299	-0.298583	0.297179	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.517241	0.000000	-1.000000	-1.000000	1003881.000000	1773689564.517080
