Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
6849.315000	9576.765000	35101.845000	28901.115000	-8077.545000	-13365.990000	18897.210000	17632.665000	5.144229	-2.344641	-7.677559	-5.738920	-5.115017	-3.749624	2.302882	14.790905	-5.585160	-3.174080	-0.335720	0.821043	-0.186889	0.525389	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274397.000000	1773864791.790440
6858.990000	9576.720000	35099.460000	28887.885000	-8096.130000	-13393.440000	18897.705000	17641.980000	3.278866	0.968520	-1.436833	3.485568	2.416906	1.846903	5.087728	13.857525	-5.585160	-3.174080	-0.335720	0.821043	-0.186889	0.525389	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274398.000000	1773864791.790460
6850.980000	9577.080000	35113.500000	28886.400000	-8093.745000	-13392.540000	18903.780000	17649.495000	4.404742	5.483965	5.003176	10.635318	7.765957	5.656890	5.174559	7.835619	-5.585160	-3.174080	-0.335720	0.821043	-0.186889	0.525389	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274399.000000	1773864791.793020
6839.505000	9581.580000	35127.765000	28891.935000	-8082.810000	-13371.120000	18902.025000	17632.485000	4.345057	7.494608	8.479739	11.351531	8.477737	6.256492	2.941576	-1.450297	-5.585160	-3.174080	-0.335720	0.821043	-0.186889	0.525389	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274400.000000	1773864791.793030
6811.920000	9572.895000	35121.330000	28894.455000	-8079.480000	-13358.205000	18886.545000	17592.030000	-1.459163	5.111995	8.189340	6.336586	5.622105	4.555240	0.109824	-10.652887	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274401.000000	1773864791.796976
6810.120000	9569.475000	35107.380000	28889.865000	-8078.220000	-13349.700000	18882.360000	17589.645000	-10.780928	0.088974	5.205258	-0.178250	1.763714	2.057438	-1.944500	-16.117003	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274402.000000	1773864791.796984
6837.840000	9564.795000	35096.040000	28884.915000	-8077.770000	-13345.380000	18884.970000	17623.530000	-15.670580	-4.134736	0.968896	-4.480230	-1.118120	-0.143039	-2.640526	-14.647182	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274403.000000	1773864791.800951
6863.625000	9560.565000	35097.030000	28875.735000	-8091.180000	-13362.840000	18882.675000	17648.730000	-10.063384	-5.380513	-3.434178	-5.920638	-2.728066	-1.746867	-2.104869	-5.154828	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274404.000000	1773864791.800959
6840.450000	9565.335000	35116.200000	28882.170000	-8087.940000	-13370.715000	18889.875000	17628.435000	3.323056	-3.955665	-6.359415	-5.784889	-3.725274	-2.860648	-1.001783	8.241991	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274405.000000	1773864791.805313
6825.555000	9570.285000	35113.095000	28879.245000	-8094.465000	-13389.975000	18889.830000	17606.610000	14.152300	-1.588825	-5.778416	-4.623077	-3.828648	-2.892412	0.154644	16.799362	-6.516020	-2.823100	0.808780	0.821043	-0.187683	0.527098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	274406.000000	1773864791.805323
