Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-1495.890000	-8660.745000	10852.110000	11856.285000	-33149.430000	-39577.815000	6559.065000	12682.980000	2.428842	-3.606589	-1.936815	-4.444366	-4.486861	-3.221996	-1.300273	-0.395929	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695484.000000	1773865634.041596
-1500.165000	-8660.385000	10856.430000	11872.260000	-33137.640000	-39563.100000	6557.355000	12685.725000	3.889306	0.834596	2.137922	0.814464	1.832597	2.859633	1.887255	-2.513295	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695485.000000	1773865634.041608
-1502.190000	-8653.275000	10865.520000	11885.715000	-33128.055000	-39553.830000	6554.160000	12677.310000	3.257165	3.407530	4.559869	4.478979	5.632277	6.170752	3.502567	-3.535254	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695486.000000	1773865634.041613
-1500.030000	-8656.740000	10859.895000	11881.035000	-33134.850000	-39560.040000	6548.085000	12673.575000	-0.029336	2.969156	4.228131	4.557141	4.911658	5.015146	2.832336	-3.456998	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695487.000000	1773865634.041619
-1505.925000	-8662.320000	10858.185000	11876.445000	-33136.470000	-39562.065000	6550.110000	12671.685000	-3.689461	1.331495	2.225412	2.362119	1.785240	1.632422	0.936597	-3.092905	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695488.000000	1773865634.041625
-1518.615000	-8678.610000	10846.305000	11858.895000	-33148.440000	-39575.565000	6553.980000	12667.950000	-6.002727	-0.111526	0.025702	0.219044	-0.625302	-0.832968	-0.671494	-3.290733	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695489.000000	1773865634.059882
-1505.115000	-8668.710000	10849.725000	11852.235000	-33151.770000	-39582.270000	6559.245000	12673.395000	-7.026385	-1.494134	-1.652421	-0.755021	-1.060211	-1.183237	-1.145981	-3.672170	-5.554640	-1.556520	3.723440	0.833311	-0.133911	0.466002	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695490.000000	1773865634.059896
-1492.065000	-8654.310000	10856.520000	11850.795000	-33152.490000	-39586.455000	6558.345000	12678.390000	-6.139411	-2.277170	-2.398599	-0.698153	-0.178004	-0.269716	-0.586019	-2.617720	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695491.000000	1773865634.059910
-1504.395000	-8664.570000	10852.155000	11853.360000	-33152.580000	-39585.240000	6551.775000	12675.105000	-1.910308	-0.961819	-1.755463	-0.000984	0.937064	0.625791	0.227527	0.729142	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695492.000000	1773865634.059916
-1518.255000	-8668.935000	10858.005000	11873.070000	-33136.515000	-39565.800000	6549.930000	12671.505000	4.360129	2.011073	-0.002305	0.946525	1.570806	0.858350	0.456685	4.767537	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695493.000000	1773865634.059923
-1516.590000	-8671.905000	10855.530000	11877.705000	-33135.390000	-39560.175000	6552.945000	12670.605000	8.626942	3.929895	1.588733	1.419997	1.218163	0.313465	-0.020482	6.891652	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695494.000000	1773865634.059928
-1495.215000	-8658.090000	10857.060000	11876.895000	-33138.585000	-39561.570000	6555.150000	12674.925000	8.727129	3.115240	1.696804	0.507721	-0.471179	-0.986508	-0.474334	6.231151	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695495.000000	1773865634.059934
-1501.110000	-8656.605000	10859.490000	11877.120000	-33137.280000	-39562.470000	6554.295000	12668.760000	5.998871	0.822195	0.388555	-1.547311	-2.740806	-2.415177	-0.181534	3.720466	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695496.000000	1773865634.059939
-1486.350000	-8647.335000	10867.770000	11877.795000	-33133.365000	-39561.930000	6559.335000	12681.045000	2.595589	-0.559485	-0.733987	-2.888410	-3.637559	-2.660926	0.678466	0.561321	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695497.000000	1773865634.059945
-1478.250000	-8637.075000	10878.705000	11879.460000	-33126.570000	-39559.905000	6567.435000	12688.110000	-0.195366	-0.021323	-0.210788	-1.848919	-1.827771	-0.923391	1.326245	-2.003432	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695498.000000	1773865634.059950
-1489.815000	-8643.465000	10871.595000	11865.690000	-33138.135000	-39574.890000	6562.845000	12669.750000	-2.387326	1.210661	1.537458	1.051778	1.754395	1.927583	1.187395	-3.285800	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695499.000000	1773865634.060568
-1512.225000	-8658.720000	10857.015000	11853.720000	-33152.580000	-39586.950000	6556.860000	12661.200000	-4.992938	0.749232	2.232896	3.152511	4.169720	3.528262	0.105433	-3.992394	0.366240	2.777320	1.526000	0.828489	-0.134582	0.467467	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695500.000000	1773865634.060579
-1544.220000	-8673.345000	10851.390000	11860.830000	-33149.295000	-39578.895000	6555.060000	12662.550000	-8.163080	-2.307055	0.202245	2.240561	3.079867	2.166887	-1.476163	-4.649410	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695501.000000	1773865634.062627
-1547.550000	-8680.140000	10853.505000	11873.835000	-33137.235000	-39563.370000	6556.455000	12669.660000	-10.310215	-6.226339	-3.533811	-1.155251	-0.851669	-1.317352	-2.582655	-4.267911	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695502.000000	1773865634.062633
-1510.920000	-8673.480000	10855.440000	11879.055000	-33134.265000	-39559.590000	6551.055000	12676.905000	-8.899736	-8.267595	-6.236778	-4.432161	-4.632884	-4.330092	-2.584075	-1.757214	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695503.000000	1773865634.072165
-1477.350000	-8648.595000	10865.925000	11885.535000	-33129.630000	-39557.340000	6551.865000	12678.120000	-2.185354	-6.423830	-5.729334	-5.099968	-5.489725	-4.705083	-1.655076	2.303807	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695504.000000	1773865634.072174
-1481.715000	-8640.585000	10868.760000	11879.235000	-33133.860000	-39564.855000	6551.730000	12667.545000	8.032337	-0.521696	-1.859250	-2.559456	-2.901211	-2.253909	-0.298854	5.582523	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695505.000000	1773865634.076436
-1497.645000	-8654.310000	10856.520000	11856.735000	-33152.445000	-39586.230000	6553.125000	12673.935000	15.653880	6.583145	3.049037	1.231911	0.949141	1.010926	0.911654	5.714766	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695506.000000	1773865634.076447
-1509.255000	-8663.130000	10846.260000	11837.430000	-33168.510000	-39604.050000	6553.035000	12674.880000	14.738938	10.086715	5.550249	3.210157	2.916768	2.454488	1.433517	2.667010	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695507.000000	1773865634.092551
-1516.230000	-8660.430000	10853.955000	11846.385000	-33159.330000	-39598.785000	6553.710000	12669.975000	5.466141	7.705560	4.351434	2.404221	2.122350	1.556785	1.302610	-1.064613	2.258480	4.318580	-0.259420	0.825376	-0.137207	0.471556	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.103448	0.000000	-1.000000	-1.000000	695508.000000	1773865634.092562
