Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-5898.330000	2361.870000	12398.850000	15299.955000	-16441.020000	-19518.975000	8822.430000	16202.070000	-12.522618	-19.788026	-18.689713	-18.067588	-15.616136	-10.184791	1.404245	21.038292	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884954.000000	1773868013.722292
-5892.300000	2351.430000	12386.070000	15290.460000	-16447.545000	-19519.110000	8843.130000	16333.830000	-22.510718	-23.424367	-22.181573	-21.009696	-17.858019	-11.198631	-1.749517	0.172435	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884955.000000	1773868013.726567
-5877.720000	2357.415000	12397.095000	15304.770000	-16427.655000	-19491.660000	8843.985000	16339.410000	-20.677460	-17.541296	-17.465393	-16.409452	-13.939181	-8.456766	-2.297345	-8.617488	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884956.000000	1773868013.726578
-5880.420000	2344.365000	12380.535000	15285.195000	-16455.555000	-19521.315000	8841.015000	16321.545000	-9.908953	-8.592037	-10.075476	-9.466392	-8.261896	-5.110676	-2.045079	-1.320410	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884957.000000	1773868013.733950
-5882.355000	2350.710000	12385.710000	15288.255000	-16457.490000	-19524.690000	8833.365000	16306.470000	3.246353	-0.627285	-2.920103	-2.853686	-3.103024	-2.296568	-3.174041	6.563690	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884958.000000	1773868013.733960
-5893.920000	2356.290000	12393.585000	15302.160000	-16436.880000	-19513.035000	8821.395000	16300.080000	12.786401	5.805986	3.755002	3.258060	1.450102	-0.038014	-5.898265	1.523358	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884959.000000	1773868013.741066
-5880.870000	2385.180000	12420.360000	15325.110000	-16420.050000	-19496.115000	8847.720000	16294.680000	15.885833	11.519235	10.500026	9.656608	6.767228	2.942054	-7.577552	-11.736769	-1.831200	5.875100	-12.131700	0.810118	0.337401	0.418090	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884960.000000	1773868013.741076
-5875.380000	2393.910000	12428.145000	15329.160000	-16417.215000	-19487.250000	8845.785000	16276.455000	13.354613	16.585704	16.760680	15.865019	13.006872	7.642736	-5.038500	-20.260941	-3.021480	5.341000	-15.397340	0.812559	0.339660	0.420531	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884961.000000	1773868013.741086
-5921.865000	2349.945000	12393.495000	15302.610000	-16430.985000	-19504.350000	8796.555000	16250.760000	7.474353	18.387891	19.297716	18.553519	16.951629	11.898340	0.800525	-17.341634	-3.021480	5.341000	-15.397340	0.812559	0.339660	0.420531	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884962.000000	1773868013.741091
-5918.715000	2327.580000	12363.840000	15269.670000	-16470.405000	-19543.815000	8767.305000	16241.850000	-0.177859	12.685046	13.821006	13.468633	13.847808	11.003593	4.212192	-6.584600	-3.021480	5.341000	-15.397340	0.812559	0.339660	0.420531	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884963.000000	1773868013.755032
-5839.335000	2401.020000	12429.720000	15330.060000	-16416.315000	-19489.950000	8818.335000	16248.060000	-6.654346	0.388550	1.282407	1.278439	3.081789	3.205537	2.025026	2.536541	-3.021480	5.341000	-15.397340	0.812559	0.339660	0.420531	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.379310	0.000000	-1.000000	-1.000000	1884964.000000	1773868013.755044
