Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-3194.235000	-1321.245000	12479.940000	16198.425000	-16455.555000	-20866.095000	9733.365000	18324.540000	9.824699	1.601863	-1.812155	4.186526	7.412558	5.376291	0.457634	8.527227	-0.808780	9.659580	-5.676720	0.796018	0.375854	0.435180	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677229.000000	1773867598.099264
-3207.150000	-1340.370000	12468.105000	16174.800000	-16472.745000	-20875.185000	9713.700000	18292.770000	6.215244	7.499455	5.194714	11.854442	19.143334	10.867214	4.160881	1.580093	-0.808780	9.659580	-5.676720	0.796018	0.375854	0.435180	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677230.000000	1773867598.099274
-3229.065000	-1352.340000	12463.470000	16177.410000	-16468.875000	-20889.810000	9684.720000	18252.540000	-0.047044	11.730662	16.014240	17.555040	25.142392	14.498999	6.082390	-10.381397	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677231.000000	1773867598.103178
-3209.040000	-1319.355000	12496.680000	16207.155000	-16436.700000	-20871.585000	9680.895000	18282.150000	-5.433654	10.723439	23.269651	16.816183	22.226412	12.962009	2.549767	-20.310469	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677232.000000	1773867598.103185
-3196.710000	-1285.245000	12528.045000	16229.970000	-16419.240000	-20848.725000	9699.795000	18271.035000	-6.983989	6.163670	21.654588	10.196027	13.180790	6.384567	-4.467305	-20.166258	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677233.000000	1773867598.107089
-3162.285000	-1235.565000	12567.420000	16250.355000	-16420.365000	-20846.295000	9723.465000	18238.545000	-4.145114	2.349018	12.185563	1.721056	2.775860	-2.296790	-8.802522	-9.261379	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677234.000000	1773867598.107096
-3149.235000	-1292.175000	12512.790000	16206.435000	-16455.105000	-20853.180000	9731.970000	18279.720000	1.246310	0.305334	-0.532354	-5.870062	-7.403730	-9.726776	-5.937264	5.081400	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677235.000000	1773867598.111231
-3216.195000	-1419.390000	12413.160000	16141.275000	-16480.935000	-20891.205000	9702.765000	18340.515000	6.118994	-4.459000	-12.916999	-12.921781	-17.180980	-13.518116	1.889246	16.549045	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677236.000000	1773867598.111239
-3222.540000	-1401.570000	12417.660000	16128.855000	-16494.660000	-20918.790000	9687.060000	18264.735000	6.881213	-15.493724	-23.111940	-20.096128	-24.533571	-13.986144	6.957138	22.136394	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677237.000000	1773867598.115211
-3229.110000	-1358.370000	12467.880000	16173.900000	-16456.410000	-20892.465000	9681.840000	18220.365000	2.366232	-25.994368	-26.974214	-23.451821	-25.253800	-12.288030	4.370537	17.462006	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677238.000000	1773867598.115223
-3264.030000	-1374.210000	12478.545000	16157.565000	-16480.575000	-20924.730000	9688.545000	18312.570000	-4.566904	-24.239823	-19.385854	-16.884425	-16.221898	-7.529734	-2.498406	3.587536	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677239.000000	1773867598.122478
-3256.740000	-1388.745000	12458.070000	16120.935000	-16535.970000	-20957.895000	9699.480000	18388.980000	-9.521884	-8.418784	-2.225523	-1.750537	-1.409093	-0.174413	-6.247108	-6.778640	2.090620	8.423520	-2.884140	0.792784	0.368896	0.439818	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677240.000000	1773867598.122488
-3193.965000	-1354.680000	12447.945000	16149.375000	-16486.830000	-20896.380000	9690.165000	18353.520000	-8.788552	11.626772	13.814241	12.528449	10.313472	6.596316	-3.582222	-4.377406	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677241.000000	1773867598.123773
-3177.765000	-1332.540000	12439.080000	16171.740000	-16464.420000	-20885.130000	9684.090000	18321.210000	-1.427837	24.847722	18.254348	18.936920	15.352035	11.186981	1.843205	3.905275	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677242.000000	1773867598.123788
-3201.345000	-1342.530000	12459.600000	16180.605000	-16461.045000	-20886.840000	9662.535000	18268.785000	7.747173	26.140602	10.512178	17.867044	16.329545	13.496604	4.225261	5.314330	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677243.000000	1773867598.127119
-3220.605000	-1339.155000	12483.090000	16190.235000	-16454.745000	-20876.715000	9676.665000	18217.485000	11.429074	18.297140	1.093972	13.861961	15.780962	13.148477	1.911400	-5.833708	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677244.000000	1773867598.127129
-3212.055000	-1337.355000	12486.465000	16182.135000	-16468.965000	-20886.480000	9706.995000	18244.260000	8.383036	9.622830	1.580422	10.998738	13.892316	10.609183	-1.069381	-24.023116	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677245.000000	1773867598.131571
-3196.575000	-1333.125000	12483.855000	16164.180000	-16487.730000	-20918.295000	9710.820000	18361.710000	3.579725	4.575984	11.063117	8.552373	8.799360	5.996244	0.068371	-32.638886	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677246.000000	1773867598.131582
-3197.070000	-1333.125000	12477.735000	16182.315000	-16455.465000	-20880.090000	9696.420000	18351.585000	0.909759	-0.173670	16.957422	2.565384	-0.381534	-0.981696	4.702741	-17.864822	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677247.000000	1773867598.147406
-3201.480000	-1369.170000	12433.950000	16166.295000	-16468.605000	-20895.075000	9711.180000	18383.085000	0.555285	-7.862537	9.823109	-6.934364	-9.725114	-7.512642	7.890109	12.204415	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677248.000000	1773867598.147419
-3197.475000	-1301.355000	12516.660000	16209.495000	-16439.310000	-20855.880000	9732.645000	18280.260000	0.159646	-15.891119	-6.604223	-14.593717	-13.523122	-9.589411	6.727138	33.239308	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677249.000000	1773867598.147430
-3224.655000	-1263.870000	12561.480000	16239.060000	-16398.585000	-20817.450000	9724.995000	18202.095000	-3.778197	-18.536876	-18.963323	-15.629857	-10.417259	-7.103585	2.367115	28.652654	6.592320	7.080640	-2.945180	0.791990	0.366027	0.446776	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677250.000000	1773867598.147436
-3273.030000	-1339.785000	12496.680000	16178.670000	-16457.265000	-20880.180000	9702.135000	18247.410000	-12.493533	-14.511128	-18.951110	-11.259658	-4.728363	-3.965706	-3.158573	4.328456	-1.159760	7.828380	-3.540320	0.794187	0.376952	0.448729	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.103448	0.000000	-1.000000	-1.000000	1677251.000000	1773867598.147442
