Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-1364.040000	-1303.065000	11573.145000	18809.775000	-13942.665000	-20027.700000	9341.865000	19272.645000	6.426008	14.727147	10.400096	16.648938	20.246578	17.994688	1.154806	-32.323303	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740452.000000	1773867724.592955
-1348.785000	-1298.205000	11576.205000	18811.575000	-13941.945000	-20028.465000	9329.085000	19282.230000	9.078893	14.849246	15.366718	19.438850	23.919800	22.308989	-1.386340	-32.187504	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740453.000000	1773867724.596992
-1336.230000	-1308.690000	11564.505000	18800.100000	-13951.440000	-20036.655000	9323.685000	19300.050000	8.868745	6.642833	9.109781	12.625831	17.350279	17.574219	-2.842779	-15.316974	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740454.000000	1773867724.597003
-1322.370000	-1273.455000	11603.160000	18839.610000	-13913.460000	-20004.840000	9353.475000	19287.585000	5.903678	-5.399911	-3.706017	-0.133513	3.543566	6.373432	-2.955702	5.795949	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740455.000000	1773867724.600912
-1278.090000	-1196.550000	11675.835000	18908.955000	-13842.090000	-19934.100000	9416.835000	19217.745000	1.985077	-12.552301	-11.884057	-9.938906	-8.690148	-4.254467	-0.219230	18.382979	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740456.000000	1773867724.600922
-1306.800000	-1188.360000	11676.780000	18915.435000	-13830.795000	-19914.615000	9406.845000	19162.260000	-0.266653	-8.218447	-7.060934	-9.893052	-11.745991	-8.012550	5.919134	16.746201	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740457.000000	1773867724.604943
-1391.940000	-1302.795000	11537.280000	18832.410000	-13904.010000	-20016.495000	9324.135000	19243.980000	-2.044987	2.597654	4.488082	-3.178751	-7.299513	-6.181922	10.005822	4.902266	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740458.000000	1773867724.604953
-1384.380000	-1375.740000	11444.085000	18740.655000	-13979.115000	-20099.250000	9289.935000	19358.100000	-6.991716	5.693822	6.313022	-0.701453	-4.710921	-7.180399	4.258205	-3.875396	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740459.000000	1773867724.610674
-1377.090000	-1357.290000	11482.650000	18715.770000	-13998.105000	-20068.920000	9309.960000	19351.755000	-13.149541	-5.307138	-7.435288	-8.727217	-9.945004	-15.001834	-9.916344	1.817177	-3.326680	1.434440	-2.823100	0.801451	0.324279	0.463012	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740460.000000	1773867724.610685
-1354.950000	-1312.245000	11565.585000	18740.835000	-14004.090000	-20075.895000	9322.245000	19345.860000	-13.673525	-19.720221	-22.534333	-20.754545	-18.534999	-22.104124	-20.658969	17.456660	-2.807840	2.609460	-2.182180	0.801939	0.327087	0.462218	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.620690	0.000000	-1.000000	-1.000000	1740461.000000	1773867724.614238
