Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
16756.740000	-18393.255000	9380.070000	19671.435000	8644.410000	-41520.870000	-32762.070000	-19709.415000	-25.558840	-29.603000	-29.867463	-30.537369	-30.691811	-30.139648	-18.837415	-38.948427	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915533.000000	1774905765.737037
16740.720000	-18412.245000	9353.115000	19649.745000	8621.370000	-41561.145000	-32783.265000	-19689.525000	-23.294905	-31.929251	-35.342658	-37.502451	-38.619761	-37.471071	-26.002365	-40.313698	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915534.000000	1774905765.737051
16772.175000	-18373.950000	9399.195000	19689.480000	8652.555000	-41574.960000	-32758.740000	-19659.645000	-13.681392	-22.303398	-26.982023	-29.069167	-30.171450	-29.607679	-22.537522	-25.491040	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915535.000000	1774905765.741002
16762.725000	-18381.150000	9407.520000	19694.295000	8654.670000	-41554.800000	-32751.225000	-19679.715000	0.847689	-3.210120	-6.222017	-7.404920	-8.070326	-10.963171	-8.995848	0.483810	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915536.000000	1774905765.741014
16734.150000	-18408.105000	9391.230000	19670.535000	8637.885000	-41555.520000	-32761.980000	-19703.880000	14.648047	16.552389	17.451742	16.656608	16.409707	9.933123	8.103899	24.337494	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915537.000000	1774905765.749278
16715.340000	-18421.920000	9372.915000	19654.965000	8620.065000	-41571.630000	-32763.150000	-19709.055000	20.498838	26.551339	31.333758	30.115658	30.358009	24.472031	19.842587	33.932373	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915538.000000	1774905765.749289
16712.685000	-18410.715000	9378.630000	19661.625000	8619.030000	-41581.080000	-32754.330000	-19706.220000	15.256029	23.056888	29.299002	27.881783	28.426439	27.373039	21.542211	27.522388	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915539.000000	1774905765.749300
16739.910000	-18385.605000	9396.675000	19685.025000	8644.860000	-41558.400000	-32751.945000	-19705.680000	3.625795	11.824935	16.251361	15.885193	16.306261	20.477776	15.442997	12.969012	2.090620	3.280900	1.098720	0.921445	-0.137817	0.372314	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915540.000000	1774905765.749305
16779.105000	-18349.830000	9422.955000	19718.595000	8689.635000	-41522.265000	-32745.555000	-19694.475000	-4.495490	2.845111	3.152958	5.015734	5.386421	11.273627	7.272678	0.258600	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915541.000000	1774905765.752728
16808.895000	-18330.300000	9433.620000	19728.135000	8699.175000	-41510.655000	-32734.170000	-19675.395000	-2.028106	2.233564	-1.889073	2.182388	2.921374	5.993797	1.703405	-4.954825	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915542.000000	1774905765.752739
16788.195000	-18360.045000	9401.130000	19696.860000	8667.765000	-41532.480000	-32734.710000	-19680.930000	8.226387	6.995199	0.201784	4.889138	5.976009	4.924081	-0.178493	-3.861083	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915543.000000	1774905765.756944
16739.505000	-18400.140000	9384.030000	19668.915000	8631.765000	-41567.625000	-32741.505000	-19706.175000	14.812118	7.419285	1.066602	4.079206	5.038168	3.224224	-1.093469	-2.296931	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915544.000000	1774905765.756955
16770.150000	-18376.965000	9433.080000	19707.255000	8668.800000	-41533.920000	-32719.095000	-19672.245000	9.372733	-1.987704	-4.626518	-5.005421	-4.744849	-3.441088	-3.996308	-3.901836	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915545.000000	1774905765.763831
16791.030000	-18351.540000	9444.330000	19725.030000	8693.280000	-41507.865000	-32712.570000	-19641.780000	-3.534505	-14.773320	-12.091344	-16.003842	-16.797059	-12.589804	-7.922443	-5.750806	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915546.000000	1774905765.763842
16788.915000	-18350.415000	9437.580000	19720.665000	8686.845000	-41515.155000	-32721.660000	-19633.005000	-13.181698	-20.258278	-13.930878	-19.459804	-21.017671	-17.358563	-9.963458	-3.657217	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915547.000000	1774905765.765102
16769.160000	-18370.620000	9418.185000	19702.170000	8665.515000	-41539.095000	-32737.140000	-19661.670000	-15.231159	-15.869330	-9.740101	-13.992583	-15.418365	-15.071385	-9.525484	0.880691	1.846460	3.372460	1.220800	0.921018	-0.135742	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	915548.000000	1774905765.765112
