Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-3729.690000	10546.470000	21665.160000	21491.550000	-4988.520000	6506.280000	375729.345000	9244.485000	1.587982	0.940715	-0.269518	-1.489990	-1.337357	-1.327628	80.083238	1.871056	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194831.000000	1770061885.699277
-3720.690000	10548.945000	21664.305000	21488.670000	-4990.140000	6508.260000	375709.365000	9262.935000	4.249918	1.488941	0.521973	-1.341283	0.180040	0.777409	46.813091	8.766607	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194832.000000	1770061885.699287
-3682.215000	10577.430000	21688.695000	21511.035000	-4970.070000	6526.890000	375682.320000	9311.535000	6.040939	2.781647	2.613665	0.616218	3.092711	3.740139	-0.704441	13.050988	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194833.000000	1770061885.703862
-3695.130000	10569.600000	21686.310000	21511.845000	-4968.090000	6525.000000	375696.810000	9287.505000	5.057133	2.528532	3.150735	1.495105	4.151418	4.563496	-47.444446	12.268316	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194834.000000	1770061885.703868
-3732.930000	10541.835000	21664.485000	21492.810000	-4985.820000	6506.145000	375688.395000	9238.410000	0.692299	-0.470490	0.778532	-0.053045	2.046625	2.139447	-73.020240	5.303451	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194835.000000	1770061885.708417
-3682.260000	10573.605000	21691.710000	21518.055000	-4961.700000	6528.285000	375677.325000	9316.260000	-6.417078	-5.688740	-3.797022	-3.419896	-2.253057	-2.510592	-65.939030	-6.641568	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194836.000000	1770061885.708427
-3672.180000	10587.465000	21703.545000	21528.135000	-4953.240000	6538.770000	375654.780000	9321.705000	-12.112494	-9.332828	-7.078748	-5.653827	-5.650176	-6.272162	-33.088721	-16.727561	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194837.000000	1770061885.711306
-3690.450000	10590.795000	21713.535000	21539.250000	-4943.385000	6544.845000	375642.585000	9270.945000	-11.920297	-7.547014	-5.749174	-4.048303	-5.424935	-6.290901	6.560955	-18.483744	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194838.000000	1770061885.711317
-3736.170000	10549.350000	21674.205000	21498.480000	-4984.650000	6503.175000	375643.530000	9213.300000	-6.391196	-1.190513	-0.569058	0.611553	-2.016931	-2.870992	35.145240	-13.354645	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194839.000000	1770061885.717576
-3804.795000	10490.760000	21623.040000	21448.305000	-5033.610000	6456.375000	375629.985000	9153.090000	-1.136531	3.783650	3.210289	3.559646	0.415976	-0.120934	43.688340	-8.039305	-1.312360	3.341940	-2.029580	0.859068	0.175293	0.442809	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194840.000000	1770061885.717584
-3760.920000	10523.385000	21651.885000	21474.945000	-5008.905000	6479.280000	375610.095000	9205.920000	-0.688012	2.447073	1.271436	0.973442	-1.588849	-1.557358	32.463800	-6.084313	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194841.000000	1770061885.723030
-3739.140000	10536.075000	21659.850000	21483.045000	-4999.950000	6490.710000	375589.485000	9232.335000	-2.501914	-2.687329	-3.953685	-4.509858	-5.558263	-4.861938	9.066653	-3.812537	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194842.000000	1770061885.723037
-3729.060000	10545.075000	21667.635000	21491.460000	-4990.545000	6499.215000	375571.395000	9238.860000	-0.319623	-4.849841	-6.363632	-6.896972	-6.064083	-4.699698	-14.713543	4.193136	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194843.000000	1770061885.723329
-3719.655000	10560.060000	21682.845000	21504.510000	-4980.465000	6503.895000	375589.125000	9243.315000	7.540171	-0.674077	-2.826451	-3.269606	-0.945549	0.836686	-27.741953	16.871076	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194844.000000	1770061885.723339
-3726.585000	10562.130000	21689.730000	21513.060000	-4971.195000	6516.540000	375571.575000	9244.620000	15.422402	6.923830	4.540998	4.205322	6.990287	8.484999	-24.567452	25.580807	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194845.000000	1770061885.728633
-3728.250000	10556.370000	21685.545000	21507.210000	-4977.090000	6509.970000	375564.330000	9233.010000	16.138594	11.675101	10.334529	10.226947	12.359626	12.871752	-8.731980	22.718684	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194846.000000	1770061885.728643
-3722.805000	10549.350000	21675.735000	21495.060000	-4983.885000	6509.880000	375546.060000	9248.085000	9.315401	10.109181	10.655441	10.838911	11.778336	11.289844	9.493146	10.908474	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194847.000000	1770061885.731191
-3719.385000	10549.845000	21673.395000	21492.495000	-4987.035000	6504.885000	375525.180000	9255.240000	1.473456	4.652660	6.488513	6.806047	6.747013	5.899397	19.776005	0.032874	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194848.000000	1770061885.731198
-3721.455000	10549.440000	21672.585000	21492.495000	-4985.775000	6505.425000	375531.660000	9254.520000	-1.909091	0.085576	1.728603	1.995083	1.425884	0.773469	17.801467	-3.955467	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194849.000000	1770061885.735250
-3718.260000	10549.395000	21671.865000	21490.110000	-4987.440000	6506.910000	375517.710000	9261.135000	-2.253609	-2.296911	-1.785023	-1.572253	-2.275999	-2.704377	7.279405	-4.360221	-0.442540	2.533160	-2.060100	0.858396	0.173889	0.443358	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194850.000000	1770061885.735260
-3723.165000	10553.220000	21677.310000	21494.790000	-4984.605000	6506.730000	375506.280000	9258.480000	-4.500668	-4.639756	-4.937754	-4.729200	-5.393045	-5.772595	-4.225415	-7.343499	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194851.000000	1770061885.739292
-3714.390000	10554.210000	21677.220000	21493.035000	-4986.945000	6504.705000	375496.020000	9281.610000	-9.489446	-7.575156	-7.731129	-7.623666	-8.293688	-8.707911	-11.109769	-12.924720	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194852.000000	1770061885.739299
-3694.455000	10564.470000	21689.280000	21507.345000	-4970.880000	6518.475000	375466.095000	9296.820000	-13.212743	-9.304098	-8.731109	-8.823017	-9.564814	-9.975173	-12.110109	-15.981764	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194853.000000	1770061885.743180
-3732.930000	10545.210000	21671.865000	21491.820000	-4982.085000	6511.545000	375466.185000	9238.455000	-12.432045	-8.505252	-7.325764	-7.460870	-8.065367	-8.370682	-8.863270	-14.029090	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194854.000000	1770061885.743191
-3735.990000	10538.280000	21662.865000	21482.460000	-4990.275000	6506.010000	375458.850000	9232.155000	-7.838791	-5.491068	-4.324562	-4.187205	-4.293789	-4.373975	-3.109737	-9.209487	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194855.000000	1770061885.747255
-3715.335000	10545.930000	21668.670000	21485.475000	-4991.220000	6501.645000	375462.360000	9250.020000	-1.363990	-0.934967	-0.477091	0.040670	0.430133	0.597695	3.650205	-3.329201	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194856.000000	1770061885.747266
-3691.170000	10571.760000	21693.735000	21507.930000	-4969.980000	6518.295000	375455.295000	9274.995000	6.477131	5.051788	4.475696	5.037469	5.357999	5.476124	9.134602	4.231316	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194857.000000	1770061885.751200
-3682.665000	10578.735000	21698.370000	21510.720000	-4968.090000	6522.210000	375434.730000	9292.140000	14.230741	11.327697	9.955192	9.989004	9.650409	9.312067	10.575614	12.827375	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194858.000000	1770061885.751209
-3716.595000	10554.075000	21676.680000	21489.075000	-4990.005000	6501.195000	375429.825000	9249.660000	17.293896	14.135939	12.639059	11.877663	10.878190	10.115560	6.799748	17.848247	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194859.000000	1770061885.755270
-3744.045000	10537.245000	21661.065000	21475.755000	-5004.495000	6487.380000	375405.255000	9216.900000	11.441163	9.757596	8.916582	7.724346	6.649008	6.044662	-0.119864	13.952270	-3.036740	3.143560	-2.441600	0.860532	0.177307	0.441832	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194860.000000	1770061885.755277
-3745.980000	10529.505000	21652.605000	21471.525000	-5003.865000	6493.590000	375389.955000	9230.265000	-1.927008	-0.973294	-0.724344	-1.527070	-1.914022	-1.616970	-6.540276	1.368527	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194861.000000	1770061885.759178
-3729.555000	10543.725000	21666.960000	21489.030000	-4982.760000	6514.290000	375346.755000	9251.685000	-15.187174	-12.081287	-10.983628	-10.679466	-9.859403	-8.305631	-9.920830	-11.911308	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194862.000000	1770061885.759186
-3710.250000	10561.500000	21681.855000	21502.845000	-4973.445000	6519.015000	375205.770000	9265.140000	-19.111378	-16.168127	-15.021110	-13.595056	-11.752307	-9.535454	-11.475759	-15.500454	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194863.000000	1770061885.763120
-3686.445000	10585.575000	21706.605000	21526.605000	-4952.610000	6532.830000	375318.135000	9280.800000	-10.142936	-9.749860	-9.317502	-7.540302	-5.713362	-4.343942	-12.996072	-6.084752	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194864.000000	1770061885.763126
-3742.245000	10539.540000	21663.270000	21482.370000	-4998.690000	6486.030000	375542.190000	9214.830000	4.966796	2.702025	2.331590	3.476872	4.120593	3.360861	-6.800808	7.924338	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194865.000000	1770061885.767170
-3722.580000	10549.485000	21667.230000	21482.460000	-5003.775000	6481.530000	375826.005000	9248.535000	14.279824	11.373824	10.731734	10.662841	9.730635	7.058521	19.660732	13.986651	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194866.000000	1770061885.767178
-3701.340000	10566.585000	21683.070000	21498.795000	-4985.100000	6502.680000	375871.545000	9260.910000	12.692412	10.845766	10.382863	9.124103	7.148972	4.176781	61.769266	8.632078	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194867.000000	1770061885.771156
-3785.040000	10494.945000	21617.505000	21439.800000	-5035.320000	6464.115000	375864.930000	9177.120000	4.488234	3.800430	3.603028	1.789830	0.001734	-1.382204	89.882224	-1.673215	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194868.000000	1770061885.771165
-3776.805000	10503.000000	21625.785000	21449.790000	-5023.980000	6473.115000	375844.770000	9196.605000	-4.732847	-4.830598	-4.718883	-6.087756	-6.292813	-4.992861	73.712405	-10.246255	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194869.000000	1770061885.775266
-3756.870000	10517.490000	21637.035000	21460.500000	-5014.350000	6478.605000	375831.765000	9214.695000	-10.768735	-10.497844	-10.053438	-10.346286	-8.545206	-5.152000	12.492585	-13.407447	-3.937080	3.662400	-2.868880	0.863157	0.175598	0.440673	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194870.000000	1770061885.775276
-3749.895000	10522.305000	21641.040000	21462.660000	-5013.945000	6476.805000	375831.945000	9224.460000	-10.239761	-9.687645	-9.184752	-8.676332	-6.015668	-2.662702	-62.455502	-9.449802	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194871.000000	1770061885.783436
-3738.600000	10530.720000	21651.255000	21472.920000	-5002.830000	6488.235000	375816.060000	9242.460000	-3.619004	-3.130005	-2.930828	-2.400167	-0.606838	0.708640	-111.523794	-0.099496	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194872.000000	1770061885.783449
-3722.130000	10543.815000	21664.485000	21487.230000	-4989.690000	6499.485000	375786.495000	9255.555000	4.967605	5.052179	4.912883	5.017043	5.066691	3.969918	-116.493978	10.133299	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194873.000000	1770061885.783461
-3723.480000	10548.675000	21670.740000	21492.855000	-4984.695000	6501.735000	375791.085000	9245.520000	11.627700	11.328004	11.100759	10.965953	9.624379	7.193152	-89.676535	16.749287	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194874.000000	1770061885.783466
-3728.205000	10545.570000	21663.360000	21482.820000	-4995.720000	6491.835000	375787.125000	9238.410000	13.357359	13.305160	13.270150	13.335524	11.600366	9.208108	-53.732330	15.962237	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194875.000000	1770061885.787171
-3733.695000	10539.855000	21656.880000	21478.500000	-4997.565000	6491.835000	375759.045000	9240.120000	8.707794	9.719251	9.901159	10.317355	9.036759	7.514080	-19.291732	7.176825	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194876.000000	1770061885.787177
-3739.140000	10540.395000	21660.570000	21485.385000	-4986.765000	6500.835000	375754.455000	9237.195000	0.934419	2.867595	2.925294	3.427547	2.866529	2.288790	15.420309	-3.721251	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194877.000000	1770061885.791451
-3736.935000	10545.930000	21665.745000	21488.400000	-4984.920000	6497.685000	375744.825000	9231.480000	-4.983693	-3.115291	-3.453935	-3.254226	-3.279843	-3.347137	51.042638	-10.229495	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194878.000000	1770061885.791461
-3721.590000	10551.555000	21667.635000	21488.085000	-4987.845000	6494.805000	375745.410000	9239.310000	-7.706280	-6.665765	-7.258242	-7.604529	-7.443292	-7.378419	80.009103	-11.823499	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194879.000000	1770061885.800938
-3715.065000	10549.935000	21663.945000	21485.835000	-4988.295000	6501.510000	375724.395000	9253.845000	-8.110083	-8.394016	-8.961934	-9.780174	-9.711985	-9.347886	91.504098	-10.499277	-2.365300	4.196500	-2.960440	0.864134	0.171814	0.441161	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194880.000000	1770061885.800946
-3723.210000	10542.420000	21659.535000	21484.890000	-4985.190000	6505.605000	375715.260000	9253.395000	-7.112807	-8.989913	-9.372760	-10.160074	-10.109505	-8.836561	79.184431	-7.265094	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194881.000000	1770061885.800955
-3721.995000	10544.490000	21664.395000	21490.020000	-4982.220000	6502.635000	375709.320000	9248.355000	-5.623661	-8.545422	-8.575749	-8.667144	-8.259311	-5.863324	44.857572	-3.030028	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194882.000000	1770061885.800960
-3718.665000	10550.205000	21670.110000	21494.070000	-4979.430000	6505.380000	375682.455000	9254.925000	-3.718056	-6.399422	-5.850180	-4.968923	-4.047036	-1.353664	-1.713677	1.189081	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194883.000000	1770061885.803189
-3719.070000	10549.035000	21666.690000	21487.680000	-4989.330000	6495.525000	375698.385000	9253.125000	-0.984056	-2.201521	-1.027395	0.417623	1.445299	3.053542	-44.440866	4.519599	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194884.000000	1770061885.803198
-3720.330000	10553.940000	21672.810000	21495.960000	-4980.465000	6503.490000	375689.610000	9253.260000	2.665590	3.361345	4.751661	5.860203	6.207269	5.784889	-65.726563	6.558488	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194885.000000	1770061885.814928
-3701.340000	10569.510000	21684.870000	21506.715000	-4972.545000	6509.655000	375678.855000	9275.850000	6.794915	8.825975	9.649078	9.631702	8.705170	6.345310	-57.513323	7.559793	-2.975700	4.837420	-2.670500	0.864378	0.173461	0.441954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.827586	0.000000	-1.000000	-1.000000	194886.000000	1770061885.814936
