Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-11097.000000	-39064.365000	-22370.040000	-13004.730000	-42554.610000	-42212.430000	-9867.285000	7877.070000	-2.525024	4.015188	4.338164	0.925699	-4.867623	-6.495527	-4.337232	-3.578855	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266743.000000	1770062029.426103
-11103.390000	-39076.830000	-22381.380000	-13014.225000	-42563.430000	-42219.000000	-9864.495000	7872.030000	1.559231	7.961649	9.099972	6.987354	3.026699	0.514178	-2.138926	-1.263410	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266744.000000	1770062029.426113
-11092.905000	-39065.040000	-22367.385000	-13000.095000	-42548.265000	-42206.445000	-9865.260000	7878.915000	4.896608	9.435004	11.028187	10.694822	9.250630	6.689037	0.495080	1.421245	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266745.000000	1770062029.430516
-11093.580000	-39064.815000	-22365.405000	-12999.015000	-42546.555000	-42204.465000	-9869.175000	7874.190000	6.691429	9.580539	11.421632	12.155525	12.420601	10.446467	3.255235	3.988358	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266746.000000	1770062029.430524
-11091.825000	-39061.980000	-22362.390000	-12996.945000	-42544.845000	-42201.540000	-9869.895000	7871.265000	7.079451	8.831586	10.660361	11.393860	12.344218	11.213479	5.163831	5.759732	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266747.000000	1770062029.434295
-11078.280000	-39043.980000	-22342.725000	-12976.740000	-42523.290000	-42181.110000	-9861.210000	7883.685000	6.560562	6.900129	8.228342	8.395779	9.634460	9.365479	5.502330	6.077207	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266748.000000	1770062029.434307
-11091.645000	-39058.920000	-22360.725000	-12994.560000	-42539.895000	-42196.590000	-9858.015000	7878.960000	5.580671	4.150063	4.477480	4.200738	5.713745	6.151961	4.595366	5.079370	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266749.000000	1770062029.438288
-11089.170000	-39054.195000	-22351.905000	-12986.280000	-42535.305000	-42198.165000	-9856.890000	7881.345000	3.764949	0.858426	-0.048173	-0.391246	1.167333	2.128710	3.115078	3.129424	-2.395820	5.157880	0.350980	0.930906	-0.019592	0.344848	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266750.000000	1770062029.438298
-11072.565000	-39025.305000	-22319.865000	-12959.685000	-42516.270000	-42189.255000	-9859.590000	7876.485000	0.946193	-2.567181	-4.389497	-4.550658	-3.446507	-2.233533	1.389216	0.491608	-4.898460	4.150720	-0.564620	0.928037	-0.017517	0.344421	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266751.000000	1770062029.444244
-11067.840000	-39004.560000	-22305.330000	-12958.830000	-42534.315000	-42211.575000	-9878.940000	7857.360000	-1.716022	-4.408926	-6.362398	-6.419619	-6.328943	-5.501361	-0.703690	-2.409402	-4.898460	4.150720	-0.564620	0.928037	-0.017517	0.344421	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266752.000000	1770062029.444254
-11064.645000	-39006.990000	-22310.595000	-12955.095000	-42512.490000	-42184.845000	-9866.295000	7873.110000	-3.369521	-3.618033	-5.151931	-5.477802	-6.705560	-6.833937	-3.282180	-5.004857	-4.898460	4.150720	-0.564620	0.928037	-0.017517	0.344421	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	88.000000	0.000000	-1.000000	-1.000000	266753.000000	1770062029.446987
