Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-11647.305000	-28277.055000	-7518.870000	5682.825000	-22237.875000	-19224.540000	2480.310000	2131.515000	3.883300	5.179297	5.662611	2.663699	2.256724	-0.205633	4.896914	5.200606	-3.113040	5.234180	-1.526000	0.770994	0.628111	0.093017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385678.000000	1770064267.720990
-11645.235000	-28273.995000	-7512.390000	5693.355000	-22227.075000	-19214.910000	2488.185000	2114.370000	3.851588	4.639365	4.457730	1.081832	1.159581	-0.217070	6.538723	3.156171	-3.113040	5.234180	-1.526000	0.770994	0.628111	0.093017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385679.000000	1770064267.731880
-11644.965000	-28273.815000	-7513.830000	5688.720000	-22235.130000	-19219.500000	2487.465000	2114.685000	1.545679	1.548075	0.911879	-1.668039	-1.547795	-1.304299	5.292503	-1.654889	-3.113040	5.234180	-1.526000	0.770994	0.628111	0.093017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385680.000000	1770064267.731891
-11646.315000	-28278.990000	-7517.880000	5687.010000	-22237.290000	-19219.725000	2488.995000	2131.065000	-1.703915	-2.605679	-3.179768	-4.007012	-4.067015	-2.071954	2.595536	-5.779348	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385681.000000	1770064267.731904
-11640.420000	-28273.050000	-7510.455000	5698.620000	-22219.605000	-19202.265000	2484.765000	2130.975000	-4.382637	-6.082031	-6.244299	-5.038072	-5.146128	-1.788209	-0.222752	-5.733102	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385682.000000	1770064267.731909
-11638.215000	-28271.655000	-7507.980000	5700.915000	-22211.190000	-19188.090000	2499.255000	2139.930000	-5.313665	-7.422811	-7.168027	-4.373282	-4.042871	-0.199476	-2.545972	-1.409115	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385683.000000	1770064267.733413
-11638.215000	-28266.570000	-7505.415000	5700.375000	-22214.790000	-19197.675000	2498.400000	2120.445000	-4.310763	-6.187189	-5.764392	-2.429344	-1.223054	2.057545	-3.714305	3.630524	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385684.000000	1770064267.733423
-11621.070000	-28246.275000	-7485.300000	5719.320000	-22201.515000	-19181.790000	2518.695000	2144.205000	-2.160452	-3.029461	-2.788356	-0.227947	1.436773	3.093038	-3.189203	5.410040	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385685.000000	1770064267.735889
-11638.755000	-28269.720000	-7507.530000	5694.255000	-22225.680000	-19195.290000	2509.470000	2161.260000	0.257788	0.857457	0.709352	1.500769	2.340570	1.888438	-1.200375	3.674566	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385686.000000	1770064267.735895
-11640.285000	-28271.610000	-7510.770000	5687.955000	-22232.070000	-19199.700000	2497.905000	2154.870000	2.027960	3.670387	3.182117	1.891005	0.949285	-0.747277	0.821534	1.644929	-3.631880	5.585160	-2.411080	0.770628	0.627501	0.094238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1385687.000000	1770064267.740183
