Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-31748.130000	-42554.745000	-25063.380000	-7042.815000	-35019.495000	-26913.420000	661.230000	-18290.340000	1.782498	-3.451741	-2.914012	-3.736088	-3.024782	-3.224733	-3.583960	-0.390977	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151825.000000	1770065800.812677
-31744.080000	-42555.735000	-25069.680000	-7049.565000	-35026.470000	-26918.415000	666.855000	-18252.810000	-4.955695	-5.966580	-3.854253	-3.976822	-3.534902	-3.473930	-3.340536	-4.449218	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151826.000000	1770065800.812687
-31745.790000	-42560.505000	-25073.820000	-7054.875000	-35032.770000	-26923.635000	668.610000	-18242.280000	-10.232541	-7.241758	-4.487414	-3.828064	-3.781045	-3.615425	-2.542593	-6.415772	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151827.000000	1770065800.816754
-31750.380000	-42559.875000	-25078.095000	-7063.965000	-35037.180000	-26927.550000	672.795000	-18257.220000	-12.939519	-7.191291	-4.526876	-3.432057	-3.655086	-3.516898	-1.503332	-5.390984	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151828.000000	1770065800.816764
-31751.415000	-42556.365000	-25084.260000	-7073.955000	-35042.040000	-26932.590000	681.795000	-18254.115000	-12.152650	-5.271492	-3.142188	-2.196463	-2.374979	-2.298693	-0.145658	-3.198418	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151829.000000	1770065800.820641
-31750.830000	-42554.745000	-25081.830000	-7071.615000	-35040.555000	-26931.375000	679.770000	-18255.555000	-7.832764	-1.512994	-0.138850	0.261103	0.415114	0.455498	1.627861	-1.558935	-1.953280	2.639980	-1.449700	0.735411	-0.203308	0.615355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151830.000000	1770065800.820652
-31764.330000	-42560.955000	-25076.520000	-7057.530000	-35031.600000	-26923.590000	671.220000	-18272.700000	-1.638635	2.949644	3.720975	3.595912	4.088346	4.103086	3.547302	-0.611950	-4.196500	3.113040	-2.914660	0.735533	-0.201171	0.618285	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151831.000000	1770065800.838551
-31764.960000	-42553.440000	-25059.330000	-7035.480000	-35012.655000	-26903.385000	672.570000	-18278.190000	3.750487	6.318682	6.880007	6.550283	7.053930	7.093825	4.707420	-0.091091	-4.196500	3.113040	-2.914660	0.735533	-0.201171	0.618285	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151832.000000	1770065800.838564
-31744.080000	-42533.865000	-25040.655000	-7017.795000	-34994.250000	-26885.250000	684.495000	-18271.350000	7.028848	7.602120	8.048190	7.790113	7.929381	8.190321	4.476845	0.728131	-4.196500	3.113040	-2.914660	0.735533	-0.201171	0.618285	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151833.000000	1770065800.838576
-31745.880000	-42537.195000	-25049.340000	-7029.090000	-35005.905000	-26898.525000	685.665000	-18276.120000	8.710584	6.979581	6.960124	6.744612	6.425398	7.069841	3.215856	2.464712	-4.196500	3.113040	-2.914660	0.735533	-0.201171	0.618285	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2151834.000000	1770065800.838581
