Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
19010.835000	21248.685000	30411.360000	41139.630000	16982.010000	827.820000	-2908.620000	-594.765000	2.603690	11.563287	10.249978	7.494238	5.323461	2.971256	-4.516743	-5.912209	-6.546540	4.700080	3.494540	-0.795713	-0.264159	0.483031	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559925.000000	1769634930.718014
19011.285000	21250.710000	30415.860000	41147.235000	16988.400000	834.300000	-2894.670000	-582.345000	-4.797009	-0.714416	-2.192181	-5.579496	-8.441453	-6.810717	-2.363841	-7.284690	-6.546540	4.700080	3.494540	-0.795713	-0.264159	0.483031	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559926.000000	1769634930.718026
19000.305000	21237.030000	30406.005000	41138.955000	16981.155000	829.440000	-2888.370000	-570.960000	-10.505424	-12.387450	-13.472003	-15.851190	-18.035124	-13.072849	1.039716	-5.825090	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559927.000000	1769634930.723209
18991.845000	21226.185000	30392.055000	41121.405000	16966.395000	823.995000	-2886.975000	-569.880000	-11.231473	-17.282637	-17.810640	-18.748933	-19.744093	-13.837278	4.027284	-0.640285	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559928.000000	1769634930.723230
18981.225000	21203.010000	30371.040000	41110.830000	16968.285000	838.260000	-2872.215000	-571.950000	-7.478899	-14.919624	-14.952258	-14.766804	-14.476118	-9.801136	5.491326	5.846195	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559929.000000	1769634930.725698
18985.500000	21208.995000	30380.355000	41123.880000	16978.995000	843.300000	-2871.360000	-576.225000	-2.483012	-9.122378	-8.791825	-7.512124	-5.669894	-2.795926	5.915658	9.693746	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559930.000000	1769634930.725711
18984.105000	21208.770000	30375.810000	41117.355000	16974.135000	844.200000	-2863.530000	-575.685000	1.246774	-3.072542	-2.458521	0.081797	3.382630	4.708169	5.583296	8.809989	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559931.000000	1769634930.730077
19008.270000	21244.185000	30410.370000	41141.835000	16988.400000	837.585000	-2899.710000	-575.640000	3.773458	2.782792	3.586535	6.832345	10.420268	9.881955	3.477657	4.311371	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559932.000000	1769634930.730088
19014.885000	21247.785000	30412.845000	41143.185000	16986.375000	827.055000	-2912.445000	-573.975000	6.704359	9.092601	9.894550	12.432068	14.372377	10.836863	-1.427653	-0.757623	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559933.000000	1769634930.744173
19013.535000	21242.070000	30414.870000	41154.705000	17003.700000	845.460000	-2897.460000	-570.960000	9.999190	14.330953	14.967512	15.699805	14.761353	7.880133	-7.444728	-3.829514	-4.471180	4.425400	2.639980	-0.793821	-0.262939	0.483885	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	559934.000000	1769634930.744186
