Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-6071.580000	-20314.170000	-4517.550000	8374.050000	-10761.930000	-7436.655000	5957.640000	-922.320000	16.237486	17.734104	17.413101	16.631043	15.139797	10.977761	4.706967	24.947479	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449823.000000	1770064396.068928
-6051.465000	-20304.315000	-4525.425000	8361.090000	-10775.385000	-7446.375000	5994.405000	-885.870000	29.989357	26.887581	26.649592	26.250949	25.012911	20.216426	7.292800	42.214215	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449824.000000	1770064396.068938
-6052.140000	-20280.555000	-4513.545000	8367.030000	-10779.480000	-7444.980000	5991.795000	-853.965000	33.740505	26.977600	25.437747	24.682549	23.307582	20.230971	10.528362	41.544346	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449825.000000	1770064396.073753
-6070.995000	-20334.780000	-4538.520000	8358.705000	-10775.205000	-7445.070000	5973.030000	-889.830000	25.494065	19.003907	16.239915	15.235112	14.057454	13.691615	14.260788	27.111516	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449826.000000	1770064396.073763
-6160.455000	-20402.055000	-4605.210000	8300.880000	-10817.505000	-7499.205000	5944.680000	-954.180000	7.368784	4.387171	2.993487	3.270385	3.588239	5.080153	13.592146	7.368591	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449827.000000	1770064396.076915
-6196.995000	-20426.715000	-4633.920000	8274.870000	-10843.515000	-7510.050000	5928.210000	-994.455000	-15.943722	-14.951433	-12.301700	-9.151538	-5.940178	-3.859883	4.917527	-13.150025	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449828.000000	1770064396.076924
-6107.040000	-20358.045000	-4589.055000	8316.360000	-10806.480000	-7476.570000	5925.780000	-972.450000	-35.733734	-32.044333	-26.038100	-20.417615	-14.601405	-12.129572	-8.950333	-31.867373	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449829.000000	1770064396.080739
-6105.915000	-20309.130000	-4560.930000	8337.870000	-10791.765000	-7464.555000	5917.680000	-924.480000	-40.442856	-35.582554	-30.443270	-25.036609	-19.226076	-16.149671	-20.435233	-41.856279	-5.997180	5.600420	-3.555580	0.659605	0.730833	0.142578	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449830.000000	1770064396.080746
-6105.780000	-20358.855000	-4588.335000	8309.970000	-10819.665000	-7490.340000	5907.915000	-907.515000	-26.539197	-21.360216	-21.106659	-19.050927	-16.591433	-13.660953	-23.234883	-35.442102	-6.714400	5.081580	-1.892240	0.660826	0.727598	0.144104	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449831.000000	1770064396.084944
-6059.250000	-20364.840000	-4570.605000	8323.605000	-10806.120000	-7479.900000	5892.525000	-939.600000	-2.760800	0.649593	-3.288646	-5.902226	-8.483189	-7.122809	-16.896235	-14.805612	-6.714400	5.081580	-1.892240	0.660826	0.727598	0.144104	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1449832.000000	1770064396.084951
