Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-26403.390000	-32587.155000	-30641.040000	-10229.400000	-30361.320000	-16927.335000	769.005000	-13331.835000	38.722802	14.722508	2.096052	-2.329554	-4.262342	-2.999015	1.228290	24.249373	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283585.000000	1770066064.457914
-26428.050000	-32596.200000	-30644.640000	-10233.900000	-30364.290000	-16930.665000	767.835000	-13361.130000	10.864800	-4.501706	-1.332321	-1.994570	-2.699313	-2.348255	-2.667227	-1.270379	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283586.000000	1770066064.457926
-26394.750000	-32580.135000	-30635.595000	-10235.025000	-30369.060000	-16940.295000	763.065000	-13358.790000	-21.422649	-20.273715	-3.004347	-0.114009	0.332158	-0.349736	-4.435254	-23.633764	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283587.000000	1770066064.461956
-26343.855000	-32532.390000	-30609.585000	-10220.130000	-30358.170000	-16932.780000	771.165000	-13341.555000	-39.641114	-24.165959	-2.187768	2.243650	3.257080	2.049464	-3.554355	-33.755786	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283588.000000	1770066064.461966
-26369.280000	-32545.350000	-30626.955000	-10228.140000	-30362.040000	-16931.115000	773.460000	-13341.780000	-36.195821	-16.526086	0.201076	3.889719	4.874904	3.721870	-1.491613	-30.768877	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283589.000000	1770066064.465844
-26453.430000	-32605.695000	-30659.445000	-10248.480000	-30379.545000	-16945.065000	761.355000	-13351.455000	-20.515338	-5.943260	1.396266	3.530164	4.418733	3.723206	-0.078855	-20.151428	2.731540	3.845520	-3.204600	0.884397	-0.241515	0.398375	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283590.000000	1770066064.465850
-26439.885000	-32603.130000	-30652.470000	-10240.695000	-30374.280000	-16940.925000	757.260000	-13361.805000	-9.117178	-1.408280	-0.785942	0.652560	1.852985	1.876937	0.157051	-7.924561	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283591.000000	1770066064.469946
-26355.735000	-32565.510000	-30635.055000	-10227.465000	-30361.500000	-16927.830000	766.395000	-13352.760000	-5.783946	-2.559126	-4.278528	-2.651177	-1.033362	-0.294248	0.244239	3.023716	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283592.000000	1770066064.469956
-26352.180000	-32557.455000	-30631.005000	-10216.125000	-30344.715000	-16910.910000	782.280000	-13337.100000	0.601161	-1.387668	-4.874482	-3.454096	-2.027564	-0.843816	1.328270	12.465774	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283593.000000	1770066064.473982
-26353.305000	-32562.855000	-30642.345000	-10229.805000	-30358.440000	-16924.590000	777.780000	-13328.640000	16.386286	6.453277	-1.262896	-1.214000	-0.786888	0.458641	3.339341	20.564061	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283594.000000	1770066064.473993
-26367.300000	-32571.090000	-30644.775000	-10238.220000	-30368.025000	-16935.705000	775.350000	-13327.785000	33.022879	16.612781	3.903759	1.852025	0.913905	1.848057	4.880533	25.747042	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283595.000000	1770066064.484003
-26392.770000	-32573.295000	-30632.625000	-10234.170000	-30367.890000	-16938.315000	772.290000	-13347.945000	36.504005	20.707790	6.758785	3.000331	0.993622	1.417186	4.350297	24.289201	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283596.000000	1770066064.484014
-26407.395000	-32568.615000	-30625.830000	-10228.815000	-30365.640000	-16936.650000	765.315000	-13368.780000	20.485801	13.788259	5.599577	1.530718	-0.793634	-0.925034	1.179372	12.926681	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283597.000000	1770066064.484026
-26390.520000	-32562.315000	-30620.295000	-10221.660000	-30358.665000	-16928.415000	764.910000	-13360.320000	-6.533671	-0.521757	2.188058	-0.772742	-2.703192	-3.486435	-3.567189	-5.955762	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283598.000000	1770066064.484032
-26371.890000	-32556.195000	-30611.205000	-10211.580000	-30349.530000	-16917.345000	767.610000	-13368.870000	-26.870145	-12.338807	-0.135053	-1.447046	-2.558235	-4.013066	-7.085035	-23.033448	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283599.000000	1770066064.486178
-26373.555000	-32562.090000	-30622.545000	-10218.060000	-30355.830000	-16922.655000	763.965000	-13371.795000	-29.883735	-15.007363	-0.265374	-0.009712	-0.049118	-1.745474	-6.815704	-29.044347	3.036740	5.585160	-3.906560	0.885191	-0.233154	0.397582	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283600.000000	1770066064.486188
-26381.340000	-32585.040000	-30643.920000	-10237.140000	-30370.770000	-16935.705000	762.930000	-13335.435000	-19.695363	-10.748566	-0.749266	0.996088	2.094611	0.972833	-3.294610	-21.559549	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283601.000000	1770066064.489964
-26389.035000	-32589.765000	-30647.295000	-10236.915000	-30368.655000	-16937.325000	763.560000	-13329.180000	-6.309033	-5.568266	-3.795063	-0.845788	1.074691	1.115538	0.595599	-4.950642	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283602.000000	1770066064.489974
-26395.830000	-32588.730000	-30652.515000	-10237.590000	-30363.435000	-16934.580000	769.635000	-13338.135000	4.295454	-1.900438	-7.484475	-4.070492	-1.931005	-0.909492	2.992583	12.334866	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283603.000000	1770066064.493859
-26405.640000	-32574.330000	-30638.745000	-10231.650000	-30361.320000	-16935.165000	772.515000	-13358.340000	10.472856	1.464576	-8.149208	-5.055661	-3.215203	-1.966087	4.089289	21.622898	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283604.000000	1770066064.493866
-26420.355000	-32563.890000	-30621.780000	-10217.295000	-30350.880000	-16926.390000	772.785000	-13385.880000	11.918140	5.174481	-4.489702	-2.342866	-1.171404	-0.349980	4.427025	18.810723	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283605.000000	1770066064.497927
-26415.945000	-32555.025000	-30604.905000	-10195.290000	-30331.620000	-16907.130000	780.885000	-13370.850000	9.320452	7.939652	1.978540	2.666471	2.798116	2.943837	3.978471	6.832276	-4.623780	6.042960	-3.128300	0.886411	-0.222473	0.393004	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.137931	0.000000	-1.000000	-1.000000	2283606.000000	1770066064.497935
