Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2473.425000	12946.230000	17543.925000	31629.195000	6841.845000	-9475.110000	-19736.910000	-15719.445000	-2.272296	-6.732001	-6.160689	-4.719555	-3.753893	-4.051610	-1.786164	1.338888	0.427280	7.858900	-1.861720	-0.914976	-0.146606	0.291747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395023.000000	1769636601.570998
-2499.885000	12929.220000	17540.595000	31636.260000	6854.760000	-9460.710000	-19727.910000	-15734.340000	-2.841823	-5.068959	-3.682849	-2.399143	-0.809486	-1.701640	-2.808334	-0.515751	0.427280	7.858900	-1.861720	-0.914976	-0.146606	0.291747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395024.000000	1769636601.571042
-2514.240000	12918.600000	17531.640000	31629.690000	6843.645000	-9471.825000	-19711.980000	-15743.070000	-1.767968	-0.853412	1.346697	2.507366	4.363803	2.781608	-3.016723	-2.023599	0.427280	7.858900	-1.861720	-0.914976	-0.146606	0.291747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395025.000000	1769636601.571062
-2497.455000	12936.420000	17550.540000	31646.610000	6859.170000	-9464.895000	-19722.645000	-15738.525000	-1.571663	2.216208	5.175707	6.772175	8.558865	6.883731	-0.945310	-3.471106	0.427280	7.858900	-1.861720	-0.914976	-0.146606	0.291747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395026.000000	1769636601.571068
-2470.410000	12956.130000	17564.355000	31658.220000	6872.175000	-9458.865000	-19739.970000	-15722.505000	-2.275648	2.680858	5.612122	7.621427	8.915835	8.064112	2.470159	-4.187385	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395027.000000	1769636601.572868
-2478.555000	12945.600000	17552.610000	31641.210000	6857.280000	-9466.380000	-19728.630000	-15721.785000	-1.908010	1.699270	3.197412	4.718051	5.274092	5.797607	4.533523	-3.033203	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395028.000000	1769636601.572879
-2485.530000	12946.230000	17553.870000	31642.065000	6855.795000	-9466.515000	-19724.220000	-15725.340000	-0.108525	0.385889	-0.557616	-0.550164	-0.676176	1.289145	4.114262	-0.262955	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395029.000000	1769636601.576820
-2499.885000	12933.045000	17533.710000	31621.725000	6830.550000	-9489.195000	-19729.665000	-15732.495000	1.474096	-0.809626	-3.983890	-5.674981	-6.387357	-3.445760	2.060957	2.308989	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395030.000000	1769636601.576835
-2509.380000	12926.430000	17532.135000	31623.750000	6830.595000	-9497.970000	-19744.785000	-15739.965000	1.010063	-1.980081	-6.084586	-8.580071	-9.918216	-7.028909	-0.592970	2.796024	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395031.000000	1769636601.580980
-2497.680000	12945.555000	17556.210000	31635.990000	6843.015000	-9487.350000	-19751.130000	-15737.625000	-1.463163	-3.018540	-6.336254	-8.559901	-10.555742	-9.074065	-3.278521	0.891356	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395032.000000	1769636601.580995
-2486.115000	12937.185000	17551.530000	31637.025000	6850.755000	-9472.860000	-19733.175000	-15724.125000	-2.818174	-2.444274	-3.725521	-5.411110	-7.701231	-8.598802	-5.311846	-1.255155	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395033.000000	1769636601.585049
-2496.915000	12922.830000	17535.420000	31628.700000	6850.530000	-9471.915000	-19731.105000	-15727.680000	-0.432930	0.135497	1.018292	-0.153972	-1.562546	-4.334761	-5.319503	-1.046995	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395034.000000	1769636601.585061
-2498.040000	12929.895000	17539.110000	31626.855000	6843.780000	-9475.380000	-19725.390000	-15732.090000	3.392592	2.170267	4.364653	4.258886	5.098103	2.479737	-2.253709	1.114968	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395035.000000	1769636601.588916
-2496.150000	12933.495000	17545.995000	31636.260000	6856.920000	-9456.165000	-19699.470000	-15728.040000	4.302017	1.634275	4.039220	5.548322	8.685114	8.308751	3.327941	2.435064	-11.185580	5.951400	-1.281840	-0.921384	-0.134643	0.281432	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395036.000000	1769636601.588928
-2500.650000	12926.610000	17537.310000	31627.710000	6850.395000	-9462.105000	-19705.815000	-15729.345000	1.550310	-0.385730	1.518158	4.423997	8.342215	10.679036	8.851037	1.508919	-7.126420	4.242280	-2.029580	-0.926755	-0.135376	0.270568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395037.000000	1769636601.592904
-2504.115000	12927.465000	17537.085000	31621.275000	6844.995000	-9469.080000	-19715.940000	-15733.305000	-1.859054	-1.533028	-0.406254	2.906008	5.808032	9.199711	10.377254	-0.544849	-7.126420	4.242280	-2.029580	-0.926755	-0.135376	0.270568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395038.000000	1769636601.592918
-2498.355000	12933.990000	17536.500000	31609.080000	6833.205000	-9478.305000	-19721.970000	-15729.930000	-2.916581	-0.472033	-0.227955	1.879359	2.810892	4.797616	5.945294	-1.921106	-7.126420	4.242280	-2.029580	-0.926755	-0.135376	0.270568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.655172	0.000000	-1.000000	-1.000000	1395039.000000	1769636601.596789
