Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
11557.755000	18564.345000	25200.630000	20739.960000	-7513.200000	-4311.540000	3196.260000	13580.730000	0.033648	1.092814	1.720608	1.733420	1.682876	2.410992	2.107819	-1.946112	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055463.000000	1770063607.013016
11552.445000	18562.230000	25197.390000	20735.145000	-7516.845000	-4314.195000	3190.950000	13573.125000	0.710441	0.964290	1.626277	2.236052	4.139458	4.272890	1.907200	-0.812020	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055464.000000	1770063607.013021
11560.005000	18577.305000	25210.980000	20744.055000	-7522.920000	-4314.015000	3196.485000	13574.610000	1.319375	1.250849	1.649196	2.275062	5.353714	4.698946	0.983305	-0.208618	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055465.000000	1770063607.013027
11558.520000	18572.400000	25203.420000	20735.190000	-7541.280000	-4325.670000	3192.840000	13573.305000	1.333234	1.601849	1.355828	1.231173	3.234842	2.616651	-0.372117	-0.416406	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055466.000000	1770063607.013032
11552.040000	18561.330000	25192.755000	20728.350000	-7533.090000	-4317.705000	3195.990000	13571.595000	0.557879	1.251236	0.140784	-1.085131	-2.131950	-1.551791	-1.618752	-1.016527	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055467.000000	1770063607.018411
11549.205000	18546.705000	25178.895000	20719.530000	-7528.995000	-4312.215000	3199.455000	13568.895000	-1.077550	-0.993809	-2.629878	-4.208942	-7.413048	-5.244515	-2.156453	-1.576430	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055468.000000	1770063607.018418
11553.660000	18554.085000	25189.110000	20729.160000	-7518.915000	-4309.650000	3200.445000	13571.145000	-2.832912	-4.718526	-6.023328	-6.535800	-8.649724	-5.801006	-1.588981	-1.604938	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055469.000000	1770063607.026349
11563.560000	18575.640000	25204.905000	20734.110000	-7526.070000	-4326.570000	3192.705000	13573.485000	-3.260065	-7.011483	-7.308812	-6.171038	-5.091369	-3.361062	-0.428163	-0.657988	-3.464020	5.859840	-1.861720	0.966916	-0.160522	0.191894	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055470.000000	1770063607.026361
11554.470000	18556.650000	25181.595000	20711.385000	-7545.735000	-4340.340000	3189.420000	13573.305000	-1.856608	-5.502684	-4.932284	-3.094503	0.146928	-0.604262	0.172014	0.981453	-5.020540	5.768280	-2.197440	0.963804	-0.161865	0.194580	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055471.000000	1770063607.027878
11539.080000	18529.695000	25160.580000	20703.825000	-7547.895000	-4331.430000	3189.195000	13565.205000	0.014668	-1.752366	-0.924757	0.437004	3.263689	0.595946	-0.140829	2.305505	-5.020540	5.768280	-2.197440	0.963804	-0.161865	0.194580	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	1055472.000000	1770063607.027888
