Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-21601.395000	-14607.000000	-20679.345000	-15874.785000	-22057.380000	-15776.190000	-3507.615000	-8774.190000	-13.088894	-3.502704	0.066802	-1.851465	-0.849120	-0.398946	-0.834678	-5.646026	-0.061040	7.065380	-3.357200	0.901609	-0.261291	0.325317	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786246.000000	1770067070.124176
-21598.290000	-14605.020000	-20686.500000	-15871.545000	-22053.735000	-15775.245000	-3509.730000	-8784.585000	-5.125817	-3.890923	-3.881198	-5.190892	-3.379492	-2.248311	-0.656447	-0.382635	-0.061040	7.065380	-3.357200	0.901609	-0.261291	0.325317	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786247.000000	1770067070.127906
-21594.780000	-14610.195000	-20684.970000	-15862.995000	-22046.265000	-15769.395000	-3506.355000	-8776.800000	1.968128	-4.694398	-8.198607	-7.550726	-5.411772	-4.105980	-0.450214	6.000942	-0.061040	7.065380	-3.357200	0.901609	-0.261291	0.325317	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786248.000000	1770067070.127917
-21593.295000	-14611.545000	-20679.840000	-15857.775000	-22039.920000	-15761.385000	-3497.940000	-8765.550000	5.851106	-4.775125	-9.960709	-6.909541	-5.202617	-4.336086	-0.047849	9.493971	-0.061040	7.065380	-3.357200	0.901609	-0.261291	0.325317	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786249.000000	1770067070.129230
-21609.900000	-14612.355000	-20671.830000	-15853.005000	-22035.645000	-15754.770000	-3493.890000	-8804.070000	8.393024	-2.298795	-6.837741	-2.791494	-2.257297	-2.099393	0.874203	8.660740	-0.061040	7.065380	-3.357200	0.901609	-0.261291	0.325317	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786250.000000	1770067070.129240
-21642.120000	-14613.390000	-20670.120000	-15851.565000	-22034.295000	-15752.790000	-3498.570000	-8825.895000	9.499334	2.425233	0.294100	2.817731	1.930294	1.626438	2.000372	3.299063	0.213640	7.355320	-3.189340	0.902097	-0.261840	0.326110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786251.000000	1770067070.137555
-21623.130000	-14607.180000	-20679.075000	-15863.265000	-22045.680000	-15763.320000	-3507.795000	-8789.400000	6.782771	6.576896	7.228704	6.489934	4.619186	4.337071	2.156510	-4.310122	0.213640	7.355320	-3.189340	0.902097	-0.261840	0.326110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786252.000000	1770067070.137566
-21575.340000	-14603.850000	-20680.380000	-15867.765000	-22050.630000	-15769.170000	-3512.340000	-8786.475000	1.750242	7.713679	9.534999	5.787009	3.833351	3.872716	0.517866	-8.590449	0.213640	7.355320	-3.189340	0.902097	-0.261840	0.326110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786253.000000	1770067070.139870
-21578.130000	-14589.765000	-20665.170000	-15853.185000	-22036.815000	-15756.615000	-3500.145000	-8785.800000	-0.183504	5.981143	6.488658	1.619079	0.399565	0.654065	-2.099050	-6.521176	0.213640	7.355320	-3.189340	0.902097	-0.261840	0.326110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786254.000000	1770067070.139881
-21597.255000	-14597.190000	-20666.115000	-15853.095000	-22034.565000	-15752.745000	-3486.915000	-8736.795000	1.687528	2.927638	1.436076	-2.358213	-2.518453	-2.377753	-3.445567	-0.424825	0.213640	7.355320	-3.189340	0.902097	-0.261840	0.326110	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.137931	0.000000	-1.000000	-1.000000	2786255.000000	1770067070.162007
