Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-7202.520000	13019.895000	17132.580000	31273.110000	7039.980000	-9041.490000	-18544.365000	-14323.095000	6.526722	6.579976	4.261788	2.484626	0.432978	-3.778558	-12.014212	1.956681	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446367.000000	1769636704.309623
-7193.340000	13047.705000	17168.355000	31306.500000	7070.445000	-9019.395000	-18538.200000	-14323.815000	3.472605	-1.263871	-2.837066	-1.899004	-2.891857	-4.001377	-5.111849	1.644843	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446368.000000	1769636704.309636
-7166.700000	13078.125000	17197.965000	31336.110000	7107.525000	-8971.470000	-18506.295000	-14305.320000	-0.835226	-3.989056	-5.868259	-5.188260	-5.171403	-2.714271	4.068882	0.532017	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446369.000000	1769636704.309649
-7171.605000	13061.880000	17170.830000	31301.010000	7068.825000	-9002.205000	-18521.820000	-14302.755000	-2.816037	0.698946	-1.822362	-4.058916	-3.787613	0.976666	11.253649	-0.280777	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446370.000000	1769636704.309654
-7205.085000	13023.315000	17128.395000	31257.045000	7023.645000	-9041.355000	-18546.480000	-14319.405000	-1.970984	6.246244	3.755352	-1.285017	-1.423100	3.895290	12.377613	-0.156069	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446371.000000	1769636704.312166
-7219.395000	13016.970000	17125.245000	31257.540000	7027.245000	-9040.410000	-18545.715000	-14328.045000	-1.994510	4.465785	3.065493	-2.105466	-2.715731	1.882160	6.613215	-0.459673	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446372.000000	1769636704.312178
-7212.330000	13030.650000	17138.745000	31268.070000	7033.590000	-9042.705000	-18551.970000	-14327.685000	-5.684131	-5.179646	-4.569617	-6.566291	-6.975806	-3.794612	-1.509942	-2.613318	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446373.000000	1769636704.316050
-7211.430000	13026.510000	17135.775000	31264.020000	7027.155000	-9047.430000	-18551.520000	-14327.055000	-10.096777	-14.407380	-11.530930	-9.117419	-8.832737	-7.903804	-6.998197	-5.479836	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446374.000000	1769636704.316061
-7209.990000	13023.675000	17136.990000	31271.220000	7031.205000	-9044.640000	-18544.185000	-14325.705000	-9.494208	-14.446974	-10.026224	-5.069005	-4.594074	-6.783588	-8.275438	-6.192252	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446375.000000	1769636704.323822
-7206.795000	13030.290000	17140.770000	31277.655000	7039.890000	-9036.630000	-18548.190000	-14324.940000	-2.223393	-4.476595	0.006320	4.554746	4.439498	-0.596722	-5.907804	-3.305887	1.159760	7.263760	-2.975700	-0.929746	-0.094665	0.268310	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446376.000000	1769636704.323834
-7200.270000	13036.815000	17142.255000	31275.675000	7038.135000	-9039.690000	-18576.945000	-14324.670000	7.391630	8.345810	11.018287	13.400391	12.684929	6.623580	-2.148669	1.654755	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446377.000000	1769636704.324054
-7204.680000	13031.280000	17136.315000	31269.735000	7033.545000	-9040.095000	-18576.135000	-14326.380000	13.274539	15.657943	15.161817	15.165689	14.441023	9.570851	-0.290578	5.546632	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446378.000000	1769636704.324060
-7211.295000	13027.680000	17133.570000	31265.010000	7027.380000	-9043.245000	-18540.315000	-14326.110000	12.670153	14.330267	11.194930	9.706051	9.492675	7.049188	-0.388859	6.383197	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446379.000000	1769636704.327986
-7225.605000	13015.350000	17127.405000	31264.470000	7028.550000	-9039.465000	-18503.730000	-14327.190000	7.338656	7.242999	3.802723	2.266891	2.798598	2.935184	1.916284	4.798627	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446380.000000	1769636704.327996
-7234.965000	13003.920000	17116.380000	31255.020000	7022.295000	-9039.465000	-18517.545000	-14335.020000	0.440023	-1.268361	-2.735509	-3.088256	-1.801984	0.754514	8.631168	2.413993	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446381.000000	1769636704.332107
-7196.490000	13055.220000	17167.320000	31301.505000	7060.455000	-9016.335000	-18544.545000	-14323.545000	-5.262929	-7.692771	-6.595680	-5.530851	-3.779725	0.698068	14.394723	0.104976	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446382.000000	1769636704.332118
-7184.655000	13066.650000	17179.830000	31320.540000	7091.865000	-8976.420000	-18508.185000	-14310.090000	-6.762724	-8.286334	-5.832613	-4.356868	-2.745026	2.085903	12.591051	-1.314429	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446383.000000	1769636704.336104
-7209.810000	13034.655000	17147.880000	31289.940000	7064.415000	-8994.330000	-18506.790000	-14319.720000	-3.569863	-2.776752	-0.863562	-0.383267	0.728479	4.059027	3.719927	-1.247194	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446384.000000	1769636704.336116
-7212.465000	13027.185000	17136.945000	31274.460000	7042.095000	-9025.065000	-18531.855000	-14323.185000	0.218125	2.817885	2.859514	1.633578	2.233256	3.385753	-6.572561	-0.643039	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446385.000000	1769636704.342568
-7192.755000	13050.630000	17160.705000	31296.870000	7057.305000	-9024.480000	-18550.080000	-14315.895000	0.864049	3.119358	1.177492	-1.472530	-1.838768	-2.876611	-13.932028	-0.857116	-2.655240	6.500760	-2.365300	-0.935361	-0.090332	0.264343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446386.000000	1769636704.342582
-7190.640000	13052.115000	17156.655000	31289.760000	7048.485000	-9039.780000	-18572.445000	-14319.630000	-0.716832	-0.466912	-3.368421	-6.392122	-8.500760	-12.087549	-17.027137	-1.798836	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446387.000000	1769636704.344153
-7200.000000	13044.600000	17150.085000	31281.435000	7037.955000	-9047.700000	-18569.610000	-14322.645000	-1.590211	-3.357417	-5.839247	-7.966431	-11.730468	-17.724178	-16.323845	-2.486182	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446388.000000	1769636704.344164
-7209.450000	13032.045000	17139.195000	31270.185000	7029.945000	-9033.615000	-18529.110000	-14320.845000	-0.783034	-3.475739	-4.648611	-5.147066	-9.189692	-15.411622	-11.739029	-2.230075	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446389.000000	1769636704.348117
-7199.505000	13044.510000	17152.695000	31285.035000	7048.620000	-9009.945000	-18514.125000	-14314.320000	0.425129	-1.978296	-1.635215	-0.553201	-2.919462	-5.521656	-1.897566	-0.899611	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446390.000000	1769636704.348130
-7200.180000	13037.895000	17145.675000	31279.905000	7046.910000	-9017.145000	-18530.460000	-14312.970000	0.354081	-1.050528	0.514093	2.682475	3.440930	7.057728	11.438388	0.867270	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446391.000000	1769636704.351966
-7204.455000	13027.635000	17136.360000	31273.695000	7041.870000	-9020.475000	-18528.390000	-14313.915000	-1.307377	-1.624109	0.491135	3.007508	6.762936	15.188489	20.886033	1.873317	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446392.000000	1769636704.351978
-7209.540000	13027.770000	17142.300000	31286.565000	7057.260000	-9003.690000	-18513.765000	-14314.275000	-2.909470	-2.228276	-0.272874	1.855653	6.796514	15.369865	20.451538	1.626965	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446393.000000	1769636704.355919
-7219.620000	13035.870000	17151.030000	31291.065000	7056.405000	-9009.000000	-18519.840000	-14324.625000	-2.901462	-0.883106	0.617734	2.047442	5.963615	10.381156	12.089062	0.602822	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446394.000000	1769636704.355930
-7204.545000	13046.985000	17152.875000	31279.275000	7034.850000	-9033.165000	-18536.895000	-14321.340000	-1.615777	2.178125	3.160699	3.717408	5.146029	4.109025	1.835260	-0.728444	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446395.000000	1769636704.359933
-7198.560000	13042.710000	17150.310000	31278.690000	7036.965000	-9029.385000	-18535.680000	-14316.300000	0.422847	5.090722	5.285042	4.550739	3.119608	-1.770766	-6.269994	-1.657198	-5.951400	5.325740	-2.914660	-0.938047	-0.086731	0.257507	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.103448	0.000000	-1.000000	-1.000000	1446396.000000	1769636704.359946
