Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
12149.100000	19506.735000	26008.695000	21477.510000	-7415.145000	-4166.910000	3099.285000	13359.240000	0.305632	-0.438844	-0.866281	-1.155871	-1.392587	-0.051535	-1.082093	-2.581755	0.808780	6.409200	-3.021480	0.931089	-0.059143	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124598.000000	1770063745.329406
12146.310000	19508.985000	26010.855000	21480.210000	-7407.855000	-4164.255000	3100.815000	13349.205000	4.052721	2.572316	2.310611	2.577613	5.876006	4.490301	0.370560	1.063395	0.808780	6.409200	-3.021480	0.931089	-0.059143	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124599.000000	1770063745.333212
12151.035000	19522.260000	26025.120000	21494.520000	-7394.940000	-4158.135000	3105.630000	13337.955000	4.271840	3.429470	3.324564	4.049888	9.480172	6.382247	1.317050	2.689643	0.808780	6.409200	-3.021480	0.931089	-0.059143	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124600.000000	1770063745.333220
12141.270000	19512.090000	26014.410000	21485.790000	-7392.105000	-4157.865000	3100.770000	13325.895000	1.285739	1.949298	1.942875	2.794824	8.237138	5.015551	1.455847	1.241812	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124601.000000	1770063745.337242
12141.765000	19506.870000	26005.545000	21474.180000	-7404.345000	-4160.070000	3102.705000	13341.330000	-2.286658	-0.624108	-0.609500	-0.017169	3.860031	1.888840	0.931650	-1.608635	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124602.000000	1770063745.337253
12134.205000	19498.950000	25998.120000	21466.440000	-7428.465000	-4168.710000	3106.395000	13361.355000	-3.892578	-2.868133	-2.990128	-2.979932	-1.609064	-1.269216	0.251551	-2.398549	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124603.000000	1770063745.358757
12132.270000	19498.500000	26000.055000	21470.310000	-7434.405000	-4168.980000	3105.495000	13358.880000	-3.136054	-4.221553	-4.576315	-5.228823	-7.235016	-3.827831	-0.115166	0.537692	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124604.000000	1770063745.358771
12141.270000	19502.730000	26005.905000	21477.285000	-7431.570000	-4172.175000	3099.060000	13352.535000	-1.288355	-4.726632	-5.153735	-6.158311	-11.662204	-5.577229	-0.226852	4.706951	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124605.000000	1770063745.358784
12149.010000	19505.160000	26006.850000	21475.980000	-7438.545000	-4178.700000	3094.650000	13354.380000	0.757578	-3.918583	-4.082344	-4.918241	-12.280684	-5.867274	-0.410708	6.219186	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124606.000000	1770063745.358790
12136.725000	19498.815000	26000.145000	21467.880000	-7441.200000	-4184.145000	3091.005000	13349.475000	2.632124	-1.287778	-0.990532	-1.346111	-7.669586	-4.218972	-0.683935	3.943476	-1.327620	5.768280	-2.395820	0.933103	-0.055847	0.356078	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.517241	0.000000	-1.000000	-1.000000	1124607.000000	1770063745.358796
