Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-5219.010000	-7489.080000	320.760000	13189.185000	-4110.075000	-5044.005000	7612.560000	-3771.990000	15.293952	15.434382	12.205663	11.345433	12.987109	8.534402	-0.643696	13.484604	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959031.000000	1770065415.013685
-5226.165000	-7500.465000	299.070000	13176.090000	-4117.905000	-5040.405000	7620.795000	-3775.500000	22.809805	25.110030	20.615516	17.962982	18.768765	13.611458	8.357025	18.410752	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959032.000000	1770065415.013695
-5208.795000	-7491.330000	290.835000	13175.370000	-4131.405000	-5051.700000	7626.105000	-3770.055000	20.513673	22.932595	18.496152	15.844059	16.753447	12.885337	13.402450	16.863211	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959033.000000	1770065415.013707
-5200.065000	-7494.075000	284.850000	13174.245000	-4138.335000	-5066.505000	7622.640000	-3768.210000	11.106931	11.825239	8.775158	8.015441	7.827921	6.978745	13.244536	10.757171	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959034.000000	1770065415.013712
-5208.705000	-7488.765000	327.825000	13198.320000	-4131.180000	-5074.155000	7612.425000	-3776.580000	0.634102	-0.692997	-0.865388	0.433919	-3.171452	-1.085559	8.740182	3.122781	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959035.000000	1770065415.018266
-5209.020000	-7485.030000	367.245000	13226.850000	-4119.345000	-5062.590000	7609.095000	-3772.980000	-7.304936	-8.933994	-3.799580	-2.531016	-10.535843	-7.667230	1.606786	-4.094417	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959036.000000	1770065415.018277
-5217.930000	-7492.050000	373.005000	13234.680000	-4114.215000	-5055.390000	7613.685000	-3782.700000	-12.096503	-11.562230	0.679791	-0.482005	-11.216120	-10.004326	-5.851832	-9.163109	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959037.000000	1770065415.027330
-5239.440000	-7520.175000	361.755000	13226.355000	-4114.440000	-5052.330000	7622.325000	-3780.405000	-13.691565	-10.201861	7.298316	3.702197	-5.822542	-6.863955	-10.089617	-10.438274	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959038.000000	1770065415.027342
-5247.945000	-7503.120000	358.425000	13221.315000	-4120.290000	-5058.270000	7622.325000	-3780.315000	-12.255052	-7.047179	9.571205	6.057785	1.775336	-0.044234	-8.567323	-7.903806	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959039.000000	1770065415.027355
-5252.580000	-7497.720000	355.005000	13215.285000	-4128.480000	-5064.120000	7620.255000	-3786.255000	-8.403982	-2.914298	4.881387	3.905246	6.408038	5.643480	-2.898361	-3.646300	-2.380560	4.501700	-0.701960	0.675169	0.687681	0.225646	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.896552	0.000000	-1.000000	-1.000000	1959040.000000	1770065415.027360
