Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-20657.295000	-13551.345000	-20439.180000	-15549.705000	-21884.850000	-15775.965000	-3290.085000	-8105.940000	8.463532	0.205417	-7.871524	-7.317755	-5.050519	-5.004321	-2.532408	7.772926	-3.448760	4.593260	-2.731540	0.898130	-0.298217	0.343505	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846717.000000	1770067191.119999
-20654.055000	-13557.015000	-20442.915000	-15562.170000	-21896.505000	-15786.945000	-3295.530000	-8107.470000	3.728195	0.092440	-3.291985	-2.592011	-1.201752	-1.281386	-1.037717	4.361800	-3.448760	4.593260	-2.731540	0.898130	-0.298217	0.343505	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846718.000000	1770067191.120012
-20637.540000	-13554.270000	-20456.595000	-15564.195000	-21900.195000	-15791.445000	-3294.315000	-8092.350000	-0.996963	1.073537	3.071144	3.009506	2.808378	2.535935	0.285734	-1.946821	-3.448760	4.593260	-2.731540	0.898130	-0.298217	0.343505	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846719.000000	1770067191.120026
-20630.745000	-13548.105000	-20464.155000	-15554.655000	-21891.555000	-15783.795000	-3290.895000	-8087.130000	-2.918571	2.764558	6.887028	6.316472	4.676391	4.268201	1.255010	-5.468873	-3.448760	4.593260	-2.731540	0.898130	-0.298217	0.343505	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846720.000000	1770067191.120032
-20646.315000	-13549.815000	-20451.645000	-15546.015000	-21885.570000	-15778.665000	-3293.370000	-8105.490000	-2.308426	3.832724	6.122097	6.528485	4.207525	3.761357	1.915655	-3.786198	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846721.000000	1770067191.120039
-20664.045000	-13563.090000	-20453.535000	-15554.655000	-21892.950000	-15786.630000	-3301.425000	-8127.090000	-1.399427	3.420952	3.377328	5.298535	3.067201	2.677577	2.273172	-0.019892	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846722.000000	1770067191.120044
-20656.935000	-13563.945000	-20451.015000	-15557.940000	-21893.715000	-15786.180000	-3298.770000	-8113.860000	-2.427914	1.430063	2.179240	4.033496	2.358394	2.135487	2.013921	0.842599	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846723.000000	1770067191.120049
-20663.100000	-13564.170000	-20451.105000	-15554.565000	-21889.125000	-15780.915000	-3293.370000	-8103.465000	-5.032377	-1.627334	2.525233	2.179225	1.409902	1.561055	0.940675	-1.704690	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846724.000000	1770067191.120054
-20669.040000	-13562.190000	-20460.420000	-15553.215000	-21890.250000	-15783.255000	-3295.530000	-8107.740000	-6.267665	-4.455661	1.499464	-1.247459	-0.758889	-0.058193	-0.601787	-3.557123	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846725.000000	1770067191.124036
-20652.210000	-13559.985000	-20466.135000	-15554.655000	-21893.670000	-15788.115000	-3298.545000	-8102.565000	-3.361253	-5.135806	-2.533819	-5.377487	-3.712681	-2.626805	-1.964354	-1.635835	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846726.000000	1770067191.124047
-20636.145000	-13552.515000	-20457.855000	-15552.090000	-21891.465000	-15784.200000	-3293.640000	-8090.370000	3.615131	-2.479269	-7.186363	-7.576021	-5.555317	-4.578141	-2.411854	3.195309	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846727.000000	1770067191.128360
-20647.395000	-13557.960000	-20458.800000	-15553.890000	-21891.780000	-15781.860000	-3293.370000	-8099.775000	10.583818	2.181888	-8.305487	-6.215928	-4.773197	-4.264209	-1.529581	7.508628	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846728.000000	1770067191.128372
-20670.525000	-13563.720000	-20456.505000	-15552.810000	-21886.560000	-15774.750000	-3291.660000	-8116.020000	12.097415	5.463277	-4.546759	-2.555395	-1.929995	-1.782454	0.195418	8.002026	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846729.000000	1770067191.134539
-20671.065000	-13558.635000	-20453.130000	-15556.680000	-21886.650000	-15774.930000	-3292.740000	-8115.165000	6.687755	5.247165	1.649751	1.001962	1.273941	1.388704	1.831972	4.267478	-4.059160	2.548420	-2.304260	0.901853	-0.300719	0.343017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846730.000000	1770067191.134551
-20642.175000	-13543.560000	-20438.190000	-15543.495000	-21873.060000	-15763.815000	-3285.765000	-8101.485000	-1.335900	2.847571	7.012558	3.485990	3.872148	4.022363	2.849079	-0.854701	-5.188400	0.534100	-3.540320	0.902525	-0.302123	0.342712	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846731.000000	1770067191.135877
-20672.370000	-13564.350000	-20450.880000	-15548.130000	-21882.780000	-15773.130000	-3292.380000	-8112.330000	-6.665412	0.517520	9.347386	5.047039	5.343479	5.228286	2.870928	-4.522745	-5.188400	0.534100	-3.540320	0.902525	-0.302123	0.342712	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846732.000000	1770067191.135885
-20714.130000	-13586.175000	-20473.920000	-15558.435000	-21897.135000	-15788.385000	-3300.570000	-8124.255000	-8.448317	-1.854853	7.066874	4.954108	4.423023	3.753163	1.284958	-6.301925	-5.188400	0.534100	-3.540320	0.902525	-0.302123	0.342712	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.862069	0.000000	-1.000000	-1.000000	2846733.000000	1770067191.141970
