Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-20748.465000	12635.010000	16658.955000	30802.860000	6733.665000	-8721.360000	-16951.320000	-16557.615000	-0.352638	4.965376	0.073375	-5.989637	-7.059136	-3.410149	9.664415	0.867443	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508399.000000	1769636828.433945
-20742.750000	12649.185000	16674.435000	30817.800000	6745.230000	-8716.860000	-16964.235000	-16558.425000	-5.126269	-5.129822	-5.869342	-5.884915	-6.169670	-3.532426	7.102418	-1.769496	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508400.000000	1769636828.433959
-20754.090000	12636.495000	16660.485000	30802.095000	6724.620000	-8745.390000	-17000.055000	-16563.240000	-10.653741	-15.909554	-11.981904	-6.097645	-5.465561	-4.073221	3.280358	-4.986362	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508401.000000	1769636828.435636
-20774.790000	12613.230000	16636.410000	30777.885000	6698.745000	-8781.390000	-17041.770000	-16576.425000	-15.472485	-23.918622	-16.770724	-7.734182	-6.860485	-7.664345	-3.818304	-8.305140	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508402.000000	1769636828.435646
-20772.135000	12616.560000	16643.070000	30790.890000	6721.065000	-8752.680000	-16998.570000	-16572.960000	-16.216840	-25.891147	-18.054596	-9.084832	-8.541737	-12.240900	-13.417904	-9.725249	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508403.000000	1769636828.439380
-20753.235000	12641.580000	16670.070000	30818.655000	6752.520000	-8706.960000	-16941.690000	-16560.990000	-10.399125	-19.018290	-12.915313	-6.404417	-5.822145	-11.053891	-17.878484	-7.218191	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508404.000000	1769636828.439396
-20735.685000	12658.005000	16682.130000	30826.665000	6760.575000	-8702.415000	-16952.715000	-16550.055000	0.625871	-3.817261	-1.018514	1.582219	2.924301	-0.792236	-11.099589	-1.182485	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508405.000000	1769636828.445359
-20774.295000	12603.510000	16623.720000	30768.210000	6708.195000	-8745.165000	-16979.130000	-16563.780000	11.690700	12.938315	11.930338	10.260220	12.392096	12.584322	2.638805	5.518145	-5.600420	6.378680	-2.075360	-0.895689	-0.144165	0.336364	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508406.000000	1769636828.445371
-20785.005000	12601.620000	16627.455000	30773.520000	6710.760000	-8747.190000	-16984.305000	-16574.895000	16.836619	21.926297	17.848410	13.040257	15.172551	19.129848	12.498480	9.379360	-0.824040	5.478340	-2.853620	-0.898923	-0.146728	0.328490	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508407.000000	1769636828.447603
-20778.570000	12605.940000	16632.270000	30778.200000	6716.205000	-8738.865000	-16965.990000	-16568.820000	14.037440	19.669280	14.405868	8.624329	9.639073	14.797355	12.223373	8.724238	-0.824040	5.478340	-2.853620	-0.898923	-0.146728	0.328490	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.620690	0.000000	-1.000000	-1.000000	1508408.000000	1769636828.447610
