Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
12178.755000	19859.400000	26110.395000	21380.220000	-8066.160000	-4583.520000	2538.225000	12853.845000	3.027721	14.403585	10.555065	4.869221	3.806280	-0.630419	-7.997149	-18.504824	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183631.000000	1770063863.455706
12171.690000	19847.385000	26102.835000	21379.365000	-8061.255000	-4571.280000	2557.755000	12856.635000	10.134195	19.948881	17.077556	12.135287	12.122104	5.436124	-8.059264	-11.757502	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183632.000000	1770063863.455711
12158.145000	19812.645000	26070.570000	21361.635000	-8060.310000	-4554.495000	2575.260000	12868.155000	11.459666	16.374571	15.906446	14.173999	15.800363	10.487395	-3.588955	-1.310537	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183633.000000	1770063863.455717
12144.285000	19809.090000	26065.350000	21356.010000	-8062.650000	-4572.900000	2547.225000	12844.305000	7.308949	5.480427	7.474943	10.007380	13.627098	12.185949	4.678963	8.631567	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183634.000000	1770063863.455722
12127.995000	19802.385000	26058.960000	21349.080000	-8065.530000	-4586.220000	2514.420000	12817.035000	0.493612	-6.579491	-3.344762	2.220966	6.992516	8.826832	10.777313	13.434409	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183635.000000	1770063863.456844
12103.875000	19783.665000	26044.020000	21336.345000	-8078.715000	-4598.865000	2525.940000	12840.435000	-6.302568	-14.266845	-11.346850	-5.577737	-1.570525	0.582089	9.673118	11.469601	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183636.000000	1770063863.456855
12121.920000	19790.235000	26050.005000	21338.550000	-8094.015000	-4600.170000	2547.315000	12891.015000	-10.991031	-16.276468	-14.619097	-11.193701	-9.736782	-9.525977	3.298137	6.741471	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183637.000000	1770063863.460729
12139.245000	19781.055000	26036.910000	21325.185000	-8103.645000	-4607.910000	2520.180000	12878.595000	-11.034092	-13.736472	-13.517515	-13.387666	-14.841264	-16.374877	-3.103265	4.087506	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183638.000000	1770063863.460739
12153.825000	19799.955000	26053.695000	21339.270000	-8078.670000	-4603.725000	2496.645000	12851.730000	-5.182727	-7.916172	-8.943319	-11.445813	-14.188606	-16.049076	-7.198258	3.000693	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183639.000000	1770063863.466692
12146.400000	19794.375000	26049.105000	21337.560000	-8061.660000	-4600.035000	2507.760000	12857.625000	3.897807	-0.250993	-2.201740	-5.823592	-7.223417	-8.766478	-8.890304	0.322340	-0.152600	5.478340	-0.076300	0.963743	-0.095886	0.275146	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183640.000000	1770063863.466702
12115.530000	19783.935000	26037.135000	21320.685000	-8084.205000	-4620.150000	2514.060000	12847.545000	10.777055	7.311919	4.918164	1.504548	2.745535	1.127773	-7.504562	-4.161187	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183641.000000	1770063863.476106
12100.545000	19784.970000	26043.300000	21324.420000	-8122.815000	-4643.955000	2502.810000	12811.095000	11.498747	13.071481	10.872882	7.999057	9.645160	7.964517	-2.768187	-8.534223	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183642.000000	1770063863.476117
12136.455000	19805.805000	26060.760000	21336.750000	-8138.970000	-4634.190000	2513.250000	12810.375000	7.232579	16.155582	14.879394	12.227756	9.208705	9.389728	4.043241	-10.908532	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183643.000000	1770063863.479204
12134.745000	19782.855000	26043.210000	21338.010000	-8097.210000	-4593.420000	2535.930000	12837.420000	2.991219	15.644338	15.797307	13.742662	3.526702	8.397853	11.208640	-8.845749	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183644.000000	1770063863.479214
12153.870000	19814.895000	26069.130000	21351.690000	-8089.965000	-4604.445000	2521.170000	12859.830000	1.886947	10.742042	12.178289	12.082994	-0.581049	8.756420	15.931644	-1.541406	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183645.000000	1770063863.479225
12168.810000	19812.870000	26067.825000	21350.205000	-8084.250000	-4593.420000	2534.535000	12898.530000	2.526823	2.687069	4.608690	7.265571	1.117716	9.891576	14.344503	7.532801	4.608520	6.226080	-0.579880	0.964292	-0.098694	0.276550	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1183646.000000	1770063863.479230
