Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
12369.645000	20088.405000	26338.680000	21443.220000	-7991.460000	-4519.080000	2601.630000	12983.580000	-9.429907	-3.684548	-2.804774	-1.951053	7.251448	-0.950883	-11.847711	-4.314321	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191281.000000	1770063878.757668
12386.250000	20103.435000	26350.155000	21450.105000	-7999.065000	-4513.815000	2630.745000	13005.495000	-5.584784	-4.748144	-1.922200	2.261394	16.670861	4.314959	-12.393896	6.102703	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191282.000000	1770063878.757674
12381.345000	20105.325000	26351.370000	21452.850000	-7969.095000	-4506.435000	2636.910000	13007.385000	1.644082	-0.481875	2.904824	7.645340	17.446907	7.838087	-5.941393	12.604160	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191283.000000	1770063878.759507
12360.510000	20084.130000	26328.150000	21435.075000	-7959.285000	-4500.765000	2645.550000	12985.335000	7.691254	5.430441	7.613942	10.550408	15.426392	9.743307	3.196614	12.949788	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191284.000000	1770063878.759518
12349.710000	20086.380000	26329.590000	21433.770000	-7963.740000	-4500.720000	2646.045000	12938.445000	8.153206	7.396139	7.469724	8.313052	14.686053	10.293309	9.391323	7.050423	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191285.000000	1770063878.763660
12355.785000	20080.215000	26322.030000	21419.910000	-8005.455000	-4533.255000	2610.990000	12935.745000	3.272765	3.709868	1.940659	1.479510	11.322161	7.821345	9.997517	-2.276662	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191286.000000	1770063878.763671
12351.330000	20048.895000	26290.305000	21393.135000	-8047.530000	-4563.855000	2586.420000	12986.415000	-2.673917	-2.704049	-5.399270	-6.878992	-0.573000	0.159664	4.783409	-9.974008	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191287.000000	1770063878.769209
12355.380000	20050.200000	26290.710000	21390.705000	-8037.090000	-4564.935000	2585.520000	13007.655000	-5.586230	-7.990835	-10.674705	-13.324582	-19.372737	-11.433294	-3.783781	-10.369698	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191288.000000	1770063878.769219
12376.845000	20091.330000	26327.295000	21418.380000	-8002.890000	-4540.815000	2596.230000	13006.440000	-3.990049	-9.311059	-11.432533	-15.124865	-34.461960	-20.782176	-9.953840	-1.908205	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191289.000000	1770063878.771540
12363.435000	20107.305000	26347.860000	21442.500000	-7980.165000	-4507.560000	2620.755000	12992.220000	0.442137	-5.393532	-6.742368	-10.773139	-34.471704	-20.704958	-8.708510	9.232939	0.534100	5.218920	-1.999060	0.943357	-0.089905	0.315307	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1191290.000000	1770063878.771550
