Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-6129.945000	-7493.895000	311.535000	13135.545000	-4680.585000	-5362.380000	7681.950000	-4104.540000	-15.170233	-12.768486	-12.330826	-10.155020	-7.965612	-5.740143	-5.813246	1.025071	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000443.000000	1770065497.880701
-6165.810000	-7532.820000	272.205000	13099.095000	-4711.995000	-5386.545000	7657.560000	-4144.635000	-12.589356	-11.470880	-10.757370	-8.659131	-5.928855	-5.483389	-1.135998	-2.623135	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000444.000000	1770065497.880711
-6172.245000	-7540.290000	264.240000	13091.085000	-4721.490000	-5396.355000	7652.475000	-4138.830000	-9.005538	-8.360305	-7.805563	-5.962830	-3.302575	-5.057473	2.769173	-8.641546	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000445.000000	1770065497.884815
-6108.120000	-7465.365000	339.705000	13163.220000	-4658.445000	-5352.570000	7670.430000	-4089.105000	-5.362713	-4.364663	-4.371268	-3.421320	-1.766461	-4.935461	3.162101	-13.084063	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000446.000000	1770065497.884825
-5991.345000	-7345.890000	457.560000	13282.560000	-4541.625000	-5243.490000	7744.725000	-4005.315000	3.111108	4.484391	3.854742	3.174482	2.704547	-1.311528	2.371484	-7.845273	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000447.000000	1770065497.890563
-6053.355000	-7410.195000	395.235000	13223.970000	-4590.990000	-5267.700000	7780.815000	-4021.830000	17.063404	17.927450	16.973320	14.816112	12.109103	7.887020	4.544868	7.451448	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000448.000000	1770065497.890574
-6237.360000	-7613.415000	196.965000	13024.620000	-4787.100000	-5449.365000	7669.395000	-4129.920000	23.966065	22.818055	22.140182	19.719355	16.469498	14.022348	8.083130	20.259552	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000449.000000	1770065497.893421
-6222.105000	-7613.775000	191.070000	13014.315000	-4800.420000	-5468.175000	7578.585000	-4161.015000	9.930580	5.171766	5.269518	3.727567	2.131243	3.620000	3.632626	15.975816	0.091560	5.157880	-3.082520	0.753721	0.614073	0.174682	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000450.000000	1770065497.893432
-6173.415000	-7552.530000	244.215000	13064.085000	-4755.105000	-5433.795000	7592.265000	-4150.620000	-17.765845	-26.186790	-25.688417	-26.276900	-25.607789	-20.465847	-13.080368	-4.620517	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000451.000000	1770065497.896549
-6190.470000	-7565.220000	231.120000	13051.215000	-4770.540000	-5454.765000	7591.140000	-4176.090000	-35.146806	-43.813451	-44.046143	-44.341068	-42.789479	-37.151354	-30.635625	-25.216776	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000452.000000	1770065497.896557
-6022.530000	-7359.345000	443.160000	13256.010000	-4578.525000	-5292.405000	7698.330000	-4123.530000	-25.710114	-28.711610	-30.167640	-30.731229	-30.402870	-28.305279	-31.201498	-29.852400	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000453.000000	1770065497.900661
-5836.680000	-7154.415000	649.710000	13465.035000	-4367.655000	-5091.885000	7804.485000	-3924.945000	9.785084	16.922911	15.215265	14.282564	12.250172	8.393886	-6.933285	-12.257503	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000454.000000	1770065497.900671
-6036.660000	-7410.420000	389.385000	13210.380000	-4600.980000	-5287.680000	7703.730000	-3868.245000	49.896524	65.384925	64.877383	64.151223	61.011595	53.066600	29.515841	21.514667	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000455.000000	1770065497.906687
-6271.740000	-7662.465000	141.795000	12969.270000	-4831.650000	-5491.620000	7641.045000	-4111.605000	56.541468	70.937860	72.184102	72.766101	71.817184	66.296511	49.363992	47.944107	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000456.000000	1770065497.906698
-6385.140000	-7783.785000	19.845000	12847.365000	-4955.670000	-5608.395000	7531.470000	-4275.945000	11.758037	14.750729	17.185985	19.736285	23.288135	26.119247	33.573236	38.376771	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000457.000000	1770065497.908731
-6330.330000	-7717.050000	85.905000	12910.635000	-4899.600000	-5564.655000	7534.395000	-4267.170000	-52.713082	-63.163143	-60.705414	-56.841302	-50.155343	-39.679305	-6.121288	-7.196807	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000458.000000	1770065497.908739
-6260.805000	-7635.195000	168.165000	12990.735000	-4820.670000	-5487.795000	7584.075000	-4198.950000	-84.745399	-100.999651	-99.569314	-96.099143	-90.342824	-78.926999	-37.890052	-52.958515	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000459.000000	1770065497.912638
-6243.705000	-7605.990000	197.595000	13018.095000	-4795.830000	-5461.155000	7605.945000	-4173.345000	-61.477750	-72.769400	-72.625354	-71.189996	-69.816059	-64.207611	-39.138976	-62.641470	-2.975700	5.157880	-4.272800	0.752745	0.616392	0.173950	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	74.413793	0.000000	-1.000000	-1.000000	2000460.000000	1770065497.912649
