Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-19907.730000	-12781.440000	-19965.555000	-15207.030000	-21623.445000	-15872.175000	-3140.370000	-7596.855000	7.045890	9.207327	3.689129	4.661454	3.713102	2.186857	0.801816	3.297651	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899555.000000	1770067296.823287
-19917.945000	-12783.465000	-19953.720000	-15199.065000	-21604.275000	-15850.710000	-3126.600000	-7599.240000	7.943712	11.102245	4.367726	3.602721	2.823090	2.176650	1.885775	6.581925	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899556.000000	1770067296.823296
-19944.495000	-12805.605000	-19950.840000	-15197.985000	-21607.830000	-15859.800000	-3141.090000	-7644.870000	9.340920	12.515343	3.969025	0.936883	1.088610	1.790191	2.706323	8.801497	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899557.000000	1770067296.834275
-19924.245000	-12787.920000	-19938.060000	-15186.240000	-21600.945000	-15858.630000	-3142.665000	-7642.845000	6.688304	9.748158	3.800989	-0.435648	0.683453	2.129836	2.894517	6.279460	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899558.000000	1770067296.834298
-19955.340000	-12790.440000	-19944.765000	-15174.315000	-21598.785000	-15852.780000	-3130.470000	-7620.345000	-0.995531	2.122903	3.871448	0.861009	1.849558	2.787092	2.160464	-0.530330	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899559.000000	1770067296.834309
-19937.385000	-12820.455000	-19961.685000	-15186.960000	-21616.560000	-15866.370000	-3132.270000	-7594.245000	-9.268773	-6.278481	2.847102	3.427611	2.788781	2.585638	1.009368	-5.913717	-1.388660	0.259420	-4.333840	0.938352	-0.324584	0.176635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899560.000000	1770067296.834315
-19891.980000	-12840.795000	-19965.780000	-15200.955000	-21623.625000	-15872.355000	-3136.770000	-7586.370000	-11.888709	-11.919928	-0.608865	3.846232	1.152163	0.414301	-0.157063	-5.140119	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899561.000000	1770067296.835109
-19902.870000	-12815.730000	-19961.460000	-15200.280000	-21622.050000	-15871.365000	-3136.815000	-7594.020000	-5.324237	-13.281074	-5.369259	0.443600	-2.844296	-3.039600	-1.286561	0.787690	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899562.000000	1770067296.835122
-19874.295000	-12740.985000	-19935.315000	-15185.655000	-21611.205000	-15864.030000	-3132.135000	-7588.620000	6.658200	-8.318282	-7.554497	-4.005947	-5.679574	-4.913692	-1.882433	6.402963	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899563.000000	1770067296.839526
-19877.220000	-12758.445000	-19940.445000	-15186.915000	-21610.080000	-15861.375000	-3132.405000	-7594.020000	15.023675	2.907504	-4.520043	-5.435444	-4.524319	-3.350408	-1.549161	6.536517	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899564.000000	1770067296.839538
-19897.380000	-12781.845000	-19946.970000	-15191.820000	-21613.905000	-15865.605000	-3136.455000	-7601.625000	13.317135	13.884982	1.384721	-3.323793	-0.641150	0.070876	-0.916855	0.647309	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899565.000000	1770067296.843144
-19896.390000	-12820.185000	-19951.830000	-15189.435000	-21610.305000	-15862.095000	-3133.710000	-7599.870000	2.346834	15.737491	5.116922	-0.256804	2.728733	2.629222	-0.540149	-6.573471	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899566.000000	1770067296.843156
-19894.815000	-12780.045000	-19957.815000	-15196.590000	-21613.860000	-15864.390000	-3136.815000	-7606.845000	-11.192715	6.320043	4.093164	1.416219	3.873760	3.308587	-0.163525	-10.035390	-4.272800	3.479280	-5.981920	0.937925	-0.322631	0.175415	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.655172	0.000000	-1.000000	-1.000000	2899567.000000	1770067296.847154
