Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
16493.805000	20157.705000	28057.230000	39806.595000	15456.960000	-1463.175000	-6436.800000	-1081.890000	6.793770	2.224578	4.076024	5.802506	4.290289	-1.092289	-13.880234	2.205112	-7.828380	2.212700	0.534100	-0.793394	-0.364379	0.398925	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640463.000000	1769635091.828227
16479.585000	20141.280000	28043.820000	39798.540000	15447.870000	-1476.270000	-6444.405000	-1090.485000	5.152417	5.565367	7.273606	7.075973	5.693424	2.242874	-7.003702	1.718696	-7.828380	2.212700	0.534100	-0.793394	-0.364379	0.398925	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640464.000000	1769635091.828240
16474.005000	20127.870000	28025.955000	39778.245000	15427.350000	-1486.800000	-6442.965000	-1091.340000	-0.653314	4.083893	5.295080	3.480117	2.888464	2.831982	1.819586	-0.906806	-7.828380	2.212700	0.534100	-0.793394	-0.364379	0.398925	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640465.000000	1769635091.832198
16485.345000	20130.885000	28025.055000	39773.745000	15422.310000	-1481.940000	-6427.305000	-1079.370000	-7.008675	-1.297275	-0.610280	-2.800929	-2.654160	0.325282	7.699270	-3.792731	-7.828380	2.212700	0.534100	-0.793394	-0.364379	0.398925	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640466.000000	1769635091.832217
16474.365000	20120.805000	28015.065000	39762.810000	15411.780000	-1493.685000	-6442.020000	-1084.275000	-9.922932	-6.394500	-6.392844	-8.017201	-7.610299	-2.971488	8.915723	-4.708944	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640467.000000	1769635091.836774
16445.745000	20109.555000	28011.600000	39767.175000	15418.485000	-1499.040000	-6481.305000	-1111.905000	-8.603859	-7.344839	-8.158184	-9.182455	-8.861281	-4.315418	6.241571	-3.555924	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640468.000000	1769635091.836788
16451.730000	20118.915000	28021.545000	39779.685000	15432.120000	-1483.875000	-6462.270000	-1110.105000	-5.374676	-4.040927	-5.293983	-5.804050	-5.482492	-2.752919	1.539224	-2.217502	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640469.000000	1769635091.840725
16466.220000	20125.080000	28024.515000	39779.415000	15434.910000	-1464.030000	-6405.525000	-1094.940000	-1.921467	0.725793	-0.237665	0.256211	0.908942	1.067403	-1.567056	-1.450805	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640470.000000	1769635091.840739
16479.045000	20142.135000	28039.230000	39789.000000	15440.130000	-1459.305000	-6393.420000	-1084.095000	1.873364	4.139416	3.766706	5.561009	6.619111	5.252074	0.459292	0.011102	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640471.000000	1769635091.846129
16467.660000	20144.880000	28040.760000	39785.760000	15435.405000	-1467.180000	-6407.595000	-1093.590000	5.863635	5.428220	5.185939	7.330469	8.281435	7.149033	5.821473	2.845210	-6.699140	2.105880	-0.640920	-0.792112	-0.367370	0.402038	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.000000	0.000000	-1.000000	-1.000000	640472.000000	1769635091.846143
