Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
6105.105000	-7154.370000	9253.575000	13669.560000	-10931.715000	-7197.210000	2016.810000	17491.860000	1.242628	4.060738	5.935568	7.246028	6.510171	10.008904	8.477754	-6.498347	-3.036740	4.303320	-2.029580	0.973264	0.078857	0.168945	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430987.000000	1770062357.814913
6095.655000	-7173.765000	9230.445000	13650.930000	-10917.855000	-7201.395000	2015.685000	17491.770000	3.049047	5.364025	6.117755	5.092026	-4.428407	2.395674	-1.767610	-9.556691	-3.036740	4.303320	-2.029580	0.973264	0.078857	0.168945	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430988.000000	1770062357.814932
6091.380000	-7186.365000	9217.980000	13641.435000	-10913.040000	-7204.455000	2020.725000	17503.830000	3.900271	4.974738	4.381948	1.515542	-13.536219	-4.678365	-11.253536	-7.128147	-3.036740	4.303320	-2.029580	0.973264	0.078857	0.168945	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430989.000000	1770062357.819088
6091.605000	-7184.790000	9221.895000	13647.285000	-10903.050000	-7198.515000	2020.140000	17504.415000	2.916019	1.674211	0.140951	-2.477099	-13.237638	-7.793777	-14.941729	-0.070435	-3.036740	4.303320	-2.029580	0.973264	0.078857	0.168945	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430990.000000	1770062357.819109
6095.655000	-7176.420000	9230.760000	13654.395000	-10895.940000	-7196.895000	2012.265000	17500.410000	0.531563	-2.916931	-4.519736	-5.097511	-3.890533	-6.777392	-11.769848	7.293079	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430991.000000	1770062357.822894
6089.445000	-7184.430000	9221.895000	13646.430000	-10901.070000	-7202.745000	2006.865000	17494.875000	-1.766830	-5.678479	-6.536795	-4.918064	7.870357	-3.473018	-5.137111	10.279009	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430992.000000	1770062357.822912
6089.445000	-7182.225000	9225.810000	13652.775000	-10890.540000	-7191.405000	2022.030000	17504.145000	-2.832541	-4.899183	-4.803119	-2.378503	14.581130	-0.168237	0.560370	7.765749	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430993.000000	1770062357.827001
6080.400000	-7181.145000	9228.555000	13654.665000	-10889.370000	-7194.915000	2023.200000	17493.210000	-2.703658	-1.319870	-0.569012	1.127356	13.949935	2.453798	3.945397	2.450086	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430994.000000	1770062357.827011
6089.445000	-7165.485000	9241.920000	13665.105000	-10880.190000	-7191.405000	2021.895000	17489.295000	-1.971872	2.857582	3.874226	4.508415	10.261483	5.308023	5.928783	-2.734165	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430995.000000	1770062357.830793
6103.845000	-7161.345000	9246.060000	13669.920000	-10866.825000	-7181.685000	2019.735000	17506.350000	-0.525595	5.726777	6.634629	6.843609	8.441974	8.421504	6.642247	-6.171476	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430996.000000	1770062357.830801
6103.485000	-7168.950000	9238.545000	13664.610000	-10860.570000	-7184.520000	2005.965000	17509.005000	2.108902	6.565404	7.056476	7.279397	8.070599	9.945498	5.309822	-6.611673	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430997.000000	1770062357.834864
6113.430000	-7156.980000	9246.870000	13671.495000	-10841.580000	-7170.795000	2009.745000	17509.185000	5.131541	5.437806	5.365930	5.402384	5.272691	8.003945	1.972598	-4.002880	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430998.000000	1770062357.834874
6097.545000	-7154.010000	9250.245000	13672.440000	-10852.875000	-7177.815000	2006.190000	17476.110000	6.353706	2.776322	2.085129	1.491366	-1.718302	2.554928	-1.703728	-0.661423	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	430999.000000	1770062357.838750
6108.390000	-7144.650000	9261.810000	13681.890000	-10862.505000	-7183.530000	2009.835000	17482.095000	4.188021	-0.649203	-1.801305	-3.222484	-11.185635	-4.646309	-3.571385	0.683549	-0.274680	4.715340	-1.785420	0.972227	0.077575	0.170288	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	431000.000000	1770062357.838757
6124.500000	-7141.140000	9265.050000	13684.770000	-10885.005000	-7183.980000	2014.785000	17508.555000	-0.096982	-3.565058	-4.662415	-6.688944	-19.711729	-10.937813	-2.940332	0.359217	0.350980	5.173140	-2.746800	0.971921	0.078552	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	431001.000000	1770062357.842796
6113.295000	-7159.005000	9248.940000	13671.045000	-10898.190000	-7191.900000	2006.370000	17514.270000	-3.506469	-5.072571	-5.570215	-7.613135	-23.811098	-13.787239	-1.049874	1.142128	0.350980	5.173140	-2.746800	0.971921	0.078552	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	431002.000000	1770062357.842805
