Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-4828.005000	-17515.530000	-3813.840000	9432.270000	-7453.305000	-3785.895000	7068.735000	-1173.150000	0.120974	-8.492295	-6.321840	-6.251354	-5.458199	-6.275107	10.192215	5.792811	-1.281840	3.601360	-2.639980	0.732542	0.658201	0.089355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486589.000000	1770064469.634789
-4808.970000	-17481.465000	-3785.625000	9459.135000	-7425.765000	-3758.265000	7082.460000	-1159.065000	-11.834569	-20.213734	-17.167203	-15.715781	-14.547159	-13.497042	6.605072	-0.199214	-1.281840	3.601360	-2.639980	0.732542	0.658201	0.089355	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486590.000000	1770064469.634801
-4764.240000	-17442.360000	-3747.735000	9502.560000	-7379.235000	-3715.605000	7110.675000	-1134.495000	-20.848602	-24.885887	-23.088198	-21.281103	-20.683966	-17.571695	1.501571	-7.222288	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486591.000000	1770064469.639891
-4845.825000	-17510.445000	-3808.305000	9432.495000	-7452.090000	-3788.865000	7062.615000	-1170.990000	-22.924385	-21.763164	-22.013705	-20.399433	-20.444505	-16.421532	-4.548274	-12.360172	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486592.000000	1770064469.639898
-4882.230000	-17531.730000	-3838.275000	9399.060000	-7487.055000	-3825.090000	7034.535000	-1177.830000	-21.639937	-16.694206	-18.077236	-16.810796	-16.763368	-13.366965	-12.017379	-15.546252	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486593.000000	1770064469.642713
-4841.370000	-17514.405000	-3836.880000	9407.385000	-7474.410000	-3812.715000	7032.735000	-1191.015000	-20.495501	-13.577726	-14.976505	-14.034241	-13.250215	-11.497527	-19.921824	-17.568661	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486594.000000	1770064469.642725
-4803.795000	-17495.730000	-3818.025000	9434.610000	-7442.595000	-3775.140000	7054.695000	-1171.845000	-14.677753	-8.675658	-9.901282	-8.868179	-7.328353	-7.496531	-22.852325	-16.041229	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486595.000000	1770064469.646687
-4834.980000	-17523.090000	-3817.845000	9433.755000	-7440.435000	-3771.990000	7061.220000	-1160.100000	-0.135893	1.583929	0.651800	2.168181	3.982944	2.593290	-15.836234	-7.739383	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486596.000000	1770064469.646695
-4806.180000	-17505.765000	-3807.180000	9422.685000	-7452.090000	-3787.830000	7053.975000	-1165.725000	17.459465	13.949138	14.184799	15.457102	16.964021	15.669933	-0.843588	5.585675	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486597.000000	1770064469.653408
-4825.620000	-17490.285000	-3813.525000	9429.930000	-7449.570000	-3788.730000	7057.395000	-1185.660000	28.389375	22.051254	23.657979	23.113234	23.921938	23.375074	14.157367	16.878031	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486598.000000	1770064469.653419
-4842.000000	-17514.540000	-3805.740000	9439.200000	-7444.170000	-3781.215000	7065.720000	-1189.305000	26.472058	21.315845	23.164701	20.475092	20.231850	19.959369	21.630751	19.419743	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486599.000000	1770064469.655038
-4827.600000	-17501.040000	-3805.335000	9439.155000	-7442.325000	-3773.565000	7074.045000	-1172.295000	12.720902	11.312747	12.758107	9.538586	7.922268	7.395768	19.330394	12.570803	-1.663340	4.944240	-2.853620	0.732603	0.660277	0.090210	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486600.000000	1770064469.655047
-4825.440000	-17509.095000	-3814.965000	9428.895000	-7454.430000	-3783.825000	7062.570000	-1155.105000	-3.508970	-1.971225	-0.899733	-2.613816	-5.263199	-5.759212	10.796593	2.607514	-1.983800	5.661460	-1.205540	0.730528	0.661986	0.091797	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486601.000000	1770064469.658868
-4822.515000	-17497.755000	-3806.145000	9435.780000	-7450.875000	-3787.245000	7019.595000	-1161.270000	-11.881113	-10.029244	-9.616301	-8.831790	-11.462095	-11.421909	1.147725	-3.471024	-1.983800	5.661460	-1.205540	0.730528	0.661986	0.091797	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486602.000000	1770064469.658879
-4801.365000	-17463.420000	-3768.345000	9474.885000	-7409.520000	-3750.795000	7040.205000	-1165.950000	-10.578505	-9.434377	-9.610666	-7.011233	-8.734716	-8.495398	-6.863779	-4.164204	-1.983800	5.661460	-1.205540	0.730528	0.661986	0.091797	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.413793	0.000000	-1.000000	-1.000000	1486603.000000	1770064469.662692
