Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-29646.315000	-35949.420000	-28336.095000	-6287.850000	-29895.750000	-15547.815000	2553.255000	-16742.745000	-6.675288	-5.260834	-1.677720	-3.085747	-2.842978	-2.592843	-2.796659	-7.572670	-2.060100	6.134520	-2.868880	0.886106	-0.204894	0.401488	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246108.000000	1770065989.470248
-29659.635000	-35951.895000	-28341.405000	-6295.095000	-29906.415000	-15556.725000	2545.785000	-16750.350000	1.390590	-2.912076	-2.140334	-4.812202	-4.203879	-3.609237	-2.884745	3.282665	-2.060100	6.134520	-2.868880	0.886106	-0.204894	0.401488	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246109.000000	1770065989.473116
-29626.695000	-35958.240000	-28349.280000	-6300.270000	-29908.440000	-15557.265000	2540.340000	-16768.080000	11.309831	2.063547	-1.438857	-4.570662	-4.042873	-3.444196	-1.621570	15.182346	-2.060100	6.134520	-2.868880	0.886106	-0.204894	0.401488	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246110.000000	1770065989.473126
-29576.430000	-35934.075000	-28331.010000	-6281.730000	-29888.820000	-15538.230000	2547.405000	-16758.360000	19.670447	7.269811	-0.461129	-3.616132	-3.317167	-2.963895	0.007497	21.981759	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246111.000000	1770065989.476741
-29608.380000	-35933.040000	-28322.145000	-6273.225000	-29879.505000	-15528.690000	2553.480000	-16746.210000	23.495908	10.237712	0.617035	-2.262930	-1.881608	-1.883310	1.339678	20.930388	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246112.000000	1770065989.476750
-29628.450000	-35944.875000	-28334.340000	-6287.265000	-29894.940000	-15543.945000	2546.820000	-16743.465000	19.383261	9.622711	2.063031	0.044159	0.765310	0.447104	2.455627	14.522980	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246113.000000	1770065989.481856
-29623.680000	-35961.570000	-28352.790000	-6302.025000	-29909.160000	-15559.380000	2535.705000	-16757.100000	7.248855	5.255202	2.955353	2.641247	3.449558	2.970533	3.103554	6.342733	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246114.000000	1770065989.481868
-29614.230000	-35965.530000	-28361.700000	-6308.595000	-29913.840000	-15564.780000	2536.290000	-16741.665000	-7.515475	-1.284846	1.906954	3.883926	4.192527	3.676582	2.514192	-2.200799	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246115.000000	1770065989.484898
-29612.025000	-35944.830000	-28340.730000	-6295.770000	-29900.700000	-15551.415000	2550.825000	-16731.135000	-18.361127	-7.033409	-0.801414	3.214115	2.650420	2.142098	0.624277	-10.126302	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246116.000000	1770065989.484909
-29633.265000	-35954.910000	-28348.020000	-6301.170000	-29906.910000	-15557.805000	2542.995000	-16759.080000	-21.573644	-9.423805	-3.150490	1.608095	0.327495	-0.045446	-1.397598	-15.284266	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246117.000000	1770065989.489102
-29624.895000	-35944.830000	-28340.685000	-6292.350000	-29900.025000	-15552.315000	2541.510000	-16765.515000	-17.148832	-7.747310	-3.460075	0.273475	-1.188384	-1.255792	-2.357562	-16.028109	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246118.000000	1770065989.489111
-29616.705000	-35942.985000	-28336.140000	-6283.125000	-29890.845000	-15543.675000	2545.515000	-16745.670000	-8.438745	-3.112655	-1.562402	-0.165511	-1.288350	-1.089675	-1.939258	-11.877323	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246119.000000	1770065989.494405
-29626.470000	-35950.680000	-28344.375000	-6290.640000	-29900.070000	-15552.540000	2540.025000	-16740.720000	-0.267529	1.797981	1.034305	-0.181687	-0.721800	-0.448448	-0.728323	-3.649423	-0.976640	6.088740	-1.587040	0.888609	-0.204956	0.401977	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2246120.000000	1770065989.494415
