Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
15647.895000	19083.555000	26170.155000	38322.315000	14294.205000	-2888.865000	-7434.765000	-2284.740000	-2.986686	-1.043736	-3.727621	-7.716733	-8.530287	-6.266874	0.268146	-0.774474	4.181240	3.082520	-3.067260	-0.846128	-0.299438	0.365111	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717055.000000	1769635245.053805
15654.060000	19095.795000	26178.705000	38324.430000	14293.170000	-2894.715000	-7439.625000	-2279.295000	-1.073321	2.430816	-1.072923	-5.978000	-6.858705	-4.927921	-0.499726	0.383982	4.181240	3.082520	-3.067260	-0.846128	-0.299438	0.365111	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717056.000000	1769635245.053820
15651.855000	19086.570000	26175.285000	38325.780000	14293.620000	-2902.590000	-7447.950000	-2282.400000	1.419095	5.173333	1.850917	-2.603746	-3.383723	-2.210340	-1.124806	1.819617	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717057.000000	1769635245.058131
15646.545000	19060.020000	26157.375000	38321.055000	14292.045000	-2899.665000	-7439.895000	-2286.045000	2.296024	4.555803	2.698587	0.118510	-0.301312	-0.201731	-0.666290	1.980301	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717058.000000	1769635245.058142
15651.180000	19052.145000	26150.850000	38325.195000	14300.190000	-2880.045000	-7420.365000	-2278.665000	1.035477	0.117679	0.727284	1.409761	1.675989	0.844141	0.918752	0.472777	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717059.000000	1769635245.065671
15651.405000	19067.355000	26162.775000	38329.065000	14303.070000	-2879.325000	-7422.300000	-2282.130000	-0.864223	-5.709595	-2.679617	1.837736	3.084778	2.195861	3.014813	-1.385691	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717060.000000	1769635245.065685
15653.520000	19073.655000	26169.255000	38332.890000	14306.085000	-2881.440000	-7425.270000	-2282.040000	-1.385877	-8.492184	-4.401908	2.418405	4.479699	4.166797	4.296080	-2.043245	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717061.000000	1769635245.066723
15653.610000	19072.530000	26166.600000	38329.515000	14304.870000	-2880.405000	-7418.610000	-2279.565000	-0.095186	-5.930572	-2.667214	3.308119	5.464946	5.459445	3.800620	-1.163701	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717062.000000	1769635245.066732
15655.635000	19075.995000	26169.435000	38330.910000	14304.195000	-2883.420000	-7427.610000	-2279.205000	1.518247	-0.245893	0.881801	3.434620	4.863717	4.585109	1.678870	0.395083	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717063.000000	1769635245.069849
15656.670000	19075.680000	26168.355000	38328.030000	14297.805000	-2892.870000	-7441.155000	-2281.635000	1.806707	4.404914	3.278272	1.878647	1.993353	1.037906	-1.912671	1.348424	-1.709120	3.570840	-3.494540	-0.841429	-0.296630	0.370238	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	717064.000000	1769635245.069861
