Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
6898.815000	2605.005000	15749.640000	17588.880000	-6390.765000	-2896.065000	5404.455000	17408.160000	-0.057557	-1.550294	-1.825831	-1.217231	-2.203898	2.195412	1.144866	-1.083626	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525833.000000	1770062547.500415
6888.645000	2597.040000	15742.305000	17582.580000	-6394.140000	-2900.925000	5402.070000	17402.265000	0.933356	-2.314294	-3.224986	-2.897416	-2.969146	0.377718	-1.403736	-2.771595	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525834.000000	1770062547.500426
6895.755000	2602.170000	15746.580000	17584.380000	-6395.715000	-2897.820000	5409.045000	17411.805000	1.488698	-1.809887	-2.772099	-2.776234	-2.081914	-1.731749	-3.240564	-2.509209	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525835.000000	1770062547.503727
6894.045000	2593.620000	15737.220000	17575.830000	-6400.890000	-2904.615000	5405.085000	17412.165000	0.666084	-1.075437	-1.695800	-1.927015	-1.023123	-3.733774	-3.814544	-1.257393	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525836.000000	1770062547.503736
6893.235000	2593.395000	15736.680000	17574.840000	-6401.700000	-2906.190000	5402.970000	17408.340000	-1.180167	-1.135712	-1.311391	-1.530770	-0.614161	-4.808161	-3.084790	-0.140704	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525837.000000	1770062547.507663
6899.760000	2602.755000	15744.510000	17581.320000	-6396.480000	-2902.005000	5405.760000	17411.670000	-2.863775	-1.733026	-1.615985	-1.694776	-0.760493	-4.458267	-1.583245	-0.104490	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525838.000000	1770062547.507674
6892.515000	2599.560000	15745.005000	17587.845000	-6384.105000	-2885.580000	5420.250000	17415.720000	-3.459344	-1.700287	-1.468570	-1.397894	-0.558544	-2.330247	0.333902	-0.921573	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525839.000000	1770062547.515333
6890.670000	2602.710000	15750.495000	17593.965000	-6380.640000	-2882.700000	5421.825000	17406.495000	-2.963726	-0.593829	-0.177842	0.196240	1.107364	1.445980	2.387929	-1.364567	-5.661460	7.324800	-4.471180	0.971555	-0.092956	0.173706	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525840.000000	1770062547.515344
6896.790000	2600.460000	15746.130000	17587.530000	-6388.200000	-2892.510000	5413.545000	17403.210000	-1.806379	0.784621	1.526821	2.330837	3.535382	5.091889	3.558347	-0.983743	-10.208940	7.965720	-5.447820	0.973752	-0.089660	0.172424	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525841.000000	1770062547.515713
6899.445000	2599.965000	15743.160000	17581.725000	-6394.950000	-2899.305000	5410.260000	17409.420000	-0.048691	1.511012	2.280690	3.067389	3.837210	5.848824	2.626035	-0.384344	-10.208940	7.965720	-5.447820	0.973752	-0.089660	0.172424	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.068966	0.000000	-1.000000	-1.000000	525842.000000	1770062547.515724
