Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-3042.540000	-14029.020000	-3051.990000	10502.685000	-4363.290000	-2145.195000	7384.185000	-3381.165000	0.489303	4.617004	7.075959	11.376961	9.876867	8.612094	-0.080178	14.066827	0.457800	4.303320	-1.037680	0.702147	0.682371	0.137085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555489.000000	1770064607.509203
-3026.520000	-14021.055000	-3050.325000	10492.470000	-4371.795000	-2149.110000	7373.385000	-3312.765000	-2.761548	0.335355	2.503204	6.352442	7.571323	7.008974	3.230348	2.948988	0.457800	4.303320	-1.037680	0.702147	0.682371	0.137085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555490.000000	1770064607.509214
-2988.450000	-13973.355000	-3001.095000	10557.135000	-4325.670000	-2105.370000	7410.330000	-3336.255000	-7.512952	-7.430213	-6.980387	-5.657718	-2.731993	-3.515143	-0.814244	-5.491669	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555491.000000	1770064607.509226
-2989.980000	-13971.420000	-2997.000000	10568.565000	-4327.965000	-2119.815000	7389.810000	-3368.745000	-8.316297	-10.772422	-12.506141	-13.543899	-11.911580	-13.237965	-5.336668	-11.565584	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555492.000000	1770064607.509231
-3011.895000	-13993.605000	-3018.870000	10540.890000	-4347.675000	-2137.050000	7366.725000	-3392.595000	-4.711947	-7.266459	-10.161898	-11.256032	-13.162917	-14.784245	-4.861074	-19.511592	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555493.000000	1770064607.512601
-3003.615000	-13982.265000	-3010.005000	10543.545000	-4339.530000	-2126.790000	7390.395000	-3419.190000	0.320664	-0.463136	-3.159166	-2.707167	-7.359789	-8.734956	-0.264232	-27.689327	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555494.000000	1770064607.512610
-3000.870000	-13986.180000	-3017.340000	10531.125000	-4351.140000	-2133.270000	7391.745000	-3364.290000	4.771688	5.519492	3.510120	4.542773	0.348549	-0.099268	5.249421	-28.754101	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555495.000000	1770064607.512621
-2998.845000	-13983.525000	-3017.205000	10508.355000	-4356.945000	-2125.530000	7403.130000	-3351.015000	7.375984	7.995752	6.502394	5.552025	4.832932	5.948100	9.238396	-17.324863	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555496.000000	1770064607.512626
-2986.245000	-13978.350000	-3016.800000	10485.315000	-4353.030000	-2121.930000	7393.275000	-3332.610000	8.387951	7.617004	6.501254	1.443132	5.472439	8.340721	10.505330	5.179437	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555497.000000	1770064607.515582
-2999.970000	-13996.710000	-3028.500000	10522.710000	-4339.890000	-2136.420000	7361.010000	-3313.080000	9.384475	7.577947	6.989499	-1.157358	6.493384	9.923661	8.847921	29.627441	-0.808780	4.303320	-0.793520	0.701658	0.685057	0.135681	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.931034	0.000000	-1.000000	-1.000000	1555498.000000	1770064607.515592
