Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-24453.315000	-28128.240000	-29398.365000	-11981.880000	-28438.470000	-15319.350000	7.470000	-11818.125000	-7.103846	-8.592523	-3.234218	-0.713082	-0.585148	0.528604	-0.341293	0.539587	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350063.000000	1770066197.470092
-24453.495000	-28138.635000	-29404.215000	-11984.310000	-28438.515000	-15319.080000	3.870000	-11806.830000	4.213674	-2.649442	-3.386584	-0.838039	-0.389446	0.232388	-0.512919	3.201105	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350064.000000	1770066197.470102
-24453.630000	-28136.655000	-29401.515000	-11979.090000	-28430.190000	-15309.945000	5.535000	-11805.480000	10.511130	1.454735	-2.074529	-0.862403	-0.143259	-0.091092	-0.635624	4.148991	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350065.000000	1770066197.472158
-24466.320000	-28130.625000	-29388.555000	-11967.480000	-28420.245000	-15301.755000	11.790000	-11815.515000	6.563308	1.108001	-1.664588	-2.039989	-0.685245	-1.054751	-1.198063	2.675791	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350066.000000	1770066197.472168
-24489.630000	-28136.205000	-29395.485000	-11975.940000	-28429.605000	-15310.170000	8.550000	-11842.200000	-2.986193	-1.355725	-2.234210	-3.559475	-1.636701	-2.191582	-1.827495	-0.378829	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350067.000000	1770066197.478122
-24469.110000	-28135.215000	-29405.115000	-11992.005000	-28447.785000	-15327.495000	-0.135000	-11833.020000	-9.859597	-1.982174	-2.527989	-4.102922	-2.458987	-2.982347	-1.999901	-3.487344	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350068.000000	1770066197.478132
-24451.785000	-28142.730000	-29408.400000	-11994.570000	-28449.135000	-15328.440000	6.390000	-11794.095000	-8.867744	0.299495	-1.912137	-3.555967	-3.180475	-3.462084	-1.646435	-4.312502	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350069.000000	1770066197.480167
-24509.475000	-28149.525000	-29398.095000	-11975.670000	-28424.790000	-15302.655000	22.995000	-11821.005000	-1.895628	2.240533	-0.586712	-2.062126	-3.135030	-2.975518	-0.515127	-1.328157	-5.432560	5.279960	-2.624720	0.904722	-0.308105	0.290954	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350070.000000	1770066197.480174
-24566.445000	-28162.125000	-29402.640000	-11976.300000	-28424.655000	-15305.895000	6.210000	-11888.100000	2.958866	0.516233	0.946600	0.638211	-0.942387	-0.317593	1.587811	2.465048	-4.196500	4.257540	-0.274680	0.908994	-0.307433	0.293212	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350071.000000	1770066197.488531
-24535.035000	-28163.880000	-29417.400000	-11994.615000	-28446.840000	-15327.900000	-19.800000	-11906.685000	0.260030	-3.636039	1.861599	3.581014	2.663311	3.381093	3.160590	1.407634	-4.196500	4.257540	-0.274680	0.908994	-0.307433	0.293212	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.448276	0.000000	-1.000000	-1.000000	2350072.000000	1770066197.488543
