Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
15574.905000	18387.900000	25786.710000	37714.770000	12100.545000	-4039.740000	-7366.005000	-2155.995000	0.404806	-4.173721	-4.784398	-3.610454	-2.384496	0.342047	1.789034	0.303012	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769011.000000	1769635348.998616
15575.310000	18389.565000	25788.240000	37715.400000	12099.285000	-4046.670000	-7386.930000	-2163.420000	5.400709	2.572249	2.622054	2.621832	2.732134	2.589341	-1.618273	3.337548	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769012.000000	1769635348.998621
15578.415000	18395.955000	25795.080000	37721.205000	12103.110000	-4049.640000	-7408.935000	-2169.000000	7.632812	6.845288	7.390347	6.275440	5.316697	2.462450	-5.345092	4.461273	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769013.000000	1769635348.999362
15583.545000	18398.205000	25795.080000	37719.405000	12102.615000	-4041.945000	-7381.890000	-2163.330000	5.459951	7.423622	8.385142	6.756993	5.226630	0.673843	-8.750965	1.919700	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769014.000000	1769635348.999374
15585.165000	18405.045000	25802.730000	37726.875000	12110.850000	-4025.790000	-7339.455000	-2159.460000	0.975688	5.645331	6.817334	5.273230	3.853099	-0.512473	-8.444941	-2.316025	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769015.000000	1769635349.003526
15608.655000	18430.020000	25826.805000	37748.835000	12132.000000	-4006.305000	-7347.960000	-2156.310000	-2.671103	3.644181	4.707453	3.485987	2.699739	0.652247	-1.574871	-4.872029	2.166920	5.051060	-0.961380	-0.876646	-0.263671	0.333922	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769016.000000	1769635349.003541
15624.090000	18444.465000	25838.910000	37758.870000	12139.920000	-4006.800000	-7358.130000	-2149.065000	-3.596299	2.755149	3.475935	2.574065	2.548058	3.563707	8.238644	-4.198488	-1.052940	5.981920	-2.105880	-0.873228	-0.258483	0.336425	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769017.000000	1769635349.007568
15586.695000	18408.780000	25804.755000	37727.910000	12109.635000	-4038.165000	-7364.745000	-2157.795000	-2.404821	2.052829	2.215040	1.706932	2.256861	5.084404	13.374701	-1.310960	-1.052940	5.981920	-2.105880	-0.873228	-0.258483	0.336425	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769018.000000	1769635349.007581
15537.330000	18356.355000	25753.950000	37680.885000	12068.325000	-4063.095000	-7354.035000	-2172.420000	-2.492449	-1.630511	-2.191056	-1.994298	-1.021294	1.930433	10.327974	1.267299	-1.052940	5.981920	-2.105880	-0.873228	-0.258483	0.336425	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769019.000000	1769635349.016670
15535.575000	18349.830000	25744.005000	37670.085000	12059.235000	-4066.515000	-7351.290000	-2176.335000	-6.350254	-9.645262	-10.824602	-9.606921	-8.149029	-5.416742	2.442058	1.528761	-1.052940	5.981920	-2.105880	-0.873228	-0.258483	0.336425	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.172414	0.000000	-1.000000	-1.000000	769020.000000	1769635349.016685
