Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2936.880000	-13068.180000	-2778.120000	10812.825000	-3898.530000	-1766.475000	7625.745000	-3268.935000	17.671645	16.495550	19.708687	16.609844	14.078067	10.088340	1.663513	23.635967	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579973.000000	1770064656.493066
-2962.665000	-13084.560000	-2791.305000	10807.335000	-3898.080000	-1764.180000	7610.490000	-3301.785000	12.384166	9.720665	11.788161	11.167373	9.084549	5.117013	6.413527	22.384153	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579974.000000	1770064656.493077
-2990.115000	-13107.240000	-2819.970000	10780.920000	-3915.855000	-1775.160000	7590.285000	-3314.205000	0.321993	-3.137194	-3.406605	-0.074498	-1.306842	-3.452694	8.190791	10.224095	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579975.000000	1770064656.496310
-2987.415000	-13114.710000	-2827.980000	10769.175000	-3931.245000	-1790.640000	7581.780000	-3298.365000	-18.603609	-21.660248	-24.326558	-17.897378	-17.210510	-16.294811	0.561896	-11.115733	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579976.000000	1770064656.496320
-2977.290000	-13105.980000	-2821.140000	10772.505000	-3929.175000	-1793.025000	7583.355000	-3270.870000	-35.613218	-37.649651	-41.516868	-34.940566	-31.959276	-28.405827	-12.005121	-29.386502	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579977.000000	1770064656.500562
-2936.070000	-13055.895000	-2771.775000	10818.270000	-3886.425000	-1755.990000	7622.955000	-3233.745000	-39.447217	-40.462636	-43.810455	-40.280495	-36.322920	-32.357331	-19.721357	-32.558784	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579978.000000	1770064656.500572
-2910.060000	-13026.690000	-2743.380000	10843.560000	-3863.835000	-1731.870000	7633.170000	-3233.610000	-25.721345	-25.375362	-27.310876	-28.018439	-25.200362	-23.280483	-16.481123	-19.868877	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579979.000000	1770064656.504570
-2943.990000	-13066.110000	-2780.550000	10804.815000	-3895.470000	-1760.895000	7564.095000	-3291.705000	-1.850764	0.405435	-0.228271	-3.703288	-3.168847	-3.980389	-5.312487	-2.793254	-3.464020	4.639040	-0.061040	0.705748	0.683104	0.156494	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579980.000000	1770064656.504582
-2976.210000	-13104.135000	-2817.450000	10769.580000	-3925.665000	-1791.135000	7576.470000	-3280.995000	18.042559	21.724394	22.228178	18.533819	17.464310	15.305028	5.036030	7.020175	-1.526000	4.715340	-0.289940	0.701964	0.681273	0.153625	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579981.000000	1770064656.509862
-2988.765000	-13117.770000	-2827.845000	10768.230000	-3929.085000	-1793.745000	7596.990000	-3272.400000	24.979603	28.210864	29.857471	27.659857	26.488508	24.929344	9.944096	9.324063	-1.526000	4.715340	-0.289940	0.701964	0.681273	0.153625	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	77.724138	0.000000	-1.000000	-1.000000	1579982.000000	1770064656.509872
