Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-24873.165000	-24469.830000	-29379.240000	-14374.755000	-27625.950000	-15502.005000	-691.830000	-11716.110000	-8.087038	-5.625521	-1.184547	-1.556178	-1.396271	-0.666025	-1.763071	-2.350099	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414593.000000	1770066326.575809
-24860.970000	-24475.725000	-29385.900000	-14381.865000	-27629.280000	-15503.130000	-691.290000	-11711.520000	-4.115351	-3.039910	0.233051	-2.265160	-2.255324	-1.236410	-1.844485	-4.966782	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414594.000000	1770066326.575815
-24846.165000	-24481.530000	-29392.380000	-14389.695000	-27638.820000	-15512.670000	-697.140000	-11694.870000	2.935987	-0.496355	0.654917	-2.842439	-2.450548	-1.419309	-1.683636	-5.830587	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414595.000000	1770066326.579843
-24836.940000	-24471.720000	-29385.450000	-14384.790000	-27634.320000	-15509.205000	-691.740000	-11681.415000	11.549150	0.854886	-0.133748	-3.154421	-2.457794	-1.939266	-1.783850	-2.237184	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414596.000000	1770066326.579854
-24848.145000	-24477.165000	-29384.505000	-14382.405000	-27631.980000	-15507.315000	-694.845000	-11702.295000	18.181051	2.299003	-0.454783	-2.157970	-1.849865	-2.202451	-1.572479	5.023457	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414597.000000	1770066326.583997
-24885.990000	-24504.795000	-29394.045000	-14387.400000	-27636.255000	-15510.015000	-698.940000	-11717.595000	18.881388	4.641208	1.092829	0.691292	0.007650	-1.118955	-0.367398	10.803823	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414598.000000	1770066326.584004
-24895.890000	-24503.040000	-29391.705000	-14383.035000	-27631.845000	-15505.290000	-699.930000	-11720.790000	11.703047	6.066262	3.411821	3.819489	2.278999	0.923812	1.350674	10.387601	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414599.000000	1770066326.587880
-24858.270000	-24474.195000	-29392.155000	-14389.290000	-27639.630000	-15513.390000	-703.755000	-11698.830000	-0.211549	5.257708	4.225548	4.797333	3.217345	2.309049	2.442984	4.461731	-4.684820	6.577060	-0.503580	0.885557	-0.286681	0.358520	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414600.000000	1770066326.587890
-24858.180000	-24464.160000	-29381.355000	-14379.930000	-27630.135000	-15503.940000	-693.270000	-11686.905000	-10.098897	3.432949	2.698675	2.881692	2.026514	1.895599	2.261895	-1.946781	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414601.000000	1770066326.592885
-24862.185000	-24462.180000	-29374.875000	-14373.315000	-27624.105000	-15497.865000	-691.470000	-11702.160000	-14.329481	1.698616	0.091148	-0.143819	-0.087512	0.331466	1.190990	-5.227425	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414602.000000	1770066326.592904
-24860.250000	-24468.930000	-29376.810000	-14374.170000	-27624.690000	-15497.955000	-694.080000	-11711.520000	-14.224894	-0.461163	-1.798628	-1.809078	-1.146723	-0.728899	-0.005786	-6.170241	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414603.000000	1770066326.597435
-24857.280000	-24469.380000	-29378.700000	-14377.005000	-27627.210000	-15499.845000	-694.665000	-11722.500000	-11.464204	-3.320573	-2.328125	-1.411020	-0.590081	-0.578887	-0.936910	-6.905884	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414604.000000	1770066326.597447
-24848.100000	-24469.245000	-29384.010000	-14386.590000	-27636.120000	-15505.740000	-694.440000	-11708.190000	-6.225215	-5.741824	-2.073102	-0.259513	0.437962	0.136087	-1.405250	-7.258670	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414605.000000	1770066326.599905
-24849.180000	-24481.440000	-29386.980000	-14391.720000	-27639.315000	-15507.000000	-694.755000	-11677.140000	1.366431	-6.105252	-1.701325	0.042451	0.553341	0.432136	-1.192705	-4.518212	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414606.000000	1770066326.599916
-24829.515000	-24484.725000	-29382.120000	-14386.590000	-27635.130000	-15501.645000	-695.565000	-11666.745000	10.155316	-3.767336	-1.155938	-0.758285	-0.395060	0.059965	-0.294625	3.032174	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414607.000000	1770066326.603866
-24851.385000	-24481.080000	-29383.605000	-14384.295000	-27631.755000	-15496.200000	-692.280000	-11686.500000	16.760768	0.019426	-0.206295	-1.628616	-1.353298	-0.369079	0.885119	11.750841	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414608.000000	1770066326.603876
-24907.005000	-24477.795000	-29384.685000	-14383.215000	-27630.495000	-15495.030000	-689.625000	-11706.795000	15.364258	2.656199	0.649505	-1.617277	-1.386980	-0.282661	1.712936	14.218475	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414609.000000	1770066326.607898
-24873.165000	-24486.885000	-29400.435000	-14395.770000	-27642.915000	-15508.170000	-699.165000	-11682.495000	3.630825	2.320077	0.381901	-0.940534	-0.774406	-0.097853	1.447780	7.234580	-2.624720	6.790700	-1.587040	0.883054	-0.287963	0.356383	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.103448	0.000000	-1.000000	-1.000000	2414610.000000	1770066326.607907
