Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
6476.985000	6510.735000	18493.335000	18308.115000	-5455.305000	-2866.095000	6039.540000	14000.175000	-9.119640	-15.318899	-14.379580	-12.600557	-4.910892	-8.069898	-4.160112	10.341672	-6.302380	3.647140	-3.937080	0.984495	-0.089538	0.173156	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637779.000000	1770062771.414214
6484.275000	6528.870000	18507.060000	18315.585000	-5455.845000	-2869.380000	6031.845000	13985.235000	5.135616	-4.630058	-3.936158	-3.108489	-0.474083	-2.012246	0.258092	17.014724	-6.302380	3.647140	-3.937080	0.984495	-0.089538	0.173156	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637780.000000	1770062771.414225
6481.395000	6525.180000	18504.315000	18315.270000	-5455.125000	-2865.015000	6032.115000	13984.335000	17.220135	10.085245	9.163570	7.168625	0.876334	1.806098	2.402363	13.206538	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637781.000000	1770062771.421630
6476.580000	6526.215000	18509.895000	18319.905000	-5452.065000	-2866.860000	6030.855000	13987.890000	21.823263	22.223766	19.172106	13.861347	-0.735076	1.956501	1.742413	4.089931	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637782.000000	1770062771.421640
6475.410000	6528.690000	18515.610000	18327.645000	-5434.560000	-2853.180000	6045.975000	13995.720000	18.156583	25.864112	22.144308	15.493037	-1.625587	1.142527	1.225029	-1.882309	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637783.000000	1770062771.421838
6474.915000	6522.345000	18511.785000	18328.635000	-5425.110000	-2849.130000	6045.480000	13993.245000	9.816555	20.697146	18.692970	13.809959	1.966762	2.724131	3.363071	-1.597948	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637784.000000	1770062771.421853
6476.670000	6525.090000	18510.120000	18320.265000	-5454.855000	-2866.365000	6032.970000	13997.970000	1.411700	10.882201	11.562007	10.314203	8.569424	6.117203	6.507273	1.546627	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637785.000000	1770062771.429315
6472.710000	6521.625000	18507.015000	18316.305000	-5471.550000	-2877.390000	6026.265000	14002.335000	-4.660976	0.669012	2.857278	4.842498	12.021798	7.449025	6.666554	3.082582	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637786.000000	1770062771.429328
6469.740000	6525.765000	18516.645000	18328.095000	-5449.950000	-2861.550000	6042.510000	14016.600000	-8.350273	-7.597579	-5.560901	-1.967492	8.763573	4.973353	2.779258	1.536362	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637787.000000	1770062771.430710
6464.970000	6525.720000	18515.520000	18327.375000	-5444.280000	-2861.280000	6040.170000	14014.170000	-10.274719	-13.044386	-11.695370	-7.815130	1.514617	0.961710	-2.118730	-1.516553	-6.561800	4.730600	-4.043900	0.984861	-0.087707	0.170959	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	85.517241	0.000000	-1.000000	-1.000000	637788.000000	1770062771.430719
