Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-23878.485000	-18420.705000	-27083.070000	-15012.855000	-26854.650000	-14793.795000	-1106.820000	-11284.155000	4.795038	17.827969	15.419665	13.038341	12.126501	8.318535	4.669405	-6.812794	-0.900340	3.921820	-3.128300	0.889890	-0.280151	0.358581	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469437.000000	1770066436.303631
-23888.340000	-18433.620000	-27076.500000	-15011.505000	-26860.140000	-14802.615000	-1113.255000	-11284.020000	-11.956580	10.265110	15.107251	12.413726	10.860578	8.067884	3.899442	-10.813570	-0.900340	3.921820	-3.128300	0.889890	-0.280151	0.358581	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469438.000000	1770066436.303640
-23886.405000	-18438.030000	-27090.045000	-15016.815000	-26857.980000	-14801.670000	-1114.965000	-11296.260000	-22.633821	-2.393657	10.019297	8.265049	6.555938	5.589501	2.067040	-8.179382	-0.900340	3.921820	-3.128300	0.889890	-0.280151	0.358581	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469439.000000	1770066436.305780
-23902.290000	-18451.665000	-27113.085000	-15012.855000	-26847.540000	-14789.565000	-1106.055000	-11293.740000	-22.585444	-13.199874	1.539289	2.505630	1.459740	2.139380	-0.280835	-2.705173	-0.900340	3.921820	-3.128300	0.889890	-0.280151	0.358581	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469440.000000	1770066436.305789
-23952.870000	-18474.030000	-27109.080000	-15006.015000	-26843.355000	-14786.640000	-1106.730000	-11306.025000	-15.582953	-17.533511	-7.924417	-2.902115	-2.439887	-0.691675	-1.972702	0.490198	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469441.000000	1770066436.309817
-23908.905000	-18455.355000	-27099.990000	-15007.905000	-26849.475000	-14794.470000	-1113.795000	-11297.565000	-10.169964	-15.966338	-14.590916	-6.302838	-4.325918	-2.074013	-2.360570	-0.389447	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469442.000000	1770066436.309824
-23863.995000	-18427.455000	-27089.910000	-15007.545000	-26849.430000	-14796.315000	-1112.670000	-11285.865000	-6.540753	-10.745652	-15.439139	-7.487145	-5.035292	-2.787025	-2.121554	-2.519906	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469443.000000	1770066436.313830
-23887.530000	-18432.765000	-27087.750000	-15010.470000	-26849.115000	-14796.315000	-1107.855000	-11292.390000	1.702843	-2.974238	-10.586949	-7.214407	-5.467452	-3.653698	-1.951037	-2.035107	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469444.000000	1770066436.313840
-23900.895000	-18424.890000	-27081.315000	-15008.085000	-26845.830000	-14794.470000	-1107.090000	-11303.505000	12.620763	5.149678	-2.953948	-5.855414	-5.194579	-4.113485	-1.611475	1.037381	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469445.000000	1770066436.317962
-23890.185000	-18446.265000	-27092.880000	-15012.540000	-26849.115000	-14799.465000	-1109.925000	-11295.945000	17.871370	10.144208	3.841359	-3.302107	-3.224341	-3.059191	-0.699582	3.576685	-2.014320	4.501700	-2.197440	0.888181	-0.278381	0.359191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.827586	0.000000	-1.000000	-1.000000	2469446.000000	1770066436.317969
