Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
7731.675000	8884.305000	20097.000000	18172.440000	-5820.300000	-2987.550000	5678.280000	13159.530000	7.128734	1.649247	-3.620278	-3.331715	-3.669113	-4.336253	-2.875147	-2.787262	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710925.000000	1770062917.733646
7673.985000	8841.780000	20041.155000	18158.850000	-5824.125000	-2990.340000	5658.345000	13098.105000	5.631988	8.346077	0.534822	-3.027858	-8.921226	-9.228041	-7.606533	-6.822858	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710926.000000	1770062917.733657
7595.955000	8769.105000	20013.660000	18136.755000	-5800.140000	-2949.075000	5696.460000	13088.880000	-1.218059	8.755738	1.412435	-2.751553	-11.717479	-12.367962	-11.987384	-10.906701	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710927.000000	1770062917.737952
7580.205000	8755.245000	20025.180000	18099.315000	-5818.995000	-2955.285000	5705.865000	13153.410000	-13.430445	0.931876	-0.432504	-2.326764	-8.241708	-8.777496	-10.905843	-13.651502	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710928.000000	1770062917.737963
7602.660000	8790.345000	20059.200000	18101.160000	-5828.715000	-2966.490000	5704.830000	13181.130000	-24.215456	-10.471942	-1.664950	-2.653614	0.183156	1.470848	-2.149520	-10.163237	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710929.000000	1770062917.741602
7637.895000	8804.790000	20053.260000	18114.345000	-5806.845000	-2947.860000	5712.030000	13163.040000	-24.047377	-16.099710	0.299400	-3.287262	8.265600	12.028303	9.508817	0.010497	-10.315760	0.106820	-3.402980	0.877744	-0.491454	0.123657	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710930.000000	1770062917.741613
7638.795000	8784.675000	20065.815000	18153.990000	-5769.090000	-2934.135000	5707.575000	13131.585000	-10.349072	-11.594612	4.237124	-1.653998	12.862909	17.059835	16.734242	10.297125	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710931.000000	1770062917.752425
7658.775000	8782.830000	20077.740000	18152.820000	-5773.230000	-2949.030000	5694.480000	13154.355000	9.569196	-1.380761	7.514183	4.046229	14.110283	14.985301	15.489053	14.064162	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710932.000000	1770062917.752437
7643.430000	8804.385000	20077.155000	18143.190000	-5799.465000	-2961.720000	5691.555000	13163.580000	24.647315	7.755640	8.587897	11.156259	11.687475	7.333761	7.226128	10.644343	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710933.000000	1770062917.752450
7669.035000	8816.355000	20078.280000	18144.945000	-5825.520000	-2968.065000	5692.635000	13147.920000	28.065567	12.526130	6.799576	14.200477	4.859850	-1.837389	-2.186520	4.359229	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710934.000000	1770062917.752456
7663.005000	8821.035000	20083.995000	18155.115000	-5807.790000	-2939.580000	5718.330000	13145.355000	21.813763	13.984678	3.567946	11.106681	-4.489097	-7.978632	-7.114275	-0.016284	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710935.000000	1770062917.753637
7664.670000	8815.230000	20079.045000	18153.450000	-5801.490000	-2938.455000	5718.150000	13155.255000	12.856957	14.653278	1.380405	4.921627	-11.866727	-9.331978	-6.681223	-1.196109	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710936.000000	1770062917.753646
7638.075000	8807.040000	20077.605000	18152.010000	-5804.280000	-2949.840000	5703.930000	13135.050000	4.522730	13.677580	-0.349044	-0.518351	-13.287803	-7.135253	-4.218390	-2.451720	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710937.000000	1770062917.758960
7644.420000	8821.485000	20092.140000	18162.585000	-5811.390000	-2940.840000	5714.460000	13107.600000	-4.995982	7.350492	-4.109031	-4.101036	-8.651707	-3.651916	-2.935766	-7.499649	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710938.000000	1770062917.758970
7670.700000	8856.675000	20117.250000	18186.120000	-5793.750000	-2934.585000	5718.420000	13132.620000	-16.014961	-4.029036	-9.050715	-6.684499	-1.930748	-0.753332	-3.052941	-13.915562	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710939.000000	1770062917.765895
7675.605000	8862.795000	20105.370000	18166.725000	-5804.595000	-2957.985000	5710.590000	13184.100000	-23.852122	-14.090338	-11.471247	-9.048298	2.450583	0.327733	-3.001894	-13.562404	-2.227960	2.899400	-1.693860	0.881651	-0.497069	0.116577	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.620690	0.000000	-1.000000	-1.000000	710940.000000	1770062917.765917
7653.285000	8819.010000	20068.155000	18158.220000	-5768.865000	-2934.855000	5716.620000	13134.780000	-24.002386	-17.867091	-10.349399	-11.133204	3.540088	-0.185416	-1.677268	-3.403686	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710941.000000	1770062917.765932
7638.930000	8789.040000	20044.305000	18154.170000	-5730.795000	-2906.685000	5705.145000	13105.170000	-17.141856	-17.391598	-8.219701	-11.623752	4.899237	0.571497	0.933058	8.485269	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710942.000000	1770062917.765937
7650.405000	8820.585000	20064.510000	18154.035000	-5738.310000	-2910.240000	5699.205000	13135.140000	-6.776341	-15.669124	-6.016987	-8.817102	9.387757	4.562141	3.387610	13.522373	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710943.000000	1770062917.769521
7646.535000	8816.355000	20063.835000	18124.695000	-5831.370000	-2957.130000	5704.245000	13164.795000	4.568075	-10.494702	-1.408381	-3.045682	12.014103	7.722445	3.450494	12.299605	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710944.000000	1770062917.769529
7655.625000	8799.030000	20069.280000	18127.530000	-5869.215000	-2981.520000	5701.905000	13173.705000	14.826442	-0.087804	6.276531	3.188086	4.384032	4.036388	0.833371	9.143582	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710945.000000	1770062917.780784
7658.280000	8804.295000	20067.930000	18134.370000	-5859.315000	-2984.445000	5697.450000	13162.635000	21.065092	11.247378	13.360040	7.823167	-12.054208	-5.614445	-2.086938	5.389110	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710946.000000	1770062917.780795
7648.380000	8801.370000	20062.575000	18132.930000	-5843.565000	-2973.240000	5699.205000	13150.260000	20.159418	17.076472	15.041829	9.853884	-24.865743	-13.780511	-3.166713	0.585581	-5.157880	3.738700	-1.007160	0.882261	-0.491393	0.112304	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.689655	0.000000	-1.000000	-1.000000	710947.000000	1770062917.780807
