Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2100.285000	-9507.015000	-898.425000	12575.250000	-2006.640000	-1090.395000	8620.065000	-2754.765000	23.554239	21.197256	20.283035	19.603921	17.307224	15.374042	-2.258117	15.916122	-4.318580	5.951400	-0.579880	0.671751	0.710692	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696778.000000	1770064890.218709
-2137.590000	-9553.770000	-941.895000	12535.380000	-2044.080000	-1118.610000	8572.635000	-2737.710000	21.196947	20.281066	18.742910	17.539206	15.999646	15.431321	1.265826	1.395429	-4.318580	5.951400	-0.579880	0.671751	0.710692	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696779.000000	1770064890.228307
-2139.390000	-9527.265000	-917.595000	12552.435000	-2029.005000	-1104.570000	8583.705000	-2764.980000	13.640660	14.752634	13.589792	12.637138	12.565915	13.237055	6.353975	-9.017330	-4.318580	5.951400	-0.579880	0.671751	0.710692	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696780.000000	1770064890.228318
-2106.630000	-9508.320000	-902.295000	12565.215000	-2017.665000	-1099.755000	8585.145000	-2761.380000	-7.454403	-4.896730	-4.972597	-5.183476	-3.283719	-0.117899	3.755124	-18.022523	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696781.000000	1770064890.228329
-2066.265000	-9485.280000	-879.795000	12591.135000	-1991.655000	-1074.645000	8605.755000	-2706.030000	-31.551314	-29.226437	-28.467124	-28.121457	-24.628694	-18.785958	-5.516179	-24.450814	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696782.000000	1770064890.228334
-2063.115000	-9481.140000	-874.890000	12599.505000	-1976.940000	-1064.340000	8622.180000	-2687.580000	-41.643490	-42.103599	-41.418165	-40.907195	-36.870842	-30.173495	-13.390378	-23.512085	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696783.000000	1770064890.229239
-2080.395000	-9494.415000	-886.770000	12586.905000	-1994.130000	-1086.030000	8603.415000	-2729.025000	-33.821794	-37.473976	-37.484991	-37.034939	-33.617232	-28.774549	-14.699864	-14.771781	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696784.000000	1770064890.229249
-2143.530000	-9523.485000	-913.185000	12558.960000	-2026.530000	-1114.155000	8578.260000	-2761.515000	-17.502174	-21.131895	-21.570954	-21.178872	-19.426900	-18.339404	-10.435599	-3.811672	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696785.000000	1770064890.234689
-2123.550000	-9523.620000	-916.560000	12555.585000	-2030.355000	-1111.905000	8575.290000	-2726.865000	-1.882244	-1.800832	-1.904748	-1.459913	-2.107271	-4.761009	-3.391357	5.915899	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696786.000000	1770064890.234699
-2073.870000	-9511.785000	-907.605000	12565.080000	-2018.070000	-1091.295000	8582.985000	-2668.365000	10.871005	14.329621	14.762208	15.175107	12.186868	7.617595	3.950291	16.035409	-5.157880	5.279960	-2.029580	0.672972	0.708128	0.150573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	1696787.000000	1770064890.237048
