Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-23049.315000	-17350.515000	-25021.710000	-15098.940000	-26180.640000	-15548.085000	-1370.565000	-10852.920000	-3.100148	6.273833	8.866662	6.690313	1.770408	-0.267821	-0.908867	-6.404673	-1.953280	3.265640	-1.739640	0.892393	-0.231689	0.377868	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509859.000000	1770066517.173406
-23048.910000	-17324.010000	-24991.065000	-15068.115000	-26153.415000	-15525.045000	-1365.435000	-10857.960000	6.189389	5.493052	1.573557	0.131630	-1.054918	-2.580204	-2.156162	-3.312162	-1.953280	3.265640	-1.739640	0.892393	-0.231689	0.377868	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509860.000000	1770066517.173410
-23021.550000	-17312.535000	-24976.710000	-15051.915000	-26138.520000	-15513.480000	-1356.615000	-10821.285000	18.397348	5.279760	-4.479569	-4.885449	-2.686077	-3.565974	-2.976802	0.234146	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509861.000000	1770066517.189252
-23046.390000	-17365.005000	-25021.080000	-15093.900000	-26178.165000	-15547.905000	-1367.415000	-10785.555000	27.645537	2.801567	-7.673542	-6.648248	-3.004194	-3.367880	-2.588348	7.681234	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509862.000000	1770066517.189312
-23012.775000	-17359.740000	-25042.365000	-15121.710000	-26205.345000	-15566.580000	-1365.030000	-10735.605000	27.497978	-3.760366	-9.899089	-7.282755	-4.068575	-3.723965	-1.119471	18.493440	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509863.000000	1770066517.189372
-22994.280000	-17322.570000	-25019.415000	-15103.575000	-26189.055000	-15552.135000	-1360.215000	-10764.900000	17.364430	-10.455250	-12.075728	-8.717220	-6.782193	-5.247958	0.613066	26.642090	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509864.000000	1770066517.189404
-23033.070000	-17343.810000	-25025.895000	-15106.050000	-26188.920000	-15552.990000	-1361.250000	-10790.505000	2.077655	-11.221512	-11.821147	-9.096661	-8.288064	-5.616171	2.090729	24.575044	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509865.000000	1770066517.189441
-23032.035000	-17347.725000	-25025.130000	-15103.980000	-26185.095000	-15548.220000	-1357.020000	-10781.640000	-13.238468	-6.490058	-7.285060	-6.005248	-5.754573	-2.868518	2.877380	10.042033	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509866.000000	1770066517.189456
-23016.015000	-17347.230000	-25026.570000	-15105.960000	-26188.290000	-15551.145000	-1362.915000	-10776.105000	-23.208435	-0.933060	0.654722	0.292920	0.160612	2.018920	2.638818	-9.700567	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509867.000000	1770066517.189461
-23023.485000	-17346.330000	-25025.220000	-15106.815000	-26188.875000	-15550.155000	-1364.355000	-10785.105000	-23.538927	3.087149	9.108409	7.141567	6.240630	6.230472	1.444195	-23.257596	-0.640920	4.501700	1.068200	0.892271	-0.226806	0.375915	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.275862	0.000000	-1.000000	-1.000000	2509868.000000	1770066517.189466
