Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
8112.420000	12921.705000	18570.915000	33043.950000	5811.120000	-9427.770000	-18958.860000	-7390.485000	1.963249	5.343765	5.772157	5.699858	5.030715	4.179290	-3.402443	-0.506894	0.961380	6.058220	-2.182180	-0.887571	-0.062256	0.380309	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181095.000000	1769636173.499018
8120.160000	12934.845000	18588.060000	33062.670000	5830.830000	-9414.630000	-18970.020000	-7389.585000	1.196069	3.159224	3.898025	4.239599	3.797529	2.549154	-1.162848	0.077763	0.961380	6.058220	-2.182180	-0.887571	-0.062256	0.380309	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181096.000000	1769636173.499029
8130.105000	12936.870000	18581.265000	33051.510000	5821.695000	-9403.380000	-18959.220000	-7378.695000	-0.047678	-0.387318	0.289343	0.768358	0.577491	-1.448620	-2.600729	-0.076321	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181097.000000	1769636173.503002
8124.210000	12938.310000	18589.410000	33066.180000	5837.130000	-9398.745000	-18958.455000	-7385.535000	-0.023861	-1.978772	-1.688741	-1.428319	-1.528998	-3.878126	-5.564888	0.051596	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181098.000000	1769636173.503014
8134.110000	12944.880000	18594.180000	33067.170000	5834.925000	-9407.745000	-18967.590000	-7380.315000	1.323832	-0.711538	-0.813470	-0.816845	-0.927267	-2.712530	-5.486324	1.029842	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181099.000000	1769636173.507513
8124.750000	12924.540000	18566.505000	33033.195000	5802.570000	-9422.550000	-18964.800000	-7382.700000	2.452296	1.363011	1.030800	0.919325	0.806176	0.092451	-1.436035	2.164545	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181100.000000	1769636173.507524
8110.800000	12916.710000	18565.200000	33036.435000	5810.850000	-9416.610000	-18966.555000	-7395.345000	1.660621	1.084067	0.553722	0.436206	0.497660	1.235561	3.218841	2.209249	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181101.000000	1769636173.510787
8135.505000	12945.870000	18594.810000	33065.820000	5832.855000	-9412.515000	-18954.450000	-7379.640000	-0.785863	-1.842919	-2.394931	-2.320214	-1.904811	-0.114597	5.119598	0.856292	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181102.000000	1769636173.510800
8132.535000	12944.430000	18594.765000	33066.225000	5830.785000	-9412.920000	-18956.880000	-7381.035000	-2.374414	-3.943618	-4.133874	-3.658068	-3.149611	-1.934792	4.317738	-0.540924	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181103.000000	1769636173.518795
8119.935000	12926.070000	18573.570000	33045.885000	5818.320000	-9415.620000	-18948.825000	-7382.835000	-1.859768	-2.991152	-2.667464	-1.892968	-1.758088	-2.103922	3.019486	-0.760139	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181104.000000	1769636173.518807
8112.150000	12918.330000	18564.255000	33036.300000	5808.645000	-9429.705000	-18966.330000	-7391.025000	-0.942737	-0.851416	-0.282580	0.431334	0.188041	-0.846907	2.145132	-0.381911	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181105.000000	1769636173.519003
8112.870000	12916.080000	18560.700000	33031.890000	5803.470000	-9432.315000	-18956.070000	-7389.090000	-1.282535	0.048228	0.470940	0.769353	0.470665	-0.080189	0.821356	-0.635850	2.151660	6.653360	-1.846460	-0.883360	-0.063415	0.383910	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.379310	0.000000	-1.000000	-1.000000	1181106.000000	1769636173.519015
