Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
8472.645000	14450.985000	24666.255000	17995.860000	-7784.550000	-4425.570000	4202.010000	11756.340000	5.773295	7.036278	5.406306	0.153256	-11.596009	-6.868310	-0.828763	7.059386	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831451.000000	1770063158.845684
8499.915000	14473.485000	24684.300000	18003.960000	-7787.880000	-4434.885000	4200.615000	11777.940000	8.113827	8.952784	7.895340	3.909950	-3.670885	-0.636374	3.518033	10.160282	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831452.000000	1770063158.845694
8501.130000	14450.490000	24667.830000	17999.775000	-7777.440000	-4408.515000	4229.370000	11805.390000	9.267749	9.123151	8.624003	6.229403	4.266973	3.841403	5.453199	9.853054	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831453.000000	1770063158.849862
8502.255000	14469.840000	24682.545000	18008.235000	-7775.505000	-4406.220000	4233.150000	11806.695000	9.537300	7.846904	7.657442	6.515690	9.134645	5.970711	6.532408	9.690034	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831454.000000	1770063158.849872
8523.810000	14479.425000	24684.210000	18009.225000	-7778.115000	-4413.960000	4227.570000	11802.240000	8.655566	5.833499	5.703114	5.673205	10.699864	7.290308	8.227846	10.538147	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831455.000000	1770063158.855695
8518.635000	14468.895000	24679.620000	18012.150000	-7765.740000	-4400.010000	4226.310000	11769.795000	6.081536	3.088116	2.774318	3.837334	8.841476	7.492812	8.929063	8.955440	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831456.000000	1770063158.855703
8507.430000	14483.295000	24704.055000	18032.850000	-7752.240000	-4388.805000	4233.825000	11758.680000	0.874835	-1.491320	-1.545168	0.780921	4.450328	6.115468	6.737316	1.574579	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831457.000000	1770063158.859002
8486.145000	14465.880000	24683.535000	18009.630000	-7774.920000	-4403.880000	4225.455000	11760.390000	-6.639984	-6.928478	-5.733781	-2.386678	-0.420249	3.430706	1.802188	-9.773112	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831458.000000	1770063158.859012
8495.595000	14433.165000	24645.960000	17978.850000	-7796.700000	-4429.125000	4209.435000	11793.285000	-13.291936	-10.679861	-8.187460	-4.992896	-4.978019	-1.065104	-4.582280	-17.989384	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831459.000000	1770063158.861378
8473.635000	14422.680000	24639.885000	17978.580000	-7792.020000	-4423.365000	4215.060000	11798.955000	-15.485935	-12.185536	-9.742701	-7.771942	-9.172211	-7.075443	-10.323166	-16.865749	-4.669560	1.190280	-3.189340	0.940549	-0.183715	0.287902	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831460.000000	1770063158.861383
8471.025000	14423.715000	24642.270000	17984.340000	-7783.200000	-4412.205000	4217.805000	11781.135000	-12.951424	-11.784932	-10.789479	-10.067551	-11.357590	-11.610720	-12.791000	-7.861686	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831461.000000	1770063158.865338
8484.120000	14440.230000	24658.110000	17996.130000	-7774.650000	-4408.245000	4220.145000	11783.160000	-7.388300	-7.987350	-8.825304	-9.025325	-9.237301	-11.507211	-10.795951	1.667751	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831462.000000	1770063158.865348
8500.680000	14451.570000	24669.360000	18004.815000	-7769.610000	-4403.115000	4226.175000	11793.555000	0.423808	0.331966	-1.767884	-3.000386	-2.733446	-6.466436	-5.280828	6.812511	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831463.000000	1770063158.873989
8511.615000	14478.705000	24687.135000	18008.955000	-7787.880000	-4426.155000	4213.575000	11791.530000	8.991087	10.633311	8.278957	5.677638	4.848932	0.764946	1.644485	8.102254	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831464.000000	1770063158.873999
8505.180000	14477.535000	24682.455000	18001.350000	-7795.485000	-4431.780000	4212.495000	11791.620000	14.889139	18.044887	16.034448	11.976761	8.704345	5.913210	7.201964	7.852180	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831465.000000	1770063158.874252
8485.425000	14450.895000	24670.620000	18011.295000	-7757.370000	-4385.475000	4235.310000	11785.995000	15.161057	18.281846	16.693490	12.257483	7.277318	7.064402	9.464861	6.938331	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831466.000000	1770063158.874258
8496.810000	14453.955000	24676.470000	18018.495000	-7749.180000	-4379.715000	4242.060000	11789.460000	9.867285	10.618532	9.989411	7.736713	4.382645	6.828671	8.968688	4.572602	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831467.000000	1770063158.877564
8521.470000	14470.875000	24687.360000	18020.700000	-7752.690000	-4384.080000	4242.780000	11801.745000	2.499221	-0.116909	1.054832	2.780847	3.858247	7.704511	7.251968	0.231628	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831468.000000	1770063158.877573
8537.265000	14485.725000	24700.950000	18032.805000	-7744.770000	-4383.990000	4236.255000	11810.835000	-2.542080	-7.369404	-4.693126	-0.180966	4.626433	7.977701	4.478713	-4.582784	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831469.000000	1770063158.884715
8523.945000	14480.370000	24695.010000	18025.965000	-7748.910000	-4390.290000	4234.770000	11808.585000	-3.870901	-8.748742	-6.151827	-1.948330	3.338981	4.507570	-0.066770	-7.171039	-6.042960	2.517900	-3.418240	0.942686	-0.179687	0.283874	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831470.000000	1770063158.884726
8516.655000	14482.350000	24699.825000	18030.555000	-7744.770000	-4386.510000	4247.280000	11808.855000	-4.074848	-6.765456	-5.679017	-4.059336	-1.138001	-2.770426	-5.515361	-6.322758	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831471.000000	1770063158.891204
8528.985000	14493.960000	24709.185000	18038.745000	-7736.940000	-4371.795000	4251.375000	11793.510000	-5.907218	-5.055556	-5.611533	-6.590396	-6.611041	-9.860336	-8.988123	-3.492401	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831472.000000	1770063158.891213
8525.700000	14494.815000	24712.290000	18044.550000	-7728.255000	-4358.520000	4248.090000	11776.995000	-8.712908	-4.982782	-6.139208	-7.941576	-9.335891	-11.704633	-8.272616	-1.119183	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831473.000000	1770063158.891222
8516.520000	14499.225000	24720.750000	18062.550000	-7686.900000	-4342.680000	4239.360000	11781.090000	-9.589255	-5.282549	-5.872658	-6.489997	-7.043849	-6.936486	-4.344000	-0.201484	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831474.000000	1770063158.891227
8504.190000	14487.570000	24708.510000	18052.290000	-7678.845000	-4346.865000	4245.570000	11797.020000	-6.772046	-3.807113	-3.612713	-2.403848	-0.920201	0.334375	-0.480696	0.404694	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831475.000000	1770063158.894269
8512.965000	14480.145000	24694.740000	18032.220000	-7723.620000	-4370.805000	4263.615000	11816.235000	-1.387903	-0.195249	-0.030699	1.836905	4.493697	4.360394	1.499014	2.192552	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831476.000000	1770063158.894280
8526.825000	14497.920000	24700.095000	18023.985000	-7773.390000	-4396.860000	4259.970000	11805.300000	3.806826	3.483170	2.613494	3.217140	3.868067	2.613515	2.496546	4.548032	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831477.000000	1770063158.897817
8521.335000	14497.245000	24690.960000	18005.085000	-7808.895000	-4429.395000	4223.385000	11769.885000	6.851733	5.327998	2.932641	0.901275	-4.243048	-3.403356	2.884493	4.668707	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831478.000000	1770063158.897828
8498.925000	14479.425000	24678.315000	17986.185000	-7816.590000	-4449.645000	4207.905000	11768.310000	7.077078	4.858959	1.406961	-3.259513	-14.672288	-9.857845	1.142180	0.832601	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831479.000000	1770063158.914166
8450.415000	14400.315000	24624.045000	17962.065000	-7798.905000	-4412.790000	4248.630000	11823.345000	3.924004	1.152904	-1.415867	-6.625230	-18.776291	-11.955304	-2.371036	-3.896712	-14.725900	3.662400	-4.928980	0.945127	-0.174682	0.278747	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831480.000000	1770063158.914179
8492.265000	14428.080000	24652.800000	17998.785000	-7758.720000	-4393.440000	4255.335000	11845.170000	-1.902916	-6.087194	-4.994857	-6.856026	-10.927977	-6.100750	-3.709243	-3.428573	-17.884720	3.219860	-4.913720	0.945188	-0.174804	0.282104	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831481.000000	1770063158.914191
8502.660000	14436.450000	24654.060000	17997.705000	-7758.315000	-4399.830000	4239.270000	11811.555000	-5.886642	-12.190617	-6.485187	-2.289344	6.474595	6.003154	-0.500045	3.373809	-17.884720	3.219860	-4.913720	0.945188	-0.174804	0.282104	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831482.000000	1770063158.914196
8501.445000	14446.080000	24659.370000	17992.710000	-7789.410000	-4416.795000	4232.610000	11797.335000	-3.427075	-10.413620	-2.854708	5.595064	22.630573	16.594992	4.334700	9.505243	-17.884720	3.219860	-4.913720	0.945188	-0.174804	0.282104	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	831483.000000	1770063158.914201
