Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2426.625000	-8666.370000	-288.585000	13106.565000	-1819.080000	-1795.320000	8687.970000	-2974.500000	-19.219073	-21.433186	-20.781243	-18.507259	-15.435044	-13.955897	-17.372018	7.801509	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739642.000000	1770064975.989363
-2322.720000	-8545.815000	-162.360000	13234.545000	-1687.995000	-1682.370000	8765.640000	-2874.645000	-19.618740	-22.370385	-22.202076	-20.349802	-18.089585	-17.354911	-26.293500	-1.121162	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739643.000000	1770064976.001030
-2357.370000	-8597.115000	-214.470000	13184.100000	-1734.795000	-1722.105000	8878.905000	-2837.970000	-6.791824	-7.214590	-6.979216	-5.893939	-4.864794	-6.354225	-18.204406	-7.906678	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739644.000000	1770064976.001042
-2488.950000	-8745.075000	-364.995000	13034.430000	-1881.540000	-1864.395000	8776.665000	-2936.475000	9.650996	11.785840	12.607542	13.267259	13.413268	8.829276	5.399838	-6.386153	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739645.000000	1770064976.001055
-2436.210000	-8671.680000	-288.990000	13112.730000	-1804.455000	-1779.975000	8813.430000	-3019.815000	14.560162	16.768343	17.967825	18.610966	18.315844	12.168045	27.133667	-3.471649	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739646.000000	1770064976.001060
-2422.755000	-8665.785000	-282.105000	13121.865000	-1792.170000	-1763.595000	8832.735000	-3022.695000	7.432453	7.926438	8.870681	9.540282	8.766665	4.286327	32.169568	-7.334544	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739647.000000	1770064976.001763
-2442.645000	-8698.905000	-316.665000	13086.180000	-1828.890000	-1809.315000	8728.560000	-2991.330000	-0.880312	-2.012356	-1.808152	-1.415362	-2.905727	-3.055207	20.039689	-15.607657	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739648.000000	1770064976.001772
-2439.855000	-8691.930000	-307.395000	13099.095000	-1815.930000	-1794.420000	8786.430000	-2980.665000	-2.839085	-4.543746	-5.078503	-5.281601	-7.336112	-3.317595	0.376715	-18.115340	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739649.000000	1770064976.005160
-2485.305000	-8736.345000	-346.950000	13066.920000	-1846.350000	-1833.480000	8811.045000	-3017.970000	1.900967	1.179990	0.504479	-0.129596	-2.017066	3.174512	-12.275222	-7.480464	-3.280900	5.783540	-1.541260	0.632262	0.752439	0.111572	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739650.000000	1770064976.005171
-2498.895000	-8751.375000	-359.415000	13059.180000	-1851.840000	-1821.510000	8782.515000	-3029.175000	6.241095	7.212900	7.126104	6.816233	6.060077	9.548088	-10.782416	11.502238	-5.585160	10.193680	-4.288060	0.637938	0.752439	0.110046	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.551724	0.000000	-1.000000	-1.000000	1739651.000000	1770064976.011883
