Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-22264.020000	-16102.620000	-17236.035000	-13293.720000	-25089.975000	-16358.085000	-1492.830000	-10067.940000	8.537905	8.920805	8.257844	7.626435	6.251078	5.892241	3.856524	2.156602	2.685760	3.479280	3.540320	0.927610	-0.212097	0.320312	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541526.000000	1770066580.525534
-22264.155000	-16092.045000	-17221.455000	-13281.795000	-25082.415000	-16352.010000	-1490.940000	-10074.015000	-2.426046	3.236787	5.121192	5.753123	5.219152	4.652302	0.374877	-13.713334	2.685760	3.479280	3.540320	0.927610	-0.212097	0.320312	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541527.000000	1770066580.528226
-22260.600000	-16088.265000	-17221.140000	-13285.080000	-25087.905000	-16356.375000	-1495.665000	-10081.170000	-13.584799	-3.322711	1.642606	2.246044	2.215181	1.720625	-3.057386	-21.552911	2.685760	3.479280	3.540320	0.927610	-0.212097	0.320312	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541528.000000	1770066580.528232
-22269.240000	-16098.165000	-17229.735000	-13281.165000	-25090.605000	-16357.410000	-1496.205000	-10077.885000	-16.761439	-6.896135	-1.079188	-1.232248	-1.456582	-1.710194	-4.904838	-17.278579	2.685760	3.479280	3.540320	0.927610	-0.212097	0.320312	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541529.000000	1770066580.533494
-22271.265000	-16107.885000	-17236.485000	-13276.305000	-25083.405000	-16348.320000	-1487.970000	-10057.095000	-10.908617	-6.735008	-3.436906	-3.376389	-4.044628	-4.020586	-4.424980	-5.350792	2.685760	3.479280	3.540320	0.927610	-0.212097	0.320312	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541530.000000	1770066580.533504
-22275.180000	-16107.390000	-17238.015000	-13279.545000	-25080.255000	-16345.755000	-1488.645000	-10066.095000	-1.862158	-4.801031	-5.580239	-3.611067	-4.264613	-4.132342	-2.173687	5.335575	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541531.000000	1770066580.536541
-22269.555000	-16102.575000	-17237.880000	-13280.445000	-25078.905000	-16344.090000	-1491.390000	-10070.370000	3.682593	-3.200696	-6.890630	-2.891822	-2.600631	-2.646608	0.068677	8.692720	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541532.000000	1770066580.536547
-22267.395000	-16099.740000	-17239.950000	-13284.450000	-25081.020000	-16344.360000	-1491.345000	-10069.020000	3.612400	-2.238606	-6.490840	-2.479192	-0.612509	-0.951300	1.037319	5.454859	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541533.000000	1770066580.540404
-22268.160000	-16103.430000	-17245.170000	-13291.065000	-25087.905000	-16349.940000	-1494.405000	-10064.295000	0.881417	-0.959861	-4.153403	-2.486786	0.532495	0.110537	0.992424	0.665859	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541534.000000	1770066580.540414
-22272.255000	-16103.160000	-17242.290000	-13288.005000	-25084.575000	-16347.015000	-1493.820000	-10066.140000	-0.488166	0.902703	-0.970467	-2.456967	0.374386	0.234274	0.645548	-1.583756	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541535.000000	1770066580.547477
-22274.190000	-16104.690000	-17246.160000	-13291.245000	-25089.390000	-16350.030000	-1494.720000	-10069.830000	0.988319	2.472543	1.471194	-2.121488	-0.801082	-0.410004	0.370162	-0.296552	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541536.000000	1770066580.547486
-22265.505000	-16098.480000	-17239.545000	-13290.480000	-25088.580000	-16346.790000	-1490.445000	-10068.480000	4.264312	3.158765	2.653269	-1.305343	-1.941088	-1.030546	0.453279	3.154380	4.867940	4.303320	0.213640	0.925657	-0.213256	0.318969	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	70.206897	0.000000	-1.000000	-1.000000	2541537.000000	1770066580.548399
