Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
7810.245000	13227.435000	18510.660000	33020.955000	6404.985000	-8147.880000	-17943.840000	-12597.525000	-0.369331	-1.466258	-4.379313	-4.997387	-3.502964	-1.888522	-3.239905	-0.682946	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246928.000000	1769636305.225995
7811.685000	13220.145000	18505.845000	33019.065000	6401.475000	-8153.550000	-17942.805000	-12592.215000	0.181704	0.757160	-2.441920	-4.019600	-4.529631	-5.599724	-10.967514	-1.936529	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246929.000000	1769636305.229879
7787.430000	13189.860000	18468.360000	32976.405000	6356.385000	-8183.520000	-17929.530000	-12599.910000	1.384544	3.097539	1.036056	-0.615046	-3.262949	-6.856694	-13.682456	-1.964289	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246930.000000	1769636305.229892
7785.495000	13196.565000	18476.280000	32986.305000	6370.065000	-8165.790000	-17930.925000	-12603.735000	1.204409	2.078348	1.305666	0.211693	-3.578771	-6.931376	-10.583322	-1.163763	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246931.000000	1769636305.233999
7794.585000	13212.945000	18491.850000	33001.110000	6386.085000	-8150.220000	-17915.670000	-12595.275000	-0.633252	-1.670160	-1.809318	-2.179670	-5.405912	-5.721265	-4.300977	-0.313205	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246932.000000	1769636305.234011
7797.150000	13218.795000	18496.530000	33000.705000	6384.645000	-8155.350000	-17924.085000	-12594.330000	-2.250349	-4.341702	-4.324455	-4.071603	-5.138487	-1.598920	3.177843	0.581620	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246933.000000	1769636305.237953
7796.160000	13214.475000	18492.435000	32999.715000	6381.405000	-8156.115000	-17925.615000	-12598.740000	-2.259890	-3.656427	-3.412901	-2.862891	-1.529109	4.327260	10.126289	1.465623	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246934.000000	1769636305.237964
7794.270000	13189.455000	18470.745000	32993.190000	6377.445000	-8154.180000	-17913.105000	-12594.465000	-0.952413	-1.072114	-0.312468	0.388387	2.854977	8.233286	13.541336	1.797991	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246935.000000	1769636305.241912
7789.770000	13182.255000	18464.535000	32986.575000	6372.090000	-8157.285000	-17912.565000	-12593.205000	0.451676	0.060354	1.390641	2.668358	4.905253	7.839273	12.001584	1.466864	-4.501700	4.349100	-2.914660	-0.925779	-0.074524	0.285705	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246936.000000	1769636305.241924
7785.990000	13192.785000	18476.730000	32986.080000	6371.505000	-8158.950000	-17918.370000	-12598.515000	0.846046	-1.411275	0.107527	1.990528	3.553963	3.930585	6.832688	0.741985	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246937.000000	1769636305.245865
7787.340000	13178.160000	18472.230000	32990.310000	6378.480000	-8152.515000	-17914.590000	-12597.300000	0.337748	-2.969827	-1.774406	-0.454325	0.587204	-0.788583	0.129655	-0.233943	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246938.000000	1769636305.245881
7792.065000	13186.035000	18478.080000	32996.025000	6382.935000	-8151.615000	-17918.640000	-12594.915000	0.352299	-1.717741	-0.940022	-1.250917	-0.609433	-3.421142	-6.430306	-1.044735	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246939.000000	1769636305.250051
7794.585000	13200.930000	18486.810000	33000.030000	6385.860000	-8153.145000	-17926.155000	-12596.895000	1.796312	2.470911	2.854003	1.060888	1.112895	-3.397529	-11.545814	-1.119059	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246940.000000	1769636305.250064
7792.785000	13203.990000	18486.540000	32995.845000	6379.965000	-8158.365000	-17922.015000	-12596.490000	3.444233	6.950003	6.470381	3.988413	3.142563	-2.561156	-13.509709	-0.626097	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246941.000000	1769636305.253848
7793.730000	13201.875000	18488.970000	33001.470000	6384.285000	-8160.570000	-17930.520000	-12598.155000	3.300073	8.525685	6.801636	4.510213	2.763662	-2.279001	-10.694054	-0.242955	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246942.000000	1769636305.253860
7810.560000	13214.790000	18507.375000	33025.365000	6407.955000	-8144.775000	-17940.420000	-12592.170000	1.265857	6.374846	4.005727	2.709511	0.501572	-2.118689	-4.030664	-0.122789	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246943.000000	1769636305.257937
7802.685000	13201.470000	18489.330000	33004.755000	6389.640000	-8147.745000	-17916.300000	-12593.205000	-0.933809	2.422864	0.586231	0.546518	-1.372416	-1.036051	3.218258	0.064054	0.579880	5.753020	-3.128300	-0.923704	-0.080200	0.285400	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.965517	0.000000	-1.000000	-1.000000	1246944.000000	1769636305.257947
