Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
7777.935000	13730.850000	21525.705000	16361.145000	-10112.175000	-7178.715000	1041.165000	12745.890000	-8.339595	-12.865175	-10.206162	-4.529413	15.419930	11.572991	7.384796	-0.785966	-7.217980	6.027700	-6.058220	0.961240	-0.181030	0.215270	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896589.000000	1770063289.157695
7786.170000	13727.025000	21519.540000	16352.820000	-10112.445000	-7188.570000	1029.690000	12762.000000	-6.876667	-14.702201	-13.255289	-8.922332	5.738537	4.784266	3.584964	-0.023039	-7.217980	6.027700	-6.058220	0.961240	-0.181030	0.215270	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896590.000000	1770063289.157705
7768.035000	13717.800000	21510.990000	16349.220000	-10086.300000	-7180.830000	1020.195000	12734.910000	-3.229102	-12.853798	-13.006945	-11.708495	-5.990025	-4.696528	-2.117209	4.364244	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896591.000000	1770063289.164321
7734.555000	13710.960000	21504.285000	16347.240000	-10064.925000	-7172.145000	1021.095000	12740.895000	-0.878354	-9.130130	-10.462245	-12.174483	-13.705106	-12.336740	-7.526438	8.811520	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896592.000000	1770063289.164329
7752.015000	13717.485000	21505.320000	16334.910000	-10120.770000	-7207.605000	1019.070000	12769.875000	-1.514705	-4.591453	-6.232205	-9.508720	-14.147676	-14.186081	-9.671131	10.057310	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896593.000000	1770063289.165547
7738.605000	13702.005000	21495.285000	16322.400000	-10208.475000	-7240.230000	1018.305000	12750.795000	-2.882660	0.775701	-0.561434	-4.071227	-10.713501	-10.658478	-7.118467	7.221867	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896594.000000	1770063289.165554
7746.885000	13712.805000	21504.780000	16330.725000	-10205.820000	-7240.995000	1014.120000	12739.050000	-1.857333	6.787347	5.917157	2.422014	-9.443370	-5.903388	-1.757735	0.768791	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896595.000000	1770063289.171533
7768.935000	13749.660000	21532.905000	16347.195000	-10177.155000	-7244.550000	1002.060000	12737.475000	2.285145	12.344836	11.774972	8.132618	-9.868399	-2.318965	2.951396	-6.534794	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896596.000000	1770063289.171545
7758.855000	13733.775000	21523.230000	16347.555000	-10155.465000	-7218.045000	1022.220000	12739.410000	7.373303	15.217507	14.711061	11.472562	-5.897724	1.255312	5.040423	-10.547081	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896597.000000	1770063289.173585
7739.460000	13719.960000	21513.645000	16348.905000	-10137.555000	-7202.565000	1025.190000	12722.940000	9.084208	12.375295	12.226552	11.135613	4.998415	6.646080	5.202310	-10.314867	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896598.000000	1770063289.173596
7755.075000	13741.290000	21529.890000	16362.540000	-10130.040000	-7206.030000	1019.565000	12724.245000	4.990446	3.599136	4.528496	7.426731	18.146484	13.050191	4.931888	-7.962403	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896599.000000	1770063289.178009
7748.595000	13734.585000	21531.015000	16365.780000	-10125.720000	-7204.770000	1023.660000	12735.315000	-1.588521	-6.253092	-4.078869	2.522720	25.318075	16.371028	4.453808	-4.050148	-2.945180	5.112100	-3.082520	0.962644	-0.179748	0.219787	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896600.000000	1770063289.178019
7750.170000	13712.175000	21517.020000	16347.195000	-10147.320000	-7220.835000	1025.010000	12750.705000	-5.124572	-12.083440	-9.182506	-1.690162	21.375788	13.242178	3.321772	2.061129	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896601.000000	1770063289.181888
7787.565000	13709.205000	21502.440000	16332.570000	-10161.765000	-7234.515000	1020.735000	12759.480000	-3.426552	-12.789833	-9.986841	-4.825595	9.185635	4.985579	1.429341	8.434400	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896602.000000	1770063289.181897
7819.875000	13725.090000	21515.040000	16349.760000	-10139.715000	-7218.495000	1031.715000	12764.835000	2.391599	-9.050277	-7.731156	-6.552125	-2.551722	-3.624428	-0.937370	11.841421	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896603.000000	1770063289.186100
7804.035000	13727.610000	21518.640000	16351.425000	-10138.815000	-7212.645000	1036.935000	12757.905000	8.734146	-2.135949	-3.612833	-6.066273	-7.737527	-8.369477	-2.817039	11.152333	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896604.000000	1770063289.186111
7777.755000	13723.335000	21524.535000	16357.770000	-10132.155000	-7207.965000	1032.930000	12753.315000	9.644807	4.400752	0.584041	-3.778629	-8.033069	-8.452171	-3.328920	6.997959	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896605.000000	1770063289.190138
7740.945000	13720.815000	21531.600000	16364.295000	-10130.985000	-7216.380000	1027.485000	12760.245000	1.625961	7.051023	3.264614	-1.158362	-8.335694	-6.453308	-3.176181	0.631646	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896606.000000	1770063289.190148
7746.435000	13720.005000	21527.370000	16363.575000	-10128.015000	-7211.745000	1025.010000	12752.280000	-11.482705	5.740421	4.332342	0.869068	-10.308826	-5.227016	-3.530140	-5.751561	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896607.000000	1770063289.193969
7745.040000	13753.980000	21551.535000	16391.115000	-10102.545000	-7195.410000	1041.345000	12737.070000	-20.907289	2.947488	4.257363	2.147112	-11.770432	-4.793609	-3.741204	-9.852570	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896608.000000	1770063289.193978
7758.855000	13798.665000	21588.480000	16423.785000	-10075.455000	-7170.705000	1067.940000	12691.980000	-19.744455	2.132792	4.141514	3.570423	-9.345357	-2.824717	-1.886620	-11.465583	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896609.000000	1770063289.197750
7752.465000	13778.100000	21575.880000	16414.335000	-10074.105000	-7163.820000	1069.110000	12673.305000	-8.207612	5.008080	5.221456	6.134050	-1.358165	2.335642	2.506638	-12.360519	0.946120	5.875100	-2.655240	0.965207	-0.182067	0.217834	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896610.000000	1770063289.197758
7738.335000	13694.580000	21490.425000	16330.275000	-10129.365000	-7217.370000	1021.725000	12710.610000	6.034095	7.137466	5.142913	7.204682	8.920993	8.329708	6.324634	-12.122891	-3.570840	7.645260	-3.647140	0.970701	-0.177856	0.211975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896611.000000	1770063289.202156
7711.065000	13635.090000	21428.325000	16276.545000	-10152.270000	-7249.635000	989.685000	12770.910000	13.784552	0.830931	-1.565960	1.055532	13.607463	8.900529	4.607304	-6.215976	-3.570840	7.645260	-3.647140	0.970701	-0.177856	0.211975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896612.000000	1770063289.202168
7707.195000	13640.895000	21443.580000	16296.840000	-10125.090000	-7225.110000	1005.885000	12753.135000	12.015092	-14.126881	-14.912147	-12.283952	8.284025	1.353653	-3.112218	7.395365	-3.570840	7.645260	-3.647140	0.970701	-0.177856	0.211975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896613.000000	1770063289.205775
7735.680000	13664.520000	21461.130000	16297.785000	-10170.315000	-7245.585000	1012.590000	12753.765000	6.008109	-26.584363	-25.142862	-23.095214	-2.858772	-8.746683	-10.411192	21.846196	-3.570840	7.645260	-3.647140	0.970701	-0.177856	0.211975	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	83.586207	0.000000	-1.000000	-1.000000	896614.000000	1770063289.205786
