Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-3171.915000	-8381.070000	-170.775000	13133.205000	-2254.590000	-1961.145000	8813.295000	-3706.200000	29.063347	33.016308	33.035454	29.550824	27.890570	27.462077	18.734187	27.188627	-1.922760	6.714400	-2.517900	0.768858	0.605345	0.146240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777370.000000	1770065051.490929
-3203.685000	-8422.695000	-216.360000	13086.405000	-2303.775000	-2010.375000	8837.055000	-3720.015000	15.470935	16.060764	15.828733	14.576910	12.607721	11.809537	12.206061	26.363538	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777371.000000	1770065051.490935
-3238.515000	-8446.455000	-233.010000	13080.645000	-2293.875000	-1998.225000	8776.800000	-3783.825000	-15.174607	-19.499939	-20.589099	-19.613553	-20.739053	-19.832929	-5.759502	8.910437	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777372.000000	1770065051.490940
-3279.420000	-8479.710000	-266.040000	13048.695000	-2324.970000	-2031.075000	8700.660000	-3851.235000	-46.618812	-54.209058	-55.899486	-52.962729	-51.941622	-48.589626	-24.392382	-21.300551	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777373.000000	1770065051.502487
-3210.390000	-8415.495000	-205.020000	13105.845000	-2270.340000	-1972.575000	8782.245000	-3808.530000	-60.624225	-67.881009	-68.888076	-64.460721	-61.059958	-56.696490	-34.240523	-49.369802	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777374.000000	1770065051.502508
-3199.815000	-8406.810000	-195.210000	13113.135000	-2261.790000	-1963.710000	8834.310000	-3795.435000	-48.039332	-52.054493	-51.554158	-46.941290	-42.579501	-39.506677	-28.385047	-58.773789	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777375.000000	1770065051.502520
-3224.565000	-8429.490000	-217.620000	13092.795000	-2287.485000	-1991.745000	8840.610000	-3765.285000	-14.570847	-14.134394	-12.508693	-9.695736	-6.581802	-6.370961	-6.562175	-42.706005	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777376.000000	1770065051.502526
-3200.670000	-8409.645000	-200.205000	13109.085000	-2272.095000	-1978.830000	8847.855000	-3758.940000	21.497825	25.751719	27.508412	27.171135	27.415686	24.694294	19.963422	-8.962782	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777377.000000	1770065051.502532
-3157.200000	-8354.205000	-148.995000	13155.480000	-2231.280000	-1945.170000	8859.150000	-3748.815000	44.911278	50.904629	51.877232	48.676325	45.869619	41.175822	37.329410	27.446105	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777378.000000	1770065051.502537
-3177.000000	-8380.305000	-176.265000	13123.530000	-2266.200000	-1974.195000	8827.290000	-3790.890000	52.884386	58.844674	58.575562	54.087777	49.448925	43.865865	39.406395	52.261946	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777379.000000	1770065051.504544
-3212.370000	-8423.235000	-213.930000	13087.305000	-2294.145000	-1999.710000	8808.525000	-3811.320000	47.090442	52.111234	50.825700	46.816250	42.311716	37.247019	26.922691	55.849838	-1.388660	8.225140	-2.823100	0.769957	0.604552	0.145996	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777380.000000	1770065051.504563
-3162.465000	-8360.640000	-149.760000	13153.995000	-2232.180000	-1947.870000	8838.270000	-3745.080000	29.089416	31.964053	30.487110	28.138408	25.490832	22.715239	6.369226	39.580285	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777381.000000	1770065051.510399
-3085.065000	-8275.725000	-64.755000	13238.280000	-2149.155000	-1871.505000	8888.445000	-3698.685000	5.701888	5.273692	4.537940	4.359136	4.130950	4.439684	-10.802116	16.367827	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777382.000000	1770065051.510410
-3086.595000	-8280.810000	-72.090000	13225.725000	-2161.395000	-1876.005000	8883.630000	-3673.350000	-14.195021	-17.641402	-17.213480	-15.327549	-13.633527	-10.958922	-18.323687	-2.381870	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777383.000000	1770065051.520523
-3184.965000	-8400.690000	-194.175000	13106.160000	-2274.975000	-1968.165000	8845.155000	-3710.790000	-28.452769	-33.525702	-32.350976	-29.215477	-26.349531	-22.207372	-20.681808	-15.812276	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777384.000000	1770065051.520535
-3212.190000	-8425.170000	-215.415000	13091.760000	-2283.570000	-1975.365000	8788.050000	-3744.900000	-39.468700	-44.986764	-43.943603	-40.725055	-37.183082	-31.675624	-24.214896	-28.034241	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777385.000000	1770065051.520548
-3138.300000	-8331.165000	-121.365000	13180.545000	-2195.235000	-1874.970000	8746.515000	-3728.070000	-44.706843	-49.477000	-49.061609	-46.600447	-42.752198	-36.087429	-28.808665	-38.323612	-0.305200	8.225140	-1.724380	0.772642	0.600890	0.148376	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.206897	0.000000	-1.000000	-1.000000	1777386.000000	1770065051.520554
