Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-21483.630000	-14258.565000	-20659.365000	-14206.140000	-24338.655000	-15834.645000	-1630.170000	-9258.345000	8.776505	0.241033	-0.123554	0.639620	1.900743	3.144582	4.479934	11.351579	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598975.000000	1770066695.465395
-21455.910000	-14242.815000	-20655.810000	-14203.530000	-24338.520000	-15834.600000	-1634.445000	-9254.295000	-8.147831	-6.484055	-2.669605	-0.542482	-0.318179	-0.136338	-2.053034	-18.325404	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598976.000000	1770066695.465408
-21502.530000	-14242.050000	-20648.025000	-14195.790000	-24330.375000	-15825.465000	-1630.395000	-9271.125000	-17.166663	-8.906731	-4.951031	-3.176660	-4.235563	-5.051161	-8.466133	-37.560073	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598977.000000	1770066695.466342
-21504.690000	-14237.505000	-20646.450000	-14194.485000	-24330.195000	-15826.545000	-1632.105000	-9277.605000	-16.162624	-5.216004	-4.769089	-5.104960	-7.059889	-8.385882	-11.139237	-37.990005	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598978.000000	1770066695.466352
-21528.045000	-14256.045000	-20657.070000	-14197.455000	-24327.900000	-15825.015000	-1632.330000	-9280.305000	-11.160823	1.907611	-1.515622	-4.113878	-6.190158	-7.594503	-8.964380	-25.769985	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598979.000000	1770066695.473864
-21524.805000	-14263.965000	-20671.875000	-14207.625000	-24329.970000	-15827.265000	-1631.970000	-9267.120000	-9.630912	6.883600	2.044422	-0.949745	-2.194396	-3.552478	-4.426259	-13.130276	-6.073480	2.868880	-0.808780	0.825620	-0.384398	0.398192	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598980.000000	1770066695.473875
-21516.795000	-14249.250000	-20670.345000	-14209.515000	-24325.920000	-15820.515000	-1626.165000	-9271.125000	-11.540068	6.027615	2.750835	1.578722	2.023439	0.828087	-0.366731	-4.170920	-2.563680	5.127360	0.091560	0.827146	-0.389159	0.394713	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598981.000000	1770066695.475840
-21505.230000	-14237.640000	-20651.805000	-14200.830000	-24324.570000	-15817.590000	-1625.400000	-9296.370000	-8.311934	1.856177	1.566210	2.492251	4.680645	4.099836	2.936487	5.569944	-2.563680	5.127360	0.091560	0.827146	-0.389159	0.394713	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598982.000000	1770066695.475851
-21498.840000	-14220.360000	-20621.925000	-14182.785000	-24315.930000	-15814.260000	-1629.630000	-9325.305000	4.528588	-0.132534	2.178385	3.353478	5.990270	6.442265	6.031324	16.931600	-2.563680	5.127360	0.091560	0.827146	-0.389159	0.394713	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598983.000000	1770066695.481981
-21531.285000	-14229.945000	-20622.330000	-14179.680000	-24307.740000	-15812.145000	-1635.120000	-9319.320000	19.185766	1.773800	5.518268	5.041313	6.310904	7.498833	8.048351	24.501299	-2.563680	5.127360	0.091560	0.827146	-0.389159	0.394713	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.586207	0.000000	-1.000000	-1.000000	2598984.000000	1770066695.481993
