Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
3824.145000	13383.585000	17974.350000	32162.400000	6709.545000	-8998.515000	-17696.070000	-13394.970000	-2.098642	-2.378364	-2.279787	-1.141922	-0.673897	-1.541138	-1.293853	-0.197512	-6.516020	3.815000	0.808780	-0.860288	-0.145385	0.406615	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339193.000000	1769636489.855633
3816.405000	13372.470000	17959.545000	32143.635000	6687.630000	-9020.745000	-17714.700000	-13395.600000	-5.092447	-6.332159	-5.388896	-3.093279	0.108860	1.346843	3.909000	-0.656517	-6.516020	3.815000	0.808780	-0.860288	-0.145385	0.406615	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339194.000000	1769636489.855645
3815.190000	13373.505000	17959.905000	32139.810000	6678.135000	-9028.260000	-17708.040000	-13392.855000	-7.733739	-10.066128	-8.740575	-6.199509	-1.448007	2.309678	8.276700	-0.991117	-6.516020	3.815000	0.808780	-0.860288	-0.145385	0.406615	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339195.000000	1769636489.855657
3812.535000	13373.685000	17963.325000	32146.200000	6684.705000	-9027.045000	-17719.155000	-13399.290000	-7.335002	-9.777861	-8.679984	-7.436397	-3.733719	0.678909	7.563264	-1.044548	-6.516020	3.815000	0.808780	-0.860288	-0.145385	0.406615	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339196.000000	1769636489.855663
3829.185000	13387.680000	17973.990000	32156.910000	6697.125000	-9021.195000	-17736.480000	-13397.130000	-3.410114	-4.554164	-3.834230	-4.539553	-3.706463	-1.509543	1.582167	-0.976254	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339197.000000	1769636489.856816
3838.365000	13399.380000	17984.790000	32166.990000	6706.485000	-9009.180000	-17727.570000	-13394.475000	2.359441	3.077558	3.489449	1.502084	-0.328415	-1.928097	-6.057161	-0.793892	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339198.000000	1769636489.856826
3832.605000	13395.015000	17980.830000	32165.010000	6707.295000	-9000.045000	-17711.820000	-13393.890000	7.259358	9.208431	9.165393	7.011377	4.084624	-0.043198	-9.945912	-0.241654	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339199.000000	1769636489.860704
3824.730000	13388.355000	17974.080000	32158.980000	6700.500000	-9008.145000	-17711.595000	-13394.520000	8.781657	10.940517	10.332126	8.866407	6.368276	2.708119	-7.194834	0.626314	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339200.000000	1769636489.860711
3824.460000	13384.935000	17970.570000	32154.930000	6696.585000	-9013.905000	-17713.620000	-13390.065000	6.468786	8.214634	7.322246	6.901503	5.394509	3.953087	-0.787415	1.431601	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339201.000000	1769636489.864861
3807.855000	13369.815000	17956.620000	32142.195000	6686.235000	-9016.695000	-17697.015000	-13393.485000	2.255062	3.455168	2.788786	3.183223	2.342417	2.438189	3.926449	1.881931	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339202.000000	1769636489.864873
3813.930000	13378.095000	17965.845000	32151.060000	6691.635000	-9018.540000	-17711.550000	-13397.175000	-1.435321	-0.667746	-0.719499	-0.020208	-0.612361	-0.497480	4.939027	1.679449	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339203.000000	1769636489.871700
3850.110000	13409.955000	17993.295000	32174.505000	6710.760000	-9014.760000	-17741.340000	-13389.345000	-2.664389	-2.302321	-1.749281	-1.115771	-1.504295	-2.370127	2.789780	0.716856	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339204.000000	1769636489.871712
3841.020000	13402.980000	17990.055000	32174.100000	6713.550000	-9008.235000	-17723.835000	-13389.705000	-0.785994	-1.090478	-0.383703	-0.005844	-0.021621	-2.089836	-1.298260	-0.391540	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339205.000000	1769636489.873287
3827.250000	13394.475000	17987.085000	32172.435000	6709.050000	-9014.895000	-17719.785000	-13398.570000	1.563089	0.464508	0.962693	1.094439	1.613615	-0.647278	-4.153057	-1.093666	-7.736820	3.082520	1.495480	-0.862974	-0.141418	0.404113	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339206.000000	1769636489.873299
3830.310000	13394.655000	17979.885000	32161.455000	6698.475000	-9020.115000	-17717.040000	-13401.180000	0.688994	-0.842380	-0.544181	-0.499804	0.520487	-0.080377	-3.145448	-1.681181	-9.171260	2.853620	-0.381500	-0.865781	-0.137329	0.400329	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339207.000000	1769636489.876817
3834.585000	13392.630000	17973.810000	32152.635000	6695.595000	-9009.090000	-17704.665000	-13393.395000	-3.080181	-4.671376	-4.743968	-4.826446	-3.558593	-1.209878	0.619104	-2.209960	-9.171260	2.853620	-0.381500	-0.865781	-0.137329	0.400329	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.137931	0.000000	-1.000000	-1.000000	1339208.000000	1769636489.876830
