Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
11999.115000	18221.760000	24679.485000	19438.335000	-7944.525000	-4574.070000	3088.845000	14474.700000	-13.400449	7.608888	6.555230	1.099667	-12.523179	-8.868337	-6.307532	-21.892924	-1.098720	2.289000	-2.884140	0.955198	-0.348876	0.064514	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972178.000000	1770063440.379619
11978.370000	18186.480000	24647.850000	19421.460000	-7923.330000	-4560.120000	3088.620000	14484.735000	-11.261836	4.337563	3.168719	-1.419864	-7.005345	-8.591826	-8.355299	-24.535575	-1.098720	2.289000	-2.884140	0.955198	-0.348876	0.064514	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972179.000000	1770063440.383661
11985.795000	18175.050000	24639.075000	19421.280000	-7914.015000	-4554.630000	3087.360000	14503.680000	-4.860956	-1.531700	-2.523501	-4.761744	-0.712291	-6.454232	-8.147876	-16.726460	-1.098720	2.289000	-2.884140	0.955198	-0.348876	0.064514	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972180.000000	1770063440.383672
11972.835000	18182.430000	24651.585000	19425.420000	-7929.585000	-4564.620000	3086.415000	14509.260000	3.247290	-6.631356	-7.146040	-6.968607	3.621106	-3.894085	-6.330141	-0.332215	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972181.000000	1770063440.388120
11997.405000	18210.645000	24669.225000	19421.055000	-7977.870000	-4586.805000	3083.805000	14508.945000	10.544041	-7.403535	-7.223748	-5.976257	4.952570	-1.703073	-3.329297	17.010090	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972182.000000	1770063440.388141
12002.670000	18218.025000	24680.160000	19439.370000	-7962.795000	-4575.195000	3086.595000	14500.350000	15.967036	-3.044137	-2.404081	-2.015720	2.899678	-0.254957	0.486694	27.201493	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972183.000000	1770063440.391723
12018.735000	18241.110000	24701.580000	19451.880000	-7995.105000	-4604.985000	3078.720000	14506.020000	19.338889	3.912858	4.463204	3.206010	-1.415100	0.728551	4.540345	26.964781	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972184.000000	1770063440.391731
12019.815000	18218.655000	24680.655000	19442.160000	-7981.470000	-4586.220000	3095.460000	14515.290000	18.656525	9.276708	9.360531	7.415012	-5.729893	1.337056	7.600782	18.358840	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972185.000000	1770063440.396860
12007.035000	18204.840000	24668.550000	19437.480000	-7949.115000	-4567.140000	3096.990000	14503.050000	10.981874	8.841828	8.601277	8.001559	-6.964850	2.137500	8.490310	6.086446	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972186.000000	1770063440.396872
11984.850000	18203.220000	24670.845000	19450.440000	-7890.120000	-4535.100000	3097.305000	14492.340000	-3.166882	2.074793	2.163969	4.716382	-1.991724	4.598634	7.006716	-5.743332	-4.761120	4.791640	-3.387720	0.957883	-0.345641	0.056335	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.965517	0.000000	-1.000000	-1.000000	972187.000000	1770063440.403296
