Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2984.535000	-7869.645000	160.020000	13372.785000	-2500.920000	-3545.055000	8309.070000	-3494.520000	-10.824200	-11.351864	-9.739289	-7.355346	-3.661591	2.771953	0.844099	-9.677734	-3.006220	5.020540	-1.709120	0.683165	0.713316	0.098083	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833807.000000	1770065164.424406
-2928.690000	-7806.060000	226.035000	13440.240000	-2437.740000	-3491.325000	8354.025000	-3435.885000	-4.704267	-3.990012	-2.753861	-0.988071	2.974684	7.142795	9.205652	-4.233065	-3.006220	5.020540	-1.709120	0.683165	0.713316	0.098083	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833808.000000	1770065164.424411
-2960.550000	-7833.240000	199.485000	13411.395000	-2465.595000	-3518.235000	8338.275000	-3480.525000	6.295831	9.107895	9.565323	10.292062	12.758844	13.454887	17.242062	2.456685	-3.006220	5.020540	-1.709120	0.683165	0.713316	0.098083	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833809.000000	1770065164.429749
-2962.350000	-7841.880000	191.070000	13400.370000	-2477.655000	-3517.245000	8381.115000	-3541.770000	15.902012	20.095743	19.804223	19.384322	19.585497	16.787925	21.384322	4.373167	-3.006220	5.020540	-1.709120	0.683165	0.713316	0.098083	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833810.000000	1770065164.429761
-3005.055000	-7912.485000	114.660000	13326.030000	-2543.130000	-3574.980000	8319.870000	-3570.975000	18.492600	21.609760	20.811943	19.415926	17.800003	13.270197	19.755748	-1.055165	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833811.000000	1770065164.429772
-3099.420000	-8013.420000	12.285000	13227.165000	-2637.540000	-3659.670000	8263.800000	-3588.435000	9.669574	8.634523	7.489745	5.708990	3.657783	0.319655	9.924666	-10.655446	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833812.000000	1770065164.429777
-3160.215000	-8065.080000	-32.220000	13189.005000	-2673.090000	-3696.120000	8239.680000	-3629.565000	-10.588183	-16.660107	-17.924078	-19.124295	-20.124344	-20.243829	-8.690361	-18.460643	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833813.000000	1770065164.435896
-3083.130000	-7978.005000	55.170000	13275.630000	-2590.515000	-3624.165000	8283.285000	-3580.515000	-30.517062	-38.477578	-39.270962	-39.147553	-38.680694	-36.172334	-27.183742	-18.774715	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833814.000000	1770065164.435908
-3009.510000	-7912.035000	118.125000	13340.385000	-2526.345000	-3561.255000	8303.535000	-3525.120000	-32.233931	-37.268348	-37.031643	-35.655563	-34.608034	-32.099979	-32.020666	-7.011040	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833815.000000	1770065164.437581
-3017.700000	-7917.120000	113.400000	13332.735000	-2534.265000	-3568.860000	8298.630000	-3541.320000	-11.482138	-11.205539	-10.026916	-8.187838	-7.671947	-7.347386	-19.794553	14.240397	-3.891300	6.714400	-1.892240	0.685179	0.711729	0.098510	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	75.448276	0.000000	-1.000000	-1.000000	1833816.000000	1770065164.437589
