Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-24031.620000	-17261.550000	-22699.260000	-17296.470000	-22839.840000	-17623.125000	-4846.815000	-11140.335000	-18.505106	-10.230209	-1.333920	2.754226	4.620181	5.230365	8.200720	16.055222	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672174.000000	1770066841.908730
-24013.530000	-17258.490000	-22697.190000	-17293.995000	-22836.780000	-17620.470000	-4848.840000	-11129.130000	-11.604820	-9.523326	0.719985	6.750524	7.875565	7.479952	7.783196	13.531686	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672175.000000	1770066841.910838
-24032.250000	-17266.725000	-22708.215000	-17307.180000	-22849.830000	-17631.180000	-4855.860000	-11144.520000	-5.879750	-7.984726	1.466851	7.230618	7.202692	5.896335	2.601334	-1.377653	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672176.000000	1770066841.910848
-24052.320000	-17280.900000	-22719.555000	-17315.550000	-22856.445000	-17635.185000	-4856.535000	-11155.095000	-4.169221	-7.663599	-1.473452	2.046403	1.356762	-0.115915	-5.467460	-19.342597	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672177.000000	1770066841.915504
-24065.370000	-17295.705000	-22713.165000	-17310.330000	-22853.520000	-17632.980000	-4855.770000	-11162.565000	-4.316566	-7.251922	-6.184630	-5.975792	-6.568838	-7.248800	-11.594591	-28.238519	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672178.000000	1770066841.915516
-24090.705000	-17311.815000	-22713.345000	-17314.920000	-22856.670000	-17637.480000	-4859.145000	-11175.120000	-2.173127	-4.505135	-8.199048	-11.043325	-11.258199	-10.779645	-11.970323	-22.509905	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672179.000000	1770066841.916755
-24096.915000	-17279.145000	-22710.015000	-17316.315000	-22858.560000	-17641.440000	-4862.790000	-11176.515000	2.189442	0.599728	-5.343484	-9.699622	-9.641499	-8.535479	-7.062375	-8.539717	-0.137340	3.082520	-3.753960	0.920225	-0.262756	0.284362	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672180.000000	1770066841.916765
-24036.075000	-17267.445000	-22734.630000	-17322.615000	-22860.405000	-17640.315000	-4859.460000	-11155.095000	5.265564	6.107510	-0.080997	-3.559451	-3.283356	-2.500286	-0.699701	3.017327	1.480220	4.791640	-6.180300	0.918577	-0.264159	0.281493	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672181.000000	1770066841.920654
-24019.920000	-17284.230000	-22732.065000	-17317.215000	-22856.625000	-17637.435000	-4860.225000	-11149.425000	7.050301	9.647658	3.300857	2.936520	3.431231	3.321787	3.799181	8.891461	1.480220	4.791640	-6.180300	0.918577	-0.264159	0.281493	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672182.000000	1770066841.920663
-24040.665000	-17281.485000	-22710.780000	-17300.070000	-22843.170000	-17627.400000	-4858.740000	-11157.930000	9.427888	9.433883	3.477024	6.590019	7.029680	6.184256	5.666226	12.078489	1.480220	4.791640	-6.180300	0.918577	-0.264159	0.281493	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	69.379310	0.000000	-1.000000	-1.000000	2672183.000000	1770066841.924715
