Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
5739.165000	-5454.855000	10792.575000	14770.215000	-9422.730000	-5994.180000	2993.850000	16933.095000	3.142352	0.716366	1.461263	2.348266	6.595481	1.766571	-0.571593	6.802888	-4.516960	4.776380	-2.334780	0.974424	0.077392	0.215026	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446368.000000	1770062388.578946
5745.600000	-5436.585000	10811.835000	14788.935000	-9399.645000	-5974.380000	3001.815000	16927.155000	-0.765979	-1.985174	-1.753655	-2.449191	-2.890446	-5.423480	-2.470423	2.903117	-4.516960	4.776380	-2.334780	0.974424	0.077392	0.215026	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446369.000000	1770062388.578957
5747.985000	-5435.235000	10810.845000	14788.620000	-9398.385000	-5972.535000	2998.800000	16929.495000	-4.749116	-4.069780	-4.382030	-5.901479	-8.550365	-9.174374	-2.380141	-1.733913	-4.516960	4.776380	-2.334780	0.974424	0.077392	0.215026	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446370.000000	1770062388.578962
5766.705000	-5429.790000	10810.710000	14783.040000	-9408.285000	-5982.435000	2985.300000	16954.470000	-5.662381	-3.314916	-4.101018	-6.025766	-9.969472	-8.647073	-1.642004	-5.132842	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446371.000000	1770062388.580684
5763.285000	-5435.190000	10807.560000	14778.135000	-9416.700000	-5995.440000	2977.155000	16958.205000	-2.622949	-0.052590	-1.277190	-3.623488	-9.348395	-6.014731	-2.107440	-5.519512	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446372.000000	1770062388.580695
5743.350000	-5453.955000	10791.135000	14768.100000	-9414.945000	-6000.480000	2977.155000	16943.085000	2.016769	3.400663	2.000598	-0.677295	-8.332714	-3.686441	-3.737188	-2.972322	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446373.000000	1770062388.584948
5732.415000	-5464.440000	10780.380000	14757.165000	-9430.065000	-6014.160000	2968.875000	16927.065000	4.369320	4.392463	3.450236	1.203626	-6.969099	-2.397403	-4.650028	0.024945	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446374.000000	1770062388.584960
5738.445000	-5447.295000	10803.195000	14780.430000	-9414.765000	-5991.345000	2977.425000	16916.535000	2.743917	2.366409	2.505243	1.775618	-4.392574	-0.948621	-3.148889	0.812954	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446375.000000	1770062388.591637
5748.120000	-5424.165000	10829.385000	14807.430000	-9386.550000	-5961.690000	2970.540000	16907.490000	-0.583679	0.146129	1.627545	2.908750	0.875267	2.996261	0.619013	-1.105365	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446376.000000	1770062388.591648
5743.980000	-5427.945000	10826.145000	14808.195000	-9367.875000	-5960.520000	2953.080000	16909.920000	-2.238408	0.533847	3.059701	5.924895	9.030067	9.596235	4.220065	-3.789521	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446377.000000	1770062388.592227
5730.975000	-5456.610000	10794.645000	14774.670000	-9401.445000	-5994.855000	2961.630000	16931.655000	-1.603679	1.989578	4.585497	7.955312	15.742483	13.966712	5.021843	-4.158464	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446378.000000	1770062388.592242
5729.355000	-5473.395000	10771.335000	14742.045000	-9475.740000	-6043.185000	2976.885000	16948.620000	-0.645704	0.548212	1.914545	4.368458	13.785200	9.881939	3.430244	-0.566016	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446379.000000	1770062388.596134
5730.885000	-5473.170000	10768.320000	14736.105000	-9495.405000	-6049.890000	2974.140000	16946.055000	-0.819831	-4.366819	-5.118175	-4.825533	0.812322	-2.647478	2.164064	4.936729	-2.441600	4.990020	-2.533160	0.973325	0.076294	0.216552	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446380.000000	1770062388.596146
5733.810000	-5463.945000	10775.205000	14742.405000	-9482.580000	-6039.765000	2967.300000	16943.220000	-1.347245	-8.481001	-11.305917	-13.459089	-15.526754	-15.437664	2.337719	8.247674	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446381.000000	1770062388.600138
5736.195000	-5453.370000	10786.770000	14754.060000	-9462.510000	-6030.900000	2960.730000	16929.585000	-0.337196	-7.015668	-10.906349	-14.558646	-23.016466	-19.017092	2.498671	7.315290	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446382.000000	1770062388.600147
5742.405000	-5452.605000	10794.375000	14770.530000	-9429.750000	-5997.555000	2984.985000	16931.430000	2.669630	0.242465	-3.060096	-6.426379	-15.254011	-10.423843	1.547311	3.336516	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446383.000000	1770062388.604007
5736.645000	-5459.040000	10787.760000	14762.520000	-9436.410000	-6003.180000	2986.920000	16935.525000	5.617365	8.138880	6.977175	5.749570	3.229082	4.953685	0.279180	-0.980883	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446384.000000	1770062388.604018
5740.470000	-5448.780000	10794.420000	14764.230000	-9436.995000	-6000.750000	2989.080000	16933.860000	5.819577	10.843212	12.232458	13.812664	20.144409	17.095453	-0.413243	-3.491746	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446385.000000	1770062388.608315
5739.030000	-5455.260000	10789.560000	14765.130000	-9426.465000	-5990.085000	2988.585000	16927.515000	2.799725	7.215744	10.158299	13.448574	25.131897	19.071588	-0.717856	-4.058605	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446386.000000	1770062388.608325
5747.850000	-5439.330000	10809.270000	14786.055000	-9406.170000	-5977.215000	2986.020000	16929.585000	-1.265277	1.128394	4.241987	7.517096	18.167569	12.484992	-1.450687	-4.192156	-2.746800	4.745860	-2.533160	0.975034	0.077881	0.216857	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.758621	0.000000	-1.000000	-1.000000	446387.000000	1770062388.618034
