Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-6164.280000	-32578.560000	-15222.645000	-7214.580000	-35652.600000	-35441.730000	-7807.455000	10469.745000	2.892829	6.717271	8.000947	8.045192	5.634898	3.840619	3.083091	2.209125	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287572.000000	1770062071.061642
-6168.150000	-32581.665000	-15226.605000	-7218.450000	-35656.020000	-35446.320000	-7805.970000	10465.335000	3.993471	7.884651	9.122258	9.029704	6.886965	5.569992	4.310261	2.511507	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287573.000000	1770062071.065717
-6182.415000	-32595.300000	-15242.670000	-7237.575000	-35676.540000	-35465.040000	-7811.730000	10451.655000	4.841801	7.798365	8.360924	7.878261	5.942859	5.157613	4.082202	2.287276	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287574.000000	1770062071.065726
-6184.080000	-32600.070000	-15247.710000	-7242.525000	-35676.855000	-35461.665000	-7809.435000	10452.420000	4.567178	5.979619	5.305499	4.251633	2.707613	2.658681	2.752066	0.796034	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287575.000000	1770062071.069642
-6167.295000	-32578.740000	-15223.410000	-7218.630000	-35655.660000	-35445.960000	-7801.380000	10464.480000	2.927864	2.692928	0.909451	-0.437071	-0.941608	0.052801	1.560793	-0.889087	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287576.000000	1770062071.069651
-6145.155000	-32553.990000	-15197.760000	-7194.240000	-35633.610000	-35423.190000	-7790.130000	10481.490000	1.527254	0.126416	-1.868167	-2.967023	-2.098472	-0.345815	1.363847	-0.585357	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287577.000000	1770062071.075297
-6137.775000	-32545.350000	-15186.465000	-7181.955000	-35618.625000	-35405.190000	-7778.655000	10488.645000	1.999541	0.172319	-0.929838	-1.392184	0.432599	2.081237	2.128745	2.352348	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287578.000000	1770062071.075307
-6131.205000	-32535.855000	-15176.700000	-7174.305000	-35612.010000	-35399.700000	-7774.155000	10492.470000	3.628099	1.932835	2.192518	2.327469	4.271725	5.233589	3.046103	5.866633	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287579.000000	1770062071.077749
-6140.925000	-32544.540000	-15188.760000	-7187.895000	-35625.150000	-35413.020000	-7784.820000	10484.865000	3.790095	2.491041	3.552023	3.862956	5.150633	5.454631	2.655932	6.822950	-2.578940	5.447820	-0.106820	0.915037	-0.051575	0.372191	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287580.000000	1770062071.077759
-6142.545000	-32549.940000	-15195.105000	-7191.135000	-35625.645000	-35412.075000	-7783.470000	10487.205000	0.615153	-0.296307	0.475044	0.627636	0.980312	0.946384	-0.082104	3.745230	-3.372460	5.432560	-1.922760	0.914854	-0.052063	0.371093	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	87.931034	0.000000	-1.000000	-1.000000	287581.000000	1770062071.081886
